id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
TSP_S_001,TSP,S,1,"We have a bakery to run and a tray of deliveries to make, so the task is to choose the delivery sequence that starts at the shop, visits every customer location one time, and finishes back at the shop. What makes one sequence better than another is simple: the one that results in the least driving, measured by summing the miles between consecutive stops for the whole loop. Every stop has to be included exactly once — no skipping a house and no visiting the same house twice. The concrete addresses and coordinates are shown below.

# total_stops_including_shop=10
# shop_node_id=0
stop_id,x_coord_miles,y_coord_miles
0,64,1
1,20,77
2,97,56
3,0,70
4,69,100
5,14,30
6,100,31
7,49,0
8,61,30
9,20,41

Also, when you send back the route, please follow this simple JSON layout so it's easy to read and check:

{
  ""solution"": [""shop_id"", ""customer_id"", ..., ""shop_id""]
}

This just means ""solution"" should be a list showing the stops in order — start at the shop, visit each customer once, and finish back at the shop. The strings in the list are the location identifiers taken straight from the instance.

This JSON is only a sketch of the shape I expect, not the actual route — I'll fill in the real identifiers when I give the final answer. Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"[[64, 1], [20, 77], [97, 56], [0, 70], [69, 100], [14, 30], [100, 31], [49, 0], [61, 30], [20, 41]]","[0, 7, 5, 9, 3, 1, 4, 2, 6, 8, 0]",329.708459854126,"{""problem_type"": ""TSP"", ""num_nodes"": 10, ""nodes"": [{""id"": 0, ""x"": 64, ""y"": 1}, {""id"": 1, ""x"": 20, ""y"": 77}, {""id"": 2, ""x"": 97, ""y"": 56}, {""id"": 3, ""x"": 0, ""y"": 70}, {""id"": 4, ""x"": 69, ""y"": 100}, {""id"": 5, ""x"": 14, ""y"": 30}, {""id"": 6, ""x"": 100, ""y"": 31}, {""id"": 7, ""x"": 49, ""y"": 0}, {""id"": 8, ""x"": 61, ""y"": 30}, {""id"": 9, ""x"": 20, ""y"": 41}], ""depot"": 0}","[0, 7, 5, 9, 3, 1, 4, 2, 6, 8, 0]"
TSP_S_002,TSP,S,2,"Recently the team needs a planned route that begins at the garage, visits all service addresses one time only, and returns to the garage at day’s end. The task is to decide the visiting order — the smarter the order, the smaller the day’s mileage. To figure that out, just add up the miles between every pair of consecutive stops in the order you pick (counting the trip out and the trip home) and prefer the order with the smallest overall total. No stops can be skipped or repeated. Exact instance details are provided below.

There are 10 locations to cover, and the garage is 0.
Stop 0 is located at coordinates (38, 90).
Stop 1 is located at coordinates (18, 80).
Stop 2 is located at coordinates (73, 30).
Stop 3 is located at coordinates (0, 22).
Stop 4 is located at coordinates (44, 44).
Stop 5 is located at coordinates (100, 56).
Stop 6 is located at coordinates (3, 0).
Stop 7 is located at coordinates (65, 80).
Stop 8 is located at coordinates (91, 100).
Stop 9 is located at coordinates (24, 92).
Begin the tour at 0 and return there after visiting all 10 locations once.

Just drop the final route into a little JSON snippet like this so it's easy to parse and check:

{
  ""solution"": [depot_id, location_id, ..., depot_id]
}

Think of ""solution"" as the ordered list of stops — start at the garage (the depot), list each service address exactly once in the order you'll visit them, and finish back at the garage. This JSON is only a sketch of the shape I need, not the actual answer itself.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"[[38, 90], [18, 80], [73, 30], [0, 22], [44, 44], [100, 56], [3, 0], [65, 80], [91, 100], [24, 92]]","[0, 7, 8, 5, 2, 4, 6, 3, 1, 9, 0]",346.82418727874756,"{""problem_type"": ""TSP"", ""num_nodes"": 10, ""nodes"": [{""id"": 0, ""x"": 38, ""y"": 90}, {""id"": 1, ""x"": 18, ""y"": 80}, {""id"": 2, ""x"": 73, ""y"": 30}, {""id"": 3, ""x"": 0, ""y"": 22}, {""id"": 4, ""x"": 44, ""y"": 44}, {""id"": 5, ""x"": 100, ""y"": 56}, {""id"": 6, ""x"": 3, ""y"": 0}, {""id"": 7, ""x"": 65, ""y"": 80}, {""id"": 8, ""x"": 91, ""y"": 100}, {""id"": 9, ""x"": 24, ""y"": 92}], ""depot"": 0}","[0, 7, 8, 5, 2, 4, 6, 3, 1, 9, 0]"
TSP_S_003,TSP,S,3,"On a typical morning the studio van will head out, visit a handful of shoot locations one after another, and then roll back into the studio at the end of the day. The decision is which order to pick so the van covers the least ground overall — calculate that by summing each segment between stops plus the last leg back to base. No shoot can be skipped or visited twice. The exact list of stops and their coordinates is shown below.

# total_locations=9
# studio_node_id=0
location_id,x_coord,y_coord
0,29,9
1,97,63
2,0,1
3,45,40
4,100,84
5,56,100
6,98,0
7,37,53
8,61,12

Also, when you send the route back, please follow this little JSON layout so it's easy to read and process:

{
  ""solution"": [studio_id, location_id, ..., studio_id]
}

Think of ""solution"" as the ordered list the van will drive: start at the studio (studio_id), visit each shoot spot in turn (each location_id), and finally come back to the studio (the same studio_id again). It's just a template showing the shape I need — not the final tour.

Please use the identifiers exactly as they appear in the instance input — do not rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"[[29, 9], [97, 63], [0, 1], [45, 40], [100, 84], [56, 100], [98, 0], [37, 53], [61, 12]]","[0, 2, 3, 7, 5, 4, 1, 6, 8, 0]",357.6685733795166,"{""problem_type"": ""TSP"", ""num_nodes"": 9, ""nodes"": [{""id"": 0, ""x"": 29, ""y"": 9}, {""id"": 1, ""x"": 97, ""y"": 63}, {""id"": 2, ""x"": 0, ""y"": 1}, {""id"": 3, ""x"": 45, ""y"": 40}, {""id"": 4, ""x"": 100, ""y"": 84}, {""id"": 5, ""x"": 56, ""y"": 100}, {""id"": 6, ""x"": 98, ""y"": 0}, {""id"": 7, ""x"": 37, ""y"": 53}, {""id"": 8, ""x"": 61, ""y"": 12}], ""depot"": 0}","[0, 2, 3, 7, 5, 4, 1, 6, 8, 0]"
TSP_S_004,TSP,S,4,"Many of the regular patrons count on a neat bookmobile loop that starts and ends at the main branch and touches every stop only once, so the librarian wants the route that uses the least driving. The way to judge one route versus another is to add up the distance between each stop in the route, including the last stretch back to the branch — the smaller that sum, the better the route. Every stop must appear exactly once, no repeats. The exact stops and their coordinates follow below.

There are 9 stops in total, and the route must start and finish at A.

| stop_id | x_coordinate | y_coordinate |
|---|---|---|
| A | 88 | 0 |
| B | 50 | 28 |
| C | 8 | 67 |
| D | 25 | 67 |
| E | 83 | 100 |
| F | 21 | 0 |
| G | 92 | 33 |
| H | 0 | 78 |
| I | 100 | 100 |

List each stop once so the librarian can sum the segment distances and choose the shortest loop.

If you want to hand me a candidate route, just pop it into a tiny JSON snippet like this so I can read it cleanly:

{
  ""solution"": [branch_id, stop_id, ..., branch_id]
}

Think of ""solution"" as the tour: start at the main branch (branch_id), then list each stop in the order the bookmobile should visit them (stop_id placeholders), and finish back at the branch. This is just a sketch of the shape I expect, not the actual route — I'll need the real identifiers from the instance to give a concrete answer.

Please use the exact identifiers from the instance input — no renaming and no new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[88, 0], [50, 28], [8, 67], [25, 67], [83, 100], [21, 0], [92, 33], [0, 78], [100, 100]]","[0, 1, 5, 2, 7, 3, 4, 8, 6, 0]",381.12525939941406,"{""problem_type"": ""TSP"", ""num_nodes"": 9, ""nodes"": [{""id"": ""A"", ""x"": 88, ""y"": 0}, {""id"": ""B"", ""x"": 50, ""y"": 28}, {""id"": ""C"", ""x"": 8, ""y"": 67}, {""id"": ""D"", ""x"": 25, ""y"": 67}, {""id"": ""E"", ""x"": 83, ""y"": 100}, {""id"": ""F"", ""x"": 21, ""y"": 0}, {""id"": ""G"", ""x"": 92, ""y"": 33}, {""id"": ""H"", ""x"": 0, ""y"": 78}, {""id"": ""I"", ""x"": 100, ""y"": 100}], ""depot"": ""A""}","[""A"", ""B"", ""F"", ""C"", ""H"", ""D"", ""E"", ""I"", ""G"", ""A""]"
TSP_S_005,TSP,S,5,"There’s a farmer who does porch-to-porch dropoffs around the neighborhood and wants a sensible route that starts and ends at the farm and doesn’t hit any stop more than once. A smarter route is simply the one that adds up to the fewest miles overall — add up every leg between stops to get the total — so the plan with the smallest sum of those legs wins. The full list of stops and their specifics appears below.

Below are the 10 stops (including the farm depot 1), listed one per line:

| dropoff_id | x_coord | y_coord |
|---|---|---|
| 1 | 22 | 100 |
| 2 | 59 | 47 |
| 3 | 20 | 92 |
| 4 | 39 | 81 |
| 5 | 0 | 46 |
| 6 | 44 | 62 |
| 7 | 100 | 94 |
| 8 | 81 | 30 |
| 9 | 9 | 73 |
| 10 | 47 | 0 |

The farmer must visit each of the 10 stops once, begin and end at 1, and choose the route with the fewest total miles.

When you send the route back, just use this simple JSON layout so it's easy to read and parse:

{
  ""solution"": [farm_id, stop_id, ..., farm_id]
}

Here ""solution"" holds the ordered list of stops the farmer will make — the first entry is the farm where we start, then every porch in the order they’re visited, and the last entry is the farm again to end the loop. Think of it like filling out a short form: list the farm, then the porches, then the farm.

This JSON is only a sketch of the shape I expect, not the actual route answer.

Please use the exact identifiers given in the instance input — do not rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,one_based,"[[22, 100], [59, 47], [20, 92], [39, 81], [0, 46], [44, 62], [100, 94], [81, 30], [9, 73], [47, 0]]","[0, 2, 8, 4, 9, 7, 6, 1, 5, 3, 0]",365.25489139556885,"{""problem_type"": ""TSP"", ""num_nodes"": 10, ""nodes"": [{""id"": 1, ""x"": 22, ""y"": 100}, {""id"": 2, ""x"": 59, ""y"": 47}, {""id"": 3, ""x"": 20, ""y"": 92}, {""id"": 4, ""x"": 39, ""y"": 81}, {""id"": 5, ""x"": 0, ""y"": 46}, {""id"": 6, ""x"": 44, ""y"": 62}, {""id"": 7, ""x"": 100, ""y"": 94}, {""id"": 8, ""x"": 81, ""y"": 30}, {""id"": 9, ""x"": 9, ""y"": 73}, {""id"": 10, ""x"": 47, ""y"": 0}], ""depot"": 1}","[1, 3, 9, 5, 10, 8, 7, 2, 6, 4, 1]"
TSP_S_006,TSP,S,6,"I’m picturing a caterer who needs to plan a single outing that leaves the kitchen, drops off food at every booked venue, and comes back to the kitchen at the end of the day. The job is to pick the order of stops so the whole trip uses the fewest miles possible — that total is just the sum of the distances between each stop in the route, including the leg back to the kitchen — and nothing can be skipped or visited more than once. The exact list of venues and their locations is shown below.

{
  ""total_locations_in_route"": 5,
  ""nodes"": [
    {
      ""venue_id"": 1,
      ""x_coordinate"": 93,
      ""y_coordinate"": 21
    },
    {
      ""venue_id"": 2,
      ""x_coordinate"": 100,
      ""y_coordinate"": 0
    },
    {
      ""venue_id"": 3,
      ""x_coordinate"": 0,
      ""y_coordinate"": 100
    },
    {
      ""venue_id"": 4,
      ""x_coordinate"": 32,
      ""y_coordinate"": 43
    },
    {
      ""venue_id"": 5,
      ""x_coordinate"": 3,
      ""y_coordinate"": 45
    }
  ],
  ""kitchen_node_id"": 1
}

Oh, and when you give the planned route back, a tiny JSON sketch like this is perfect — just a simple list that starts and ends at the kitchen:

{
  ""solution"": [kitchen_id, venue_id, ..., kitchen_id]
}

Think of ""solution"" as the ordered checklist: the first item is where the truck leaves (the kitchen), the middle items are the stops in the order you’ll visit them, and the last item is the kitchen again when you're done. This is just the shape I need, not the actual route.

Please use the exact identifiers from the instance input — no renaming, no made-up labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"[[93, 21], [100, 0], [0, 100], [32, 43], [3, 45]]","[0, 1, 3, 4, 2, 0]",308.7661304473877,"{""problem_type"": ""TSP"", ""num_nodes"": 5, ""nodes"": [{""id"": 1, ""x"": 93, ""y"": 21}, {""id"": 2, ""x"": 100, ""y"": 0}, {""id"": 3, ""x"": 0, ""y"": 100}, {""id"": 4, ""x"": 32, ""y"": 43}, {""id"": 5, ""x"": 3, ""y"": 45}], ""depot"": 1}","[1, 2, 4, 5, 3, 1]"
TSP_S_007,TSP,S,7,"We’ve got a maintenance planner trying to put together a route so a tech can leave HQ, stop at each equipment location once, and come home without backtracking. The decision is which stop to go to next at each turn, and a good decision is one that keeps the overall driving to a minimum. You measure how good a route is by totaling the miles between consecutive stops, including the leg that returns to headquarters. It’s important that every site gets exactly one visit and that none are missed or repeated. The detailed list and numbers are shown below.

Below are the 10 sites, with headquarters A.

| site_id | x_coord | y_coord |
|---|---|---|
| A | 68 | 14 |
| B | 16 | 61 |
| C | 19 | 60 |
| D | 100 | 78 |
| E | 35 | 58 |
| F | 0 | 17 |
| G | 53 | 0 |
| H | 94 | 21 |
| I | 34 | 76 |
| J | 19 | 100 |

Make sure each site is visited exactly once and the tour returns to A.

When you send back the route, just use this tiny JSON layout so it's easy to plug into the planner:

{
  ""solution"": [hq_id, site_id, ..., hq_id]
}

Think of ""solution"" as the simple list of stops in order: start at HQ (the first hq_id), visit each site once (the site_id entries), and come back to HQ (the final hq_id). It's just a sketch of the shape I want, not the actual route.

Please make sure you use the exact identifiers from the instance input — don't rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""

That's it — drop the actual sequence of IDs into that array and we're good.",markdown_table,names,"[[68, 14], [16, 61], [19, 60], [100, 78], [35, 58], [0, 17], [53, 0], [94, 21], [34, 76], [19, 100]]","[0, 6, 5, 1, 2, 4, 8, 9, 3, 7, 0]",356.7884964942932,"{""problem_type"": ""TSP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 68, ""y"": 14}, {""id"": ""B"", ""x"": 16, ""y"": 61}, {""id"": ""C"", ""x"": 19, ""y"": 60}, {""id"": ""D"", ""x"": 100, ""y"": 78}, {""id"": ""E"", ""x"": 35, ""y"": 58}, {""id"": ""F"", ""x"": 0, ""y"": 17}, {""id"": ""G"", ""x"": 53, ""y"": 0}, {""id"": ""H"", ""x"": 94, ""y"": 21}, {""id"": ""I"", ""x"": 34, ""y"": 76}, {""id"": ""J"", ""x"": 19, ""y"": 100}], ""depot"": ""A""}","[""A"", ""G"", ""F"", ""B"", ""C"", ""E"", ""I"", ""J"", ""D"", ""H"", ""A""]"
TSP_S_008,TSP,S,8,"On a busy morning the flower shop needs a single delivery loop: out from the storefront, one drop at every recipient, and back to the shop without visiting any address more than once. Picking the right order of stops is the task — the best order is the one that keeps the overall driving distance lowest, calculated by summing each leg of the trip including the return. Every address on the list must be visited exactly once. The specific locations are listed below.

# total_locations=9
# storefront_id=1
location_id,x_coord,y_coord
1,0,79
2,99,2
3,21,100
4,19,28
5,18,75
6,100,56
7,63,51
8,99,0
9,61,40

Also, when you send back the delivery order, please keep it in a tiny JSON shape like this:

{
  ""solution"": [shop_id, recipient_id, ..., shop_id]
}

This just shows the shape I’m expecting: the solution array lists the stops in order — starting at the shop, hitting every recipient once, and coming back to the shop. It’s only a sketch of the expected format, not the actual route.

Please make sure to use the exact identifiers from the instance input — don’t rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,one_based,"[[0, 79], [99, 2], [21, 100], [19, 28], [18, 75], [100, 56], [63, 51], [99, 0], [61, 40]]","[0, 2, 4, 6, 5, 1, 7, 8, 3, 0]",352.5007858276367,"{""problem_type"": ""TSP"", ""num_nodes"": 9, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 79}, {""id"": 2, ""x"": 99, ""y"": 2}, {""id"": 3, ""x"": 21, ""y"": 100}, {""id"": 4, ""x"": 19, ""y"": 28}, {""id"": 5, ""x"": 18, ""y"": 75}, {""id"": 6, ""x"": 100, ""y"": 56}, {""id"": 7, ""x"": 63, ""y"": 51}, {""id"": 8, ""x"": 99, ""y"": 0}, {""id"": 9, ""x"": 61, ""y"": 40}], ""depot"": 1}","[1, 3, 5, 7, 6, 2, 8, 9, 4, 1]"
TSP_S_009,TSP,S,9,"Recently the courier asked for a plan that begins at the dispatch office, visits every client one time, and returns to the office in a single loop. The choice to make is the sequence of stops; the best sequence is the one with the smallest total travel distance, computed by adding up all the distances between each stop and the next, including the return trip. Every customer must be visited exactly once. The detailed list of stops appears below.

{
  ""total_stops_in_route"": 6,
  ""nodes"": [
    {
      ""location_id"": 0,
      ""x_coordinate"": 100,
      ""y_coordinate"": 0
    },
    {
      ""location_id"": 1,
      ""x_coordinate"": 84,
      ""y_coordinate"": 15
    },
    {
      ""location_id"": 2,
      ""x_coordinate"": 81,
      ""y_coordinate"": 34
    },
    {
      ""location_id"": 3,
      ""x_coordinate"": 0,
      ""y_coordinate"": 100
    },
    {
      ""location_id"": 4,
      ""x_coordinate"": 14,
      ""y_coordinate"": 20
    },
    {
      ""location_id"": 5,
      ""x_coordinate"": 67,
      ""y_coordinate"": 44
    }
  ],
  ""dispatch_office_id"": 0
}

Also, when you send back the route, please use this simple JSON layout so it's easy to parse and check.

{
  ""solution"": [""dispatch_office_id"", ""client_id"", ""..."", ""dispatch_office_id""]
}

Here ""solution"" is just the tour: a list of stop identifiers in the order they should be visited, starting and ending at the dispatch office. The words in the example are placeholders showing the shape I expect — replace them with the real IDs from the instance when you give the actual route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.  
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,zero_based,"[[100, 0], [84, 15], [81, 34], [0, 100], [14, 20], [67, 44]]","[0, 1, 2, 5, 3, 4, 0]",315.2037105560303,"{""problem_type"": ""TSP"", ""num_nodes"": 6, ""nodes"": [{""id"": 0, ""x"": 100, ""y"": 0}, {""id"": 1, ""x"": 84, ""y"": 15}, {""id"": 2, ""x"": 81, ""y"": 34}, {""id"": 3, ""x"": 0, ""y"": 100}, {""id"": 4, ""x"": 14, ""y"": 20}, {""id"": 5, ""x"": 67, ""y"": 44}], ""depot"": 0}","[0, 1, 2, 5, 3, 4, 0]"
TSP_S_010,TSP,S,10,"Recently the clinic scheduled house calls across town, and the driver has to turn that schedule into a single loop: leave the clinic, visit every address exactly once, and return to the clinic at the end. The question is which route order will make the least driving — the better route is the one with the lowest sum of all the successive distances between stops, plus the trip back to base. The detailed addresses and coordinates are shown below.

# total_locations_including_clinic=10
# clinic_node_id=0
location_id,x_coordinate_east_west,y_coordinate_north_south
0,34,79
1,46,13
2,0,95
3,78,82
4,76,0
5,58,78
6,100,69
7,81,51
8,15,14
9,61,100

If you want to hand me the route in a compact form, just pop it into a little JSON array like this:

{
  ""solution"": [clinic_id, house_id, ..., clinic_id]
}

This shows the tour order: the array under ""solution"" is the sequence of place identifiers to visit, starting at the clinic, then each house once, and ending back at the clinic. It's just a sketch of the shape I expect — not your actual route yet.

Please make sure to use the exact identifiers from the instance input, with no renaming or made-up labels. Valid identifiers look like:
- plain numbers such as “1” or “23”
- single capital letters like “A” or “B”
- a capital letter followed by digits like “A1” or “X7”

Those are the kinds of IDs I need — use them exactly as given.",csv,zero_based,"[[34, 79], [46, 13], [0, 95], [78, 82], [76, 0], [58, 78], [100, 69], [81, 51], [15, 14], [61, 100]]","[0, 2, 8, 1, 4, 7, 6, 3, 9, 5, 0]",357.6196041107178,"{""problem_type"": ""TSP"", ""num_nodes"": 10, ""nodes"": [{""id"": 0, ""x"": 34, ""y"": 79}, {""id"": 1, ""x"": 46, ""y"": 13}, {""id"": 2, ""x"": 0, ""y"": 95}, {""id"": 3, ""x"": 78, ""y"": 82}, {""id"": 4, ""x"": 76, ""y"": 0}, {""id"": 5, ""x"": 58, ""y"": 78}, {""id"": 6, ""x"": 100, ""y"": 69}, {""id"": 7, ""x"": 81, ""y"": 51}, {""id"": 8, ""x"": 15, ""y"": 14}, {""id"": 9, ""x"": 61, ""y"": 100}], ""depot"": 0}","[0, 2, 8, 1, 4, 7, 6, 3, 9, 5, 0]"
