id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
BPP_S_001,BPP,S,1,"Back when packing up an apartment, the problem was assigning each weighted box to one of several identical rental vans so nothing was left out or put into two vans. The better packing is the one that needs the fewest vans — you judge packings by counting vans used. For each van, sum the weights of its boxes and make sure that sum doesn’t exceed the van’s capacity, and every box must be assigned to exactly one van. The actual box weights and van capacity are given below.

- **van_capacity**: 100.0
- **total_boxes**: 10

| box_id | box_weight |
|---|---|
| 0 | 25.5 |
| 1 | 25.2 |
| 2 | 43.9 |
| 3 | 27.5 |
| 4 | 39.1 |
| 5 | 34.6 |
| 6 | 25.2 |
| 7 | 28.6 |
| 8 | 25.0 |
| 9 | 45.1 |

Oh, and when you send back the packing, please use this simple JSON layout so it's easy to read by the system:

{
  ""solution"": [[box_id, ...], ...]
}

Think of ""solution"" as a list of vans. Each inner list is one van and contains the box_id placeholders for the boxes assigned to that van. This is just a sketch of the shape I need — not the actual packing.

Important: use the exact identifiers from the instance input — do not rename them or invent new labels. Valid identifiers look like
- plain numbers such as “1” or “23”
- single capital letters like “A” or “B”
- a capital letter followed by digits like “A1” or “X7”",markdown_table,zero_based,"[25.5, 25.2, 43.9, 27.5, 39.1, 34.6, 25.2, 28.6, 25.0, 45.1]","[[2, 5], [6, 9], [0, 1, 7], [3, 4, 8]]",4,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 10, ""items"": [{""item_id"": 0, ""weight"": 25.5}, {""item_id"": 1, ""weight"": 25.2}, {""item_id"": 2, ""weight"": 43.9}, {""item_id"": 3, ""weight"": 27.5}, {""item_id"": 4, ""weight"": 39.1}, {""item_id"": 5, ""weight"": 34.6}, {""item_id"": 6, ""weight"": 25.2}, {""item_id"": 7, ""weight"": 28.6}, {""item_id"": 8, ""weight"": 25.0}, {""item_id"": 9, ""weight"": 45.1}]}","[[2, 5], [6, 9], [0, 1, 7], [3, 4, 8]]"
BPP_S_002,BPP,S,2,"Many people organizing meal prep will recognize this: there are a set number of ingredient bundles and plenty of same-sized coolers, and every bundle has to go into exactly one cooler (no splitting or copying), with the total in each cooler staying within its limit. The important decision is how to group the bundles, and the simplest good plan is the one that uses the fewest coolers — measure success by the count of coolers in use. The exact bundle weights and cooler capacity are shown further down.

- **cooler_capacity**: 150.0
- **total_bundles**: 9

| bundle_id | bundle_weight |
|---|---|
| 0 | 52.0 |
| 1 | 90.0 |
| 2 | 75.0 |
| 3 | 78.0 |
| 4 | 40.0 |
| 5 | 26.0 |
| 6 | 27.0 |
| 7 | 98.0 |
| 8 | 55.0 |

Also, when you report the grouping, please use this simple JSON shape so it's easy to read and parse — nothing fancy, just the list-of-lists form:

{
  ""solution"": [[""<bundle_id_1>"", ""<bundle_id_2>"", ""<bundle_id_3>""], [""<bundle_id_4>"", ""<bundle_id_5>""]]
}

Think of that JSON like a quick form: the top-level ""solution"" is the whole plan, each inner array is one cooler, and each ""<bundle_id_...>"" is a placeholder for an ingredient bundle that goes into that cooler. It's just a sketch of the shape I expect, not the actual assignment.

Please make sure to use the exact identifiers given in the instance input — don't rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,zero_based,"[52.0, 90.0, 75.0, 78.0, 40.0, 26.0, 27.0, 98.0, 55.0]","[[2, 4, 6], [3, 8], [5, 7], [0, 1]]",4,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 9, ""items"": [{""item_id"": 0, ""weight"": 52.0}, {""item_id"": 1, ""weight"": 90.0}, {""item_id"": 2, ""weight"": 75.0}, {""item_id"": 3, ""weight"": 78.0}, {""item_id"": 4, ""weight"": 40.0}, {""item_id"": 5, ""weight"": 26.0}, {""item_id"": 6, ""weight"": 27.0}, {""item_id"": 7, ""weight"": 98.0}, {""item_id"": 8, ""weight"": 55.0}]}","[[2, 4, 6], [3, 8], [5, 7], [0, 1]]"
BPP_S_003,BPP,S,3,"Imagine a row of identical suitcases waiting, each allowed to carry up to the same weight, and a heap of clothing bundles that need to be assigned to them. Each bundle must be put entirely into one suitcase, nothing can be left out or packed twice, and the sum of weights in any suitcase cannot go over the limit. The clearer winner among different ways to pack is the one that uses the fewest suitcases — you check that by counting how many suitcases are filled. Details about the item weights and the suitcase cap are given below.

# suitcase_weight_limit=150.0
# total_bundles=9
bundle_id,bundle_weight
A,70.0
B,94.0
C,83.0
D,80.0
E,97.0
F,78.0
G,67.0
H,52.0
I,79.0

If it helps, think of the reply as a tiny form you fill out and send back. I’d like the output in a simple JSON shape so it’s easy to read and check — something like this:

{
  ""solution"": [[bundle_id, ...], ...]
}

This sketch means: ""solution"" is a list of suitcases (each inner list is one suitcase), and each inner value (bundle_id) is a placeholder for one of the clothing bundle identifiers from the instance. The JSON above is only the expected shape — not the actual packing; replace each placeholder with the real identifiers from your instance.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,names,"[70.0, 94.0, 83.0, 80.0, 97.0, 78.0, 67.0, 52.0, 79.0]","[[5], [2, 6], [1], [0, 8], [4, 7], [3]]",6,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 9, ""items"": [{""item_id"": ""A"", ""weight"": 70.0}, {""item_id"": ""B"", ""weight"": 94.0}, {""item_id"": ""C"", ""weight"": 83.0}, {""item_id"": ""D"", ""weight"": 80.0}, {""item_id"": ""E"", ""weight"": 97.0}, {""item_id"": ""F"", ""weight"": 78.0}, {""item_id"": ""G"", ""weight"": 67.0}, {""item_id"": ""H"", ""weight"": 52.0}, {""item_id"": ""I"", ""weight"": 79.0}]}","[[""F""], [""C"", ""G""], [""B""], [""A"", ""I""], [""E"", ""H""], [""D""]]"
BPP_S_004,BPP,S,4,"Recently the packing team had to sort a bunch of electronics into identical crates with a strict weight cap. Every device has a known weight and must go into one crate only — nothing left behind or doubled up — and the practical win is to finish with the least number of crates while making sure no crate’s weight goes over the limit. You can judge any plan by counting crates used; the detailed weights and the crate limit are below.

There are 6 gadgets total and each crate may hold at most 100.0 weight.
Gadget 0 weighs 26.2.
Gadget 1 weighs 27.9.
Gadget 2 weighs 26.0.
Gadget 3 weighs 43.0.
Gadget 4 weighs 28.8.
Gadget 5 weighs 48.2.
The packing team will pack the 6 gadgets into crates without exceeding 100.0, aiming to use as few crates as possible.

Also, when you send your packing plan back, please use this simple JSON shape so it's easy to check automatically.

{
  ""solution"": [[device_id, ...], ...]
}

This just means ""solution"" is a list of crates, and each inner list is the IDs of the devices that go into that crate. Think of each inner array like the checklist you’d tape to a crate — a list of device IDs to pack together. The block above is just a sketch of the shape I need, not the actual answer.

Please make sure you use the exact identifiers from the instance input — no renaming and no new labels.  
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"[26.2, 27.9, 26.0, 43.0, 28.8, 48.2]","[[0, 4], [1, 5], [2, 3]]",3,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 6, ""items"": [{""item_id"": 0, ""weight"": 26.2}, {""item_id"": 1, ""weight"": 27.9}, {""item_id"": 2, ""weight"": 26.0}, {""item_id"": 3, ""weight"": 43.0}, {""item_id"": 4, ""weight"": 28.8}, {""item_id"": 5, ""weight"": 48.2}]}","[[0, 4], [1, 5], [2, 3]]"
BPP_S_005,BPP,S,5,"I watched a librarian gather a pile of heavy reference books and decide which identical book carts to load so every volume gets its own ride and no cart is overloaded; the trick is to put the books onto carts so that every book is on exactly one cart, no cart carries more than its limit, and the whole job uses as few carts as possible — you can tell which plan is better by simply counting how many carts end up in use, and the smaller that count the better the packing. The exact book weights and the cart capacity are shown below.

I listed the 5 volumes and the cart capacity 150.0.
I noted volume 1 weighed 98.0.
I noted volume 2 weighed 95.0.
I noted volume 3 weighed 45.0.
I noted volume 4 weighed 47.0.
I noted volume 5 weighed 60.0.
That let me judge packings by counting how many carts ended up in use.

If you want the final plan in a tidy, machine-friendly shape, just hand it back in a little JSON sketch like this — nothing fancy, just the layout I'd expect:

{
  ""solution"": [[book_id, ...], ...]
}

Here ""solution"" is a list of carts, and each inner list is the set of books (by their IDs) you put on that cart. Think of each book_id as a placeholder for whichever book identifier the instance uses — this is just the shape I want the real answer to follow, not the answer itself.

Please be sure to use the exact identifiers from the instance input — don't rename or invent labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,one_based,"[98.0, 95.0, 45.0, 47.0, 60.0]","[[3, 4], [1], [0, 2]]",3,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 5, ""items"": [{""item_id"": 1, ""weight"": 98.0}, {""item_id"": 2, ""weight"": 95.0}, {""item_id"": 3, ""weight"": 45.0}, {""item_id"": 4, ""weight"": 47.0}, {""item_id"": 5, ""weight"": 60.0}]}","[[4, 5], [2], [1, 3]]"
BPP_S_006,BPP,S,6,"There’s a stack of fragile pots, each weighed and wrapped, and the task is to tuck them into identical padded boxes so the total weight in any box never goes past the safe limit. Every single pot must be placed in exactly one box (no extras, no repeats), and the aim is to get everything into as few boxes as possible — the number of boxes is the score to minimize. The specific item weights and the box load limit appear below.

# box_max_load=150.0
# total_pots=10
pot_id,pot_weight
A,37.0
B,96.0
C,63.0
D,88.0
E,99.0
F,32.0
G,54.0
H,81.0
I,35.0
J,68.0

Oh, and when you send the packing itself, please use this little JSON shape so it's easy to parse:

{
  ""solution"": [[pot_id, ...], ...]
}

Here ""solution"" holds a list of boxes, and each inner list is the set of pot identifiers tucked into that box. Think of pot_id as a placeholder for whatever identifier each pot has in the instance (so each inner list is one box's contents). This is just a sketch of the expected shape, not the actual packing.

Quick reminder: use the exact identifiers from the instance input — do not rename them or introduce new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"[37.0, 96.0, 63.0, 88.0, 99.0, 32.0, 54.0, 81.0, 35.0, 68.0]","[[2, 5, 8], [7, 9], [0, 4], [3, 6], [1]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 10, ""items"": [{""item_id"": ""A"", ""weight"": 37.0}, {""item_id"": ""B"", ""weight"": 96.0}, {""item_id"": ""C"", ""weight"": 63.0}, {""item_id"": ""D"", ""weight"": 88.0}, {""item_id"": ""E"", ""weight"": 99.0}, {""item_id"": ""F"", ""weight"": 32.0}, {""item_id"": ""G"", ""weight"": 54.0}, {""item_id"": ""H"", ""weight"": 81.0}, {""item_id"": ""I"", ""weight"": 35.0}, {""item_id"": ""J"", ""weight"": 68.0}]}","[[""C"", ""F"", ""I""], [""H"", ""J""], [""A"", ""E""], [""D"", ""G""], [""B""]]"
BPP_S_007,BPP,S,7,"I was packing meals for a big event and needed to put individually plated dinners onto identical delivery trays. The choice to make was which plates to group together so every plate ends up on exactly one tray (none left behind and none copied), and the total weight on any tray never goes past the tray’s weight allowance. A better packing uses fewer trays overall — success is simply the number of trays used, and to check a plan you add up the weights on each tray and make sure each total is under the limit. The exact plate weights and tray load limit are listed below.

The tray load limit was 150.0 and I had 10 plated meals to assign.
Plate 1 weighed 39.0.
Plate 2 weighed 93.0.
Plate 3 weighed 93.0.
Plate 4 weighed 55.0.
Plate 5 weighed 35.0.
Plate 6 weighed 71.0.
Plate 7 weighed 95.0.
Plate 8 weighed 90.0.
Plate 9 weighed 100.0.
Plate 10 weighed 72.0.
I checked a plan by adding the weights on each tray to make sure each total stayed under 150.0.

And if you want to send me a proposed grouping, just use this tiny JSON shape so it's easy to read:

{
  ""solution"": [[plate_id, ...], ...]
}

Think of ""solution"" as a list of trays, and each inner list is the plates you put on that tray (the plate_id placeholders show where the actual plate identifiers from the input should go). This is just a sketch of the expected shape — not the real answer itself.

Please use the exact identifiers from the instance input — don't rename them or invent new labels.  
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,one_based,"[39.0, 93.0, 93.0, 55.0, 35.0, 71.0, 95.0, 90.0, 100.0, 72.0]","[[3, 6], [5, 9], [0, 7], [4, 8], [1], [2]]",6,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 10, ""items"": [{""item_id"": 1, ""weight"": 39.0}, {""item_id"": 2, ""weight"": 93.0}, {""item_id"": 3, ""weight"": 93.0}, {""item_id"": 4, ""weight"": 55.0}, {""item_id"": 5, ""weight"": 35.0}, {""item_id"": 6, ""weight"": 71.0}, {""item_id"": 7, ""weight"": 95.0}, {""item_id"": 8, ""weight"": 90.0}, {""item_id"": 9, ""weight"": 100.0}, {""item_id"": 10, ""weight"": 72.0}]}","[[4, 7], [6, 10], [1, 8], [5, 9], [2], [3]]"
BPP_S_008,BPP,S,8,"I was helping a photographer get ready for a trip and ended up with a box of weighted camera bits — batteries, lenses, flashes — and a stack of identical carry cases. The job is to decide which accessory goes into which case so nothing gets left out or put into two cases, and no case is overloaded past its weight limit. A better packing uses fewer cases overall, so the simple way to judge any plan is to count how many cases it needs while making sure each case stays under its capacity. The exact list of accessories and the case capacity are shown below.

There are 6 accessories and each case can hold up to 150.0.
I found A weighing 39.0.
I found B weighing 30.0.
I found C weighing 97.0.
I found D weighing 81.0.
I found E weighing 99.0.
I found F weighing 30.0.
I'll pack them into as few cases as possible without exceeding 150.0 per case.

If you want the answer in a tidy, machine-friendly shape, I usually ask for it in a little JSON snippet like this:

{
  ""solution"": [[accessory_id, ...], ...]
}

Think of ""solution"" as a list of carry cases, and each inner list is one case containing the accessory identifiers that go inside it. Super informal — just a sketch of the shape I expect, not the actual packing plan.

Please make sure to use the exact identifiers that appear in the instance input — do not rename items or add new labels. 

For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,names,"[39.0, 30.0, 97.0, 81.0, 99.0, 30.0]","[[0, 4], [2], [1, 3, 5]]",3,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 6, ""items"": [{""item_id"": ""A"", ""weight"": 39.0}, {""item_id"": ""B"", ""weight"": 30.0}, {""item_id"": ""C"", ""weight"": 97.0}, {""item_id"": ""D"", ""weight"": 81.0}, {""item_id"": ""E"", ""weight"": 99.0}, {""item_id"": ""F"", ""weight"": 30.0}]}","[[""A"", ""E""], [""C""], [""B"", ""D"", ""F""]]"
BPP_S_009,BPP,S,9,"Many volunteers are loading up wheelbarrows for a community planting day: there’s a fixed list of weighted supplies and a set of identical wheelbarrows that each can only take so much. Every item must go into exactly one wheelbarrow, none can be overloaded, and the goal is to fit everything while keeping the number of wheelbarrows as low as possible — just count how many barrows are needed, and aim for a lower count. The specifics appear below.

There are 7 supplies listed and each wheelbarrow can carry up to 100.0.
Supply A weighs 41.4.
Supply B weighs 31.2.
Supply C weighs 25.7.
Supply D weighs 30.6.
Supply E weighs 35.0.
Supply F weighs 27.8.
Supply G weighs 28.9.
Assign every supply to exactly one wheelbarrow so no wheelbarrow exceeds 100.0; aim to use as few wheelbarrows as possible for the 7 supplies.

Also, when you send back the actual packing, please use this simple JSON layout so it's easy to read by both people and tools:

{
  ""solution"": [[supply_id, ...], ...]
}

Think of this as a quick form: ""solution"" is a list of wheelbarrows, each inner list is the supplies placed in that wheelbarrow, and supply_id is just a placeholder for the identifier the input uses for each item. This JSON is only a sketch of the shape I expect — not the real packed answer.

Please use the exact identifiers from the input — do not rename them or invent new labels.  
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,names,"[41.4, 31.2, 25.7, 30.6, 35.0, 27.8, 28.9]","[[1, 4, 6], [0, 3, 5], [2]]",3,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 7, ""items"": [{""item_id"": ""A"", ""weight"": 41.4}, {""item_id"": ""B"", ""weight"": 31.2}, {""item_id"": ""C"", ""weight"": 25.7}, {""item_id"": ""D"", ""weight"": 30.6}, {""item_id"": ""E"", ""weight"": 35.0}, {""item_id"": ""F"", ""weight"": 27.8}, {""item_id"": ""G"", ""weight"": 28.9}]}","[[""B"", ""E"", ""G""], [""A"", ""D"", ""F""], [""C""]]"
BPP_S_010,BPP,S,10,"There’s a stack of boxes that need to be tucked away into identical lockers, each with a set weight allowance. The rules are simple: every box must be placed in exactly one locker, boxes can’t be split or put in two places, and no locker’s total weight can go past its allowance. The goal is to cram them in so that as few lockers as possible are used — measure success by counting how many lockers have anything in them. The concrete list of boxes, their weights, and the locker limit appear below.

{
  ""locker_capacity"": 100.0,
  ""total_box_count"": 10,
  ""items"": [
    {
      ""box_id"": 0,
      ""box_weight"": 41.2
    },
    {
      ""box_id"": 1,
      ""box_weight"": 28.9
    },
    {
      ""box_id"": 2,
      ""box_weight"": 47.6
    },
    {
      ""box_id"": 3,
      ""box_weight"": 26.2
    },
    {
      ""box_id"": 4,
      ""box_weight"": 38.3
    },
    {
      ""box_id"": 5,
      ""box_weight"": 30.7
    },
    {
      ""box_id"": 6,
      ""box_weight"": 27.6
    },
    {
      ""box_id"": 7,
      ""box_weight"": 36.5
    },
    {
      ""box_id"": 8,
      ""box_weight"": 30.5
    },
    {
      ""box_id"": 9,
      ""box_weight"": 25.5
    }
  ]
}

Oh, and to keep things tidy, please give the packing in this simple JSON shape when you reply:

{
  ""solution"": [[box_id, ...], ...]
}

Think of ""solution"" as a list of lockers, and each inner list is the IDs of the boxes tucked into that locker. It's just a little template — a sketch of the shape I expect, not the actual packing.

Please make sure you use the exact identifiers from the instance input — no renaming, no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,zero_based,"[41.2, 28.9, 47.6, 26.2, 38.3, 30.7, 27.6, 36.5, 30.5, 25.5]","[[1, 4, 5], [6, 7, 8], [2, 3, 9], [0]]",4,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 10, ""items"": [{""item_id"": 0, ""weight"": 41.2}, {""item_id"": 1, ""weight"": 28.9}, {""item_id"": 2, ""weight"": 47.6}, {""item_id"": 3, ""weight"": 26.2}, {""item_id"": 4, ""weight"": 38.3}, {""item_id"": 5, ""weight"": 30.7}, {""item_id"": 6, ""weight"": 27.6}, {""item_id"": 7, ""weight"": 36.5}, {""item_id"": 8, ""weight"": 30.5}, {""item_id"": 9, ""weight"": 25.5}]}","[[1, 4, 5], [6, 7, 8], [2, 3, 9], [0]]"
