id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
BPP_M_001,BPP,M,1,"There’s a stack of novels and chunky textbooks waiting to be boxed, and the task is to group them into identical moving boxes so every book is in exactly one box, no box is piled beyond its weight limit, and the whole arrangement uses as few boxes as possible. To judge which arrangement wins, simply count how many boxes are used — fewer is better. The exact details (weights and box capacity) appear below.

# box_capacity_kg=150.0
# total_books=12
book_label,book_weight_kg
1,60.0
2,48.0
3,40.0
4,66.0
5,37.0
6,26.0
7,35.0
8,77.0
9,59.0
10,87.0
11,54.0
12,94.0

Oh, and one more thing — when you send the arrangement back, please use a simple JSON layout so it's easy to check. Something like this:

{
  ""solution"": [[""book_id"", ...], ...]
}

Here ""solution"" is the outer list of moving boxes, and each inner list is the set of book IDs you put in that box (so each book appears in exactly one inner list). Think of it like filling out a packing list: each sublist is a single box and the entries are the book placeholders that go inside. This JSON is just a sketch of the shape I need, not the actual packed answer.

Please don’t rename or invent any identifiers — use the exact IDs from the instance input as-is. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,one_based,"[60.0, 48.0, 40.0, 66.0, 37.0, 26.0, 35.0, 77.0, 59.0, 87.0, 54.0, 94.0]","[[4, 6, 7], [1, 9], [5, 8, 10], [2, 11], [0, 3]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 12, ""items"": [{""item_id"": 1, ""weight"": 60.0}, {""item_id"": 2, ""weight"": 48.0}, {""item_id"": 3, ""weight"": 40.0}, {""item_id"": 4, ""weight"": 66.0}, {""item_id"": 5, ""weight"": 37.0}, {""item_id"": 6, ""weight"": 26.0}, {""item_id"": 7, ""weight"": 35.0}, {""item_id"": 8, ""weight"": 77.0}, {""item_id"": 9, ""weight"": 59.0}, {""item_id"": 10, ""weight"": 87.0}, {""item_id"": 11, ""weight"": 54.0}, {""item_id"": 12, ""weight"": 94.0}]}","[[5, 7, 8], [2, 10], [6, 9, 11], [3, 12], [1, 4]]"
BPP_M_002,BPP,M,2,"On a typical Saturday, there’s a pile of groceries and several uniform reusable bags on the table. The job is to assign every product to a single bag without cutting anything up, making sure the total weight in any bag never exceeds its maximum. The best way to do it is the arrangement that uses the smallest number of bags — you measure that by tallying the bags that end up holding items. The concrete list of goods and the bag limit are shown below.

- **bag_capacity**: 100.0
- **num_products**: 12

| product_id | product_weight |
|---|---|
| 0 | 44.0 |
| 1 | 41.9 |
| 2 | 42.3 |
| 3 | 47.2 |
| 4 | 32.2 |
| 5 | 25.1 |
| 6 | 25.3 |
| 7 | 29.1 |
| 8 | 43.9 |
| 9 | 47.8 |
| 10 | 32.3 |
| 11 | 35.5 |

Oh, and when you send back the packing plan, please put it in this little JSON shape so it's easy to read:

{
  ""solution"": [[""product_id"", ...], ...]
}

Think of ""solution"" as the list of reusable bags, and each inner list is the set of product IDs that go into that bag. The ""product_id"" placeholders show where the actual item identifiers from the grocery list should go — this JSON is just a sketch of the expected shape, not the real answer.

Please use the exact item identifiers from the instance input (do not rename them or invent new labels). 
for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"[44.0, 41.9, 42.3, 47.2, 32.2, 25.1, 25.3, 29.1, 43.9, 47.8, 32.3, 35.5]","[[4, 7, 10], [3, 8], [2, 9], [1, 11], [0, 5, 6]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 12, ""items"": [{""item_id"": 0, ""weight"": 44.0}, {""item_id"": 1, ""weight"": 41.9}, {""item_id"": 2, ""weight"": 42.3}, {""item_id"": 3, ""weight"": 47.2}, {""item_id"": 4, ""weight"": 32.2}, {""item_id"": 5, ""weight"": 25.1}, {""item_id"": 6, ""weight"": 25.3}, {""item_id"": 7, ""weight"": 29.1}, {""item_id"": 8, ""weight"": 43.9}, {""item_id"": 9, ""weight"": 47.8}, {""item_id"": 10, ""weight"": 32.3}, {""item_id"": 11, ""weight"": 35.5}]}","[[4, 7, 10], [3, 8], [2, 9], [1, 11], [0, 5, 6]]"
BPP_M_003,BPP,M,3,"Someone left a big batch of favors to be packed into uniform wooden crates, and the task is to put every favor into one crate — nothing can be split between boxes or left out — while making sure no crate gets more than it’s rated for. The decisions are about assigning items to crates, and the simplest successful plan is the one that ends up with the least number of crates; just tally the crates to see which plan wins. The detailed list of favors and the crate size are shown below.

{
  ""crate_capacity"": 150.0,
  ""total_favors"": 15,
  ""items"": [
    {
      ""favor_id"": 1,
      ""favor_weight"": 92.0
    },
    {
      ""favor_id"": 2,
      ""favor_weight"": 58.0
    },
    {
      ""favor_id"": 3,
      ""favor_weight"": 28.0
    },
    {
      ""favor_id"": 4,
      ""favor_weight"": 63.0
    },
    {
      ""favor_id"": 5,
      ""favor_weight"": 28.0
    },
    {
      ""favor_id"": 6,
      ""favor_weight"": 96.0
    },
    {
      ""favor_id"": 7,
      ""favor_weight"": 93.0
    },
    {
      ""favor_id"": 8,
      ""favor_weight"": 54.0
    },
    {
      ""favor_id"": 9,
      ""favor_weight"": 56.0
    },
    {
      ""favor_id"": 10,
      ""favor_weight"": 92.0
    },
    {
      ""favor_id"": 11,
      ""favor_weight"": 29.0
    },
    {
      ""favor_id"": 12,
      ""favor_weight"": 38.0
    },
    {
      ""favor_id"": 13,
      ""favor_weight"": 90.0
    },
    {
      ""favor_id"": 14,
      ""favor_weight"": 98.0
    },
    {
      ""favor_id"": 15,
      ""favor_weight"": 58.0
    }
  ]
}

When you send back the actual packing plan, just follow this simple JSON shape so it's easy to read by people and programs alike:

{
  ""solution"": [[favor_id, ...], ...]
}

Here ""solution"" is the outer list of crates, and each inner list is one crate listing the favor identifiers that go in it. The placeholder favor_id is just a stand-in for whatever item identifiers are used in the instance (so keep them as placeholders here, not filled in yet). This is only a sketch of the expected shape — not the real answer.

Please make sure you use the exact identifiers from the instance input with no renaming and no extra labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,one_based,"[92.0, 58.0, 28.0, 63.0, 28.0, 96.0, 93.0, 54.0, 56.0, 92.0, 29.0, 38.0, 90.0, 98.0, 58.0]","[[4, 6, 10], [5, 7], [2, 3, 8], [1, 12], [11, 13], [0, 14], [9]]",7,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 15, ""items"": [{""item_id"": 1, ""weight"": 92.0}, {""item_id"": 2, ""weight"": 58.0}, {""item_id"": 3, ""weight"": 28.0}, {""item_id"": 4, ""weight"": 63.0}, {""item_id"": 5, ""weight"": 28.0}, {""item_id"": 6, ""weight"": 96.0}, {""item_id"": 7, ""weight"": 93.0}, {""item_id"": 8, ""weight"": 54.0}, {""item_id"": 9, ""weight"": 56.0}, {""item_id"": 10, ""weight"": 92.0}, {""item_id"": 11, ""weight"": 29.0}, {""item_id"": 12, ""weight"": 38.0}, {""item_id"": 13, ""weight"": 90.0}, {""item_id"": 14, ""weight"": 98.0}, {""item_id"": 15, ""weight"": 58.0}]}","[[5, 7, 11], [6, 8], [3, 4, 9], [2, 13], [12, 14], [1, 15], [10]]"
BPP_M_004,BPP,M,4,"We were at the archive table, faced with stacks of donated magazines and a stack of identical archival boxes with a fixed interior volume. The decision is grouping magazines into those boxes so each issue travels whole in a single box (nothing split, nothing left behind or duplicated) and the total bulk inside any box stays within that box’s limit — you can check that by adding up the magazine volumes in each box. The plan that wins is the one that uses the smallest number of boxes; just count boxes to see which arrangement is better. The concrete sizes and the box limit follow below.

{
  ""box_interior_volume_limit"": 150.0,
  ""n_magazines"": 13,
  ""items"": [
    {
      ""magazine_identifier"": 0,
      ""magazine_volume"": 26.0
    },
    {
      ""magazine_identifier"": 1,
      ""magazine_volume"": 59.0
    },
    {
      ""magazine_identifier"": 2,
      ""magazine_volume"": 34.0
    },
    {
      ""magazine_identifier"": 3,
      ""magazine_volume"": 96.0
    },
    {
      ""magazine_identifier"": 4,
      ""magazine_volume"": 63.0
    },
    {
      ""magazine_identifier"": 5,
      ""magazine_volume"": 91.0
    },
    {
      ""magazine_identifier"": 6,
      ""magazine_volume"": 95.0
    },
    {
      ""magazine_identifier"": 7,
      ""magazine_volume"": 96.0
    },
    {
      ""magazine_identifier"": 8,
      ""magazine_volume"": 78.0
    },
    {
      ""magazine_identifier"": 9,
      ""magazine_volume"": 39.0
    },
    {
      ""magazine_identifier"": 10,
      ""magazine_volume"": 76.0
    },
    {
      ""magazine_identifier"": 11,
      ""magazine_volume"": 84.0
    },
    {
      ""magazine_identifier"": 12,
      ""magazine_volume"": 29.0
    }
  ]
}

Oh, and when you send back the grouping, a tiny JSON snippet like this is perfect — just a list of boxes, each box is a list of magazine IDs:

{
  ""solution"": [[magazine_id, ...], ...]
}

Here ""solution"" is the whole packing plan, each inner list is one box and the entries inside are the magazine identifiers (which tell me which issues go in that box). Think of it like filling out a form: one row per box, IDs of the magazines in that row. This block is just a sketch of the shape I expect, not the final answer.

Please be sure to use the exact identifiers from the instance input — no renaming, no made-up labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,zero_based,"[26.0, 59.0, 34.0, 96.0, 63.0, 91.0, 95.0, 96.0, 78.0, 39.0, 76.0, 84.0, 29.0]","[[3, 9], [0, 6, 12], [4, 11], [1, 5], [2, 10], [8], [7]]",7,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 13, ""items"": [{""item_id"": 0, ""weight"": 26.0}, {""item_id"": 1, ""weight"": 59.0}, {""item_id"": 2, ""weight"": 34.0}, {""item_id"": 3, ""weight"": 96.0}, {""item_id"": 4, ""weight"": 63.0}, {""item_id"": 5, ""weight"": 91.0}, {""item_id"": 6, ""weight"": 95.0}, {""item_id"": 7, ""weight"": 96.0}, {""item_id"": 8, ""weight"": 78.0}, {""item_id"": 9, ""weight"": 39.0}, {""item_id"": 10, ""weight"": 76.0}, {""item_id"": 11, ""weight"": 84.0}, {""item_id"": 12, ""weight"": 29.0}]}","[[3, 9], [0, 6, 12], [4, 11], [1, 5], [2, 10], [8], [7]]"
BPP_M_005,BPP,M,5,"We’re trying to organize a bunch of hand tools into a set of same-sized tool chests. The choice to make is how to put the tools into chests so that no chest carries more than its allowed weight, every tool is placed once and only once (no chopping tools up or leaving any behind), and the whole point is to get everything into the smallest number of chests — judge any arrangement by how many chests it uses. The detailed tool weights and chest capacity appear below.

# tool_chest_capacity=150.0
# total_tools=14
tool_id,tool_weight
A,38.0
B,44.0
C,46.0
D,43.0
E,53.0
F,47.0
G,32.0
H,53.0
I,61.0
J,67.0
K,92.0
L,100.0
M,25.0
N,57.0

Also, when you send back the arrangement, please use this simple JSON layout so it's easy to read and check:

{
  ""solution"": [[tool_id, ...], ...]
}

Here ""solution"" is a list of chests, and each inner list is the set of tools you'd put into one chest — the placeholder tool_id marks where each tool's identifier goes. This is just a sketch of the shape I want, not the actual answer.

Please make sure to use the exact identifiers from the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,names,"[38.0, 44.0, 46.0, 43.0, 53.0, 47.0, 32.0, 53.0, 61.0, 67.0, 92.0, 100.0, 25.0, 57.0]","[[10, 13], [5, 11], [0, 9, 12], [2, 3, 8], [1, 4, 7], [6]]",6,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 14, ""items"": [{""item_id"": ""A"", ""weight"": 38.0}, {""item_id"": ""B"", ""weight"": 44.0}, {""item_id"": ""C"", ""weight"": 46.0}, {""item_id"": ""D"", ""weight"": 43.0}, {""item_id"": ""E"", ""weight"": 53.0}, {""item_id"": ""F"", ""weight"": 47.0}, {""item_id"": ""G"", ""weight"": 32.0}, {""item_id"": ""H"", ""weight"": 53.0}, {""item_id"": ""I"", ""weight"": 61.0}, {""item_id"": ""J"", ""weight"": 67.0}, {""item_id"": ""K"", ""weight"": 92.0}, {""item_id"": ""L"", ""weight"": 100.0}, {""item_id"": ""M"", ""weight"": 25.0}, {""item_id"": ""N"", ""weight"": 57.0}]}","[[""K"", ""N""], [""F"", ""L""], [""A"", ""J"", ""M""], [""C"", ""D"", ""I""], [""B"", ""E"", ""H""], [""G""]]"
BPP_M_006,BPP,M,6,"We’re trying to get a day’s worth of clothing orders ready, stuffing garments into same-size cartons without tearing or cutting anything. The decision is which items to pair up in each carton so every garment is packed once and only once. The winning plan is the one that ends up with the smallest number of cartons — just tally the cartons used and prefer the lower count — as long as the summed sizes in any carton stay at or under the carton’s capacity. The concrete sizes and limits are listed below.

We're packing 11 garments into same-size cartons that each hold up to 150.0.
We assign garment A (size 36.0) to a carton.
We assign garment B (size 37.0) to a carton.
We assign garment C (size 34.0) to a carton.
We assign garment D (size 42.0) to a carton.
We assign garment E (size 60.0) to a carton.
We assign garment F (size 67.0) to a carton.
We assign garment G (size 58.0) to a carton.
We assign garment H (size 82.0) to a carton.
We assign garment I (size 82.0) to a carton.
We assign garment J (size 60.0) to a carton.
We assign garment K (size 48.0) to a carton.
We prefer the plan with the fewest cartons while keeping every carton at or under 150.0.

Also, when you send your packing plan back, just use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [[garment_id, ...], ...]
}

Think of ""solution"" as a list of cartons, and each inner list is the garments that go together in that carton (use the garment identifiers from the instance). The garment_id placeholder just stands in for whatever item identifiers you were given — this block is a sketch of the expected shape, not the actual answer.

Please make sure all identifiers are used exactly as they appear in the instance input — no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,names,"[36.0, 37.0, 34.0, 42.0, 60.0, 67.0, 58.0, 82.0, 82.0, 60.0, 48.0]","[[5, 8], [0, 2, 4], [3, 9, 10], [1, 6], [7]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 11, ""items"": [{""item_id"": ""A"", ""weight"": 36.0}, {""item_id"": ""B"", ""weight"": 37.0}, {""item_id"": ""C"", ""weight"": 34.0}, {""item_id"": ""D"", ""weight"": 42.0}, {""item_id"": ""E"", ""weight"": 60.0}, {""item_id"": ""F"", ""weight"": 67.0}, {""item_id"": ""G"", ""weight"": 58.0}, {""item_id"": ""H"", ""weight"": 82.0}, {""item_id"": ""I"", ""weight"": 82.0}, {""item_id"": ""J"", ""weight"": 60.0}, {""item_id"": ""K"", ""weight"": 48.0}]}","[[""F"", ""I""], [""A"", ""C"", ""E""], [""D"", ""J"", ""K""], [""B"", ""G""], [""H""]]"
BPP_M_007,BPP,M,7,"There’s a pile of client folders that must be packed into identical archive cartons, each carton having the same fixed space and not able to take more than it’s made for. The decision is which folders to put together in each carton, with the rule that each folder goes in exactly one carton and stays whole. A good packing is judged by how few cartons are used — count the cartons you end up with, and fewer cartons means a better outcome. The concrete list of folders and the box capacity appear below.

Below are the 13 folders and the carton capacity 150.0.
Folder A has size 70.0.
Folder B has size 37.0.
Folder C has size 30.0.
Folder D has size 26.0.
Folder E has size 75.0.
Folder F has size 86.0.
Folder G has size 55.0.
Folder H has size 33.0.
Folder I has size 38.0.
Folder J has size 53.0.
Folder K has size 45.0.
Folder L has size 56.0.
Folder M has size 49.0.
Arrangements that use fewer cartons are better.

Oh — and when you send back the actual packing, keep it simple and use a little JSON sketch like this:

{
  ""solution"": [[folder_id, ...], ...]
}

Think of ""solution"" as the whole shipment: each inner list is one carton and the placeholders like folder_id stand in for the real folder identifiers you’ll use from the instance. This block is just the shape I want you to follow — not the real answer itself.

Please be careful to use the exact identifiers from the instance input (don’t rename them or invent new ones). 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,names,"[70.0, 37.0, 30.0, 26.0, 75.0, 86.0, 55.0, 33.0, 38.0, 53.0, 45.0, 56.0, 49.0]","[[1, 5], [2, 4, 10], [0, 3, 9], [7, 11, 12], [6, 8]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 13, ""items"": [{""item_id"": ""A"", ""weight"": 70.0}, {""item_id"": ""B"", ""weight"": 37.0}, {""item_id"": ""C"", ""weight"": 30.0}, {""item_id"": ""D"", ""weight"": 26.0}, {""item_id"": ""E"", ""weight"": 75.0}, {""item_id"": ""F"", ""weight"": 86.0}, {""item_id"": ""G"", ""weight"": 55.0}, {""item_id"": ""H"", ""weight"": 33.0}, {""item_id"": ""I"", ""weight"": 38.0}, {""item_id"": ""J"", ""weight"": 53.0}, {""item_id"": ""K"", ""weight"": 45.0}, {""item_id"": ""L"", ""weight"": 56.0}, {""item_id"": ""M"", ""weight"": 49.0}]}","[[""B"", ""F""], [""C"", ""E"", ""K""], [""A"", ""D"", ""J""], [""H"", ""L"", ""M""], [""G"", ""I""]]"
BPP_M_008,BPP,M,8,"I was helping out at a small bottling line where the job was to shove full bottles into identical crates so none of the crates got overloaded. The choice to be made was which bottle goes into which crate — every bottle has to go into one and only one crate, and bottles can’t be split up. A better packing is the one that leaves the fewest crates in use, so the score is simply how many crates end up needed. The exact bottle weights and the crate weight limit will be shown below.

# crate_capacity_kg=100.0
# total_bottles=14
bottle_id,bottle_weight_kg
A,35.7
B,30.9
C,32.0
D,37.0
E,25.4
F,25.3
G,25.8
H,41.3
I,49.8
J,31.5
K,43.4
L,25.3
M,34.7
N,26.8

If you want to hand me a proposed packing from the bottling line, just send it in this little JSON layout so I can read which bottles go in which crate.

{
  ""solution"": [[bottle_id, ...], ...]
}

It's simple: ""solution"" is a list of crates, each inner list is the bottles that go into that crate, and each bottle is referenced by its identifier (keep them as placeholders here). This is just a sketch of the shape I expect, not the actual packing — you'll replace the placeholders with the real bottle IDs.

Please make sure you use the exact identifiers from the instance input — do not rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"[35.7, 30.9, 32.0, 37.0, 25.4, 25.3, 25.8, 41.3, 49.8, 31.5, 43.4, 25.3, 34.7, 26.8]","[[2, 6, 7], [1, 5, 12], [0, 3, 13], [4, 9, 11], [8, 10]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 14, ""items"": [{""item_id"": ""A"", ""weight"": 35.7}, {""item_id"": ""B"", ""weight"": 30.9}, {""item_id"": ""C"", ""weight"": 32.0}, {""item_id"": ""D"", ""weight"": 37.0}, {""item_id"": ""E"", ""weight"": 25.4}, {""item_id"": ""F"", ""weight"": 25.3}, {""item_id"": ""G"", ""weight"": 25.8}, {""item_id"": ""H"", ""weight"": 41.3}, {""item_id"": ""I"", ""weight"": 49.8}, {""item_id"": ""J"", ""weight"": 31.5}, {""item_id"": ""K"", ""weight"": 43.4}, {""item_id"": ""L"", ""weight"": 25.3}, {""item_id"": ""M"", ""weight"": 34.7}, {""item_id"": ""N"", ""weight"": 26.8}]}","[[""C"", ""G"", ""H""], [""B"", ""F"", ""M""], [""A"", ""D"", ""N""], [""E"", ""J"", ""L""], [""I"", ""K""]]"
BPP_M_009,BPP,M,9,"My neighbor dropped off a batch of seedlings and a pile of identical planters, all with the same soil capacity, and asked for help deciding how to arrange them. The choice is which seedlings to group into each planter: every seedling must go entirely into one planter (no splitting), and the total soil required by the seedlings in any one planter must not exceed that planter’s capacity. The better arrangement uses fewer planters — you measure that by counting the planters you end up using — and you must also check that none of the planters is overfilled. The specific seedling sizes and planter capacity will be shown below.

# planter_soil_capacity=150.0
# total_seedlings=12
seedling_id,seedling_soil_volume
A,30.0
B,74.0
C,79.0
D,27.0
E,87.0
F,56.0
G,83.0
H,30.0
I,80.0
J,29.0
K,31.0
L,77.0

If you want me to give the grouping as a simple data snippet you can use, just follow this little JSON shape when you send it back — it’s just a lightweight way to show which seedlings go in which planter:

{
  ""solution"": [[seedling_id, ...], ...]
}

Think of that as: ""solution"" is a list of planters, and each inner list is the set of seedling identifiers that go together in the same planter. The seedling_id entries are placeholders — in your actual reply you’d replace each placeholder with the real seedling identifiers from the instance.

This is just a sketch of the shape I expect, not the final arrangement itself. Please use the exact identifiers given in the instance input — don’t rename them and don’t invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,names,"[30.0, 74.0, 79.0, 27.0, 87.0, 56.0, 83.0, 30.0, 80.0, 29.0, 31.0, 77.0]","[[4, 7, 10], [0, 1, 9], [3, 8], [5, 11], [2], [6]]",6,"{""problem_type"": ""BPP"", ""bin_capacity"": 150.0, ""n_items"": 12, ""items"": [{""item_id"": ""A"", ""weight"": 30.0}, {""item_id"": ""B"", ""weight"": 74.0}, {""item_id"": ""C"", ""weight"": 79.0}, {""item_id"": ""D"", ""weight"": 27.0}, {""item_id"": ""E"", ""weight"": 87.0}, {""item_id"": ""F"", ""weight"": 56.0}, {""item_id"": ""G"", ""weight"": 83.0}, {""item_id"": ""H"", ""weight"": 30.0}, {""item_id"": ""I"", ""weight"": 80.0}, {""item_id"": ""J"", ""weight"": 29.0}, {""item_id"": ""K"", ""weight"": 31.0}, {""item_id"": ""L"", ""weight"": 77.0}]}","[[""E"", ""H"", ""K""], [""A"", ""B"", ""J""], [""D"", ""I""], [""F"", ""L""], [""C""], [""G""]]"
BPP_M_010,BPP,M,10,"There’s a closet overflowing with sneakers and a stack of identical storage crates; the job is to assign every shoe to one crate (keep pairs together) without exceeding what a crate can hold. One arrangement is better than another if it uses fewer crates in total, so the simple way to judge is to count how many crates each plan requires. The concrete details — which shoes weigh what and the crate capacity — are shown below.

# crate_capacity=100.0
# total_sneaker_pairs=12
sneaker_pair_id,pair_weight
A,47.3
B,36.6
C,40.7
D,25.9
E,32.3
F,30.6
G,25.1
H,25.4
I,46.6
J,31.4
K,38.5
L,28.2

If you want to hand me a packing plan, just use this little JSON shape so I know which shoes go in which crate:

{
  ""solution"": [[shoe_id, ...], ...]
}

Think of that as a simple form: ""solution"" is the list of crates, each inner list is one crate and contains the shoe identifiers that go together in that crate (shoe_id is a placeholder for whatever ID each shoe has in the instance). This is just the shape I expect, not the actual answer — fill in the real shoe IDs for a real plan.

Also: all identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"[47.3, 36.6, 40.7, 25.9, 32.3, 30.6, 25.1, 25.4, 46.6, 31.4, 38.5, 28.2]","[[3, 8], [1, 4, 5], [0], [7, 9, 10], [2, 6, 11]]",5,"{""problem_type"": ""BPP"", ""bin_capacity"": 100.0, ""n_items"": 12, ""items"": [{""item_id"": ""A"", ""weight"": 47.3}, {""item_id"": ""B"", ""weight"": 36.6}, {""item_id"": ""C"", ""weight"": 40.7}, {""item_id"": ""D"", ""weight"": 25.9}, {""item_id"": ""E"", ""weight"": 32.3}, {""item_id"": ""F"", ""weight"": 30.6}, {""item_id"": ""G"", ""weight"": 25.1}, {""item_id"": ""H"", ""weight"": 25.4}, {""item_id"": ""I"", ""weight"": 46.6}, {""item_id"": ""J"", ""weight"": 31.4}, {""item_id"": ""K"", ""weight"": 38.5}, {""item_id"": ""L"", ""weight"": 28.2}]}","[[""D"", ""I""], [""B"", ""E"", ""F""], [""A""], [""H"", ""J"", ""K""], [""C"", ""G"", ""L""]]"
