id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
CVRP_S_001,CVRP,S,1,"Someone from the store is lining up the drivers and thinking about how to split the work: every driver should start at the shop, cover a set of houses with their requested groceries exactly once, and return to the shop without exceeding the van’s load limit. To pick the best way, add up the distance each van travels and choose the arrangement with the smallest total distance. The concrete list of stops, quantities, and van capacities follows below.

There are 10 locations in total; the shop is node A, and each van can carry up to 100 units.

| location_id | location_x_coordinate | location_y_coordinate | grocery_demand_units |
|---|---|---|---|
| A | 0 | 71 | 0 |
| B | 62 | 6 | 12 |
| C | 71 | 8 | 24 |
| D | 62 | 90 | 3 |
| E | 76 | 9 | 14 |
| F | 87 | 59 | 19 |
| G | 70 | 0 | 4 |
| H | 100 | 31 | 24 |
| I | 75 | 100 | 19 |
| J | 68 | 98 | 2 |

Assign routes so each van starts and ends at node A, never exceeds 100 units, and the overall distance is minimized.

Also, to keep things tidy, when you send back the routes just stick to a simple JSON shape like this so I can read it straight away:

{
  ""solution"": [[shop_id, house_id, ... , shop_id], [shop_id, house_id, ... , shop_id], ...]
}

Pretty much: ""solution"" is a list of routes; each route is an array that starts and ends with the shop_id and lists the houses (house_id) visited in order. It's just an example of the shape I expect—don't treat these placeholders as real answers.

Please use the exact identifiers from the instance input — no renaming and no made-up labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"{""coordinates"": [[0, 71], [62, 6], [71, 8], [62, 90], [76, 9], [87, 59], [70, 0], [100, 31], [75, 100], [68, 98]], ""depot"": 0, ""demands"": [0, 12, 24, 3, 14, 19, 4, 24, 19, 2], ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 425.93241582495574, ""objective"": 425.93241582495574}","[[0, 3, 8, 9, 0], [0, 1, 6, 2, 4, 7, 5, 0]]",425.93241582495574,"{""problem_type"": ""CVRP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 0, ""y"": 71, ""demand"": 0}, {""id"": ""B"", ""x"": 62, ""y"": 6, ""demand"": 12}, {""id"": ""C"", ""x"": 71, ""y"": 8, ""demand"": 24}, {""id"": ""D"", ""x"": 62, ""y"": 90, ""demand"": 3}, {""id"": ""E"", ""x"": 76, ""y"": 9, ""demand"": 14}, {""id"": ""F"", ""x"": 87, ""y"": 59, ""demand"": 19}, {""id"": ""G"", ""x"": 70, ""y"": 0, ""demand"": 4}, {""id"": ""H"", ""x"": 100, ""y"": 31, ""demand"": 24}, {""id"": ""I"", ""x"": 75, ""y"": 100, ""demand"": 19}, {""id"": ""J"", ""x"": 68, ""y"": 98, ""demand"": 2}], ""depot"": ""A"", ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 425.93241582495574, ""objective"": 425.93241582495574}","[[""A"", ""D"", ""I"", ""J"", ""A""], [""A"", ""B"", ""G"", ""C"", ""E"", ""H"", ""F"", ""A""]]"
CVRP_S_002,CVRP,S,2,"We’re coordinating the day’s routes so a handful of carriers can hand over every piece of mail one time and then return to the post office. The choice is which streets and houses each carrier covers, keeping each route’s total mail within the capacity of that carrier’s bag. The goal is to keep the overall driving low: take each carrier’s route length, add them up, and the plan with the lowest total miles is best. The concrete stop-by-stop details appear below.

# total_stops_including_post_office=9
# post_office_stop_id=A
# carrier_mailbag_capacity=100
stop_id,map_x_coordinate,map_y_coordinate,mail_items_to_deliver
A,83,76,0
B,50,5,20
C,100,14,26
D,21,0,17
E,60,25,20
F,78,41,20
G,56,92,12
H,0,40,26
I,81,100,16

Also, when you send the planned routes back, please use this simple JSON shape so it's easy to read and parse:

{
  ""solution"": [[post_office_id, house_id, ... , post_office_id], [post_office_id, house_id, ... , post_office_id], ...]
}

This shows the general layout: ""solution"" is a list of routes, each inner list is the sequence of stops a single carrier will follow (starting and ending at the post office). It's just a sketch of the expected shape — not the actual answer.

Please make sure to use the exact identifiers from the instance input — do not rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"{""coordinates"": [[83, 76], [50, 5], [100, 14], [21, 0], [60, 25], [78, 41], [56, 92], [0, 40], [81, 100]], ""depot"": 0, ""demands"": [0, 20, 26, 17, 20, 20, 12, 26, 16], ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 443.0575013950785, ""objective"": 443.0575013950785}","[[0, 4, 1, 3, 7, 6, 0], [0, 5, 2, 8, 0]]",443.0575013950785,"{""problem_type"": ""CVRP"", ""num_nodes"": 9, ""nodes"": [{""id"": ""A"", ""x"": 83, ""y"": 76, ""demand"": 0}, {""id"": ""B"", ""x"": 50, ""y"": 5, ""demand"": 20}, {""id"": ""C"", ""x"": 100, ""y"": 14, ""demand"": 26}, {""id"": ""D"", ""x"": 21, ""y"": 0, ""demand"": 17}, {""id"": ""E"", ""x"": 60, ""y"": 25, ""demand"": 20}, {""id"": ""F"", ""x"": 78, ""y"": 41, ""demand"": 20}, {""id"": ""G"", ""x"": 56, ""y"": 92, ""demand"": 12}, {""id"": ""H"", ""x"": 0, ""y"": 40, ""demand"": 26}, {""id"": ""I"", ""x"": 81, ""y"": 100, ""demand"": 16}], ""depot"": ""A"", ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 443.0575013950785, ""objective"": 443.0575013950785}","[[""A"", ""E"", ""B"", ""D"", ""H"", ""G"", ""A""], [""A"", ""F"", ""C"", ""I"", ""A""]]"
CVRP_S_003,CVRP,S,3,"A small school district wants to set up bus runs that begin and end at the district garage, pick up every child exactly once, and never put more kids on a bus than it can seat. The task is to figure out which students go on which bus and the order of stops for each run so nobody is missed or picked up more than once. The measure of a good plan is simple: the less the entire fleet has to drive, the better — add together the distances of all the bus routes to get that total, and try to reduce it. The concrete list of stops, student counts, and vehicle capacities appears below.

There are 9 total stops including the garage; the garage stop id is 0; each bus has a seating capacity of 100 students.

| stop_id | map_x_coordinate | map_y_coordinate | students_waiting |
|---|---|---|---|
| 0 | 83 | 24 | 0 |
| 1 | 0 | 52 | 19 |
| 2 | 54 | 66 | 26 |
| 3 | 52 | 100 | 19 |
| 4 | 33 | 45 | 10 |
| 5 | 27 | 69 | 20 |
| 6 | 100 | 90 | 8 |
| 7 | 95 | 6 | 18 |
| 8 | 80 | 0 | 21 |

All routes must start and end at garage 0, visit every one of the 9 stops exactly once, and never carry more than 100 students on a run.

Also, when you reply, it'd be great if you follow a simple JSON layout so it's easy to read and check. Something like this:

{
  ""solution"": [[garage_id, stop_id, ... , garage_id], [garage_id, stop_id, ... , garage_id], ...]
}

This is just a sketch of the shape I expect: ""solution"" is a list of bus runs, each run is an ordered list of stop identifiers that starts and ends at the garage. Use the actual stop IDs from the instance for the garage and each stop — don't invent new names. The JSON above is only the shape, not the real plan.

Please use the exact identifiers given in the problem input — no renaming and no new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"{""coordinates"": [[83, 24], [0, 52], [54, 66], [52, 100], [33, 45], [27, 69], [100, 90], [95, 6], [80, 0]], ""depot"": 0, ""demands"": [0, 19, 26, 19, 10, 20, 8, 18, 21], ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 436.6454044420979, ""objective"": 436.6454044420979}","[[0, 6, 3, 5, 1, 4, 0], [0, 7, 8, 2, 0]]",436.6454044420979,"{""problem_type"": ""CVRP"", ""num_nodes"": 9, ""nodes"": [{""id"": 0, ""x"": 83, ""y"": 24, ""demand"": 0}, {""id"": 1, ""x"": 0, ""y"": 52, ""demand"": 19}, {""id"": 2, ""x"": 54, ""y"": 66, ""demand"": 26}, {""id"": 3, ""x"": 52, ""y"": 100, ""demand"": 19}, {""id"": 4, ""x"": 33, ""y"": 45, ""demand"": 10}, {""id"": 5, ""x"": 27, ""y"": 69, ""demand"": 20}, {""id"": 6, ""x"": 100, ""y"": 90, ""demand"": 8}, {""id"": 7, ""x"": 95, ""y"": 6, ""demand"": 18}, {""id"": 8, ""x"": 80, ""y"": 0, ""demand"": 21}], ""depot"": 0, ""capacity"": 100, ""num_vehicles"": 2, ""total_distance"": 436.6454044420979, ""objective"": 436.6454044420979}","[[0, 6, 3, 5, 1, 4, 0], [0, 7, 8, 2, 0]]"
CVRP_S_004,CVRP,S,4,"Recently the kitchen had a full day of events and had to split up deliveries: the decision was how to group stops for each van so every event gets its drop exactly once, all routes begin and end at the kitchen, and loads stay within each vehicle’s limit. The clearer winner was the plan with the least total driving — just add up the distance of each round trip to see which plan wins. The concrete details follow below.

There were 5 locations including the kitchen at node 1, and each van had a capacity of 100 units.

| location_id | location_x | location_y | order_quantity |
|---|---|---|---|
| 1 | 0 | 25 | 0 |
| 2 | 30 | 0 | 5 |
| 3 | 32 | 100 | 13 |
| 4 | 100 | 22 | 4 |
| 5 | 43 | 94 | 7 |

With these specifics, the plan with the least total round-trip distance was the winner.

If you want to hand me the route plan, a nice compact way is this JSON shape — just a top-level ""solution"" with a list of round trips:

{
  ""solution"": [[kitchen_id, stop_id, ... , kitchen_id], [kitchen_id, stop_id, ... , kitchen_id], ...]
}

Think of it like a little form: each inner list is one van's round trip (start at the kitchen, visit the listed stops in order, then return to the kitchen), and the outer list is the whole set of vans/routes. This is just a sketch of the shape I expect, not the actual answer.

Please use the exact identifiers from the instance input — no renaming and no extra labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,one_based,"{""coordinates"": [[0, 25], [30, 0], [32, 100], [100, 22], [43, 94]], ""depot"": 0, ""demands"": [0, 5, 13, 4, 7], ""capacity"": 100, ""num_vehicles"": 1, ""total_distance"": 298.32972549472004, ""objective"": 298.32972549472004}","[[0, 1, 3, 4, 2, 0]]",298.32972549472004,"{""problem_type"": ""CVRP"", ""num_nodes"": 5, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 25, ""demand"": 0}, {""id"": 2, ""x"": 30, ""y"": 0, ""demand"": 5}, {""id"": 3, ""x"": 32, ""y"": 100, ""demand"": 13}, {""id"": 4, ""x"": 100, ""y"": 22, ""demand"": 4}, {""id"": 5, ""x"": 43, ""y"": 94, ""demand"": 7}], ""depot"": 1, ""capacity"": 100, ""num_vehicles"": 1, ""total_distance"": 298.32972549472004, ""objective"": 298.32972549472004}","[[1, 2, 4, 5, 3, 1]]"
CVRP_S_005,CVRP,S,5,"There’s a routine to organize: nurses head out from the clinic, call on a list of patients, and then end the day back at the same clinic, with no patient getting more than one visit. Vehicles carry limited equipment, so each tour must fit within that load limit. The winning setup is the one that produces the fewest total miles driven (just add up the distance of every tour), and the concrete details — who’s where and how much they need, plus vehicle limits — appear below.

{
  ""num_locations_including_clinic"": 6,
  ""nodes"": [
    {
      ""location_node_id"": 1,
      ""x_coordinate"": 56,
      ""y_coordinate"": 23,
      ""equipment_demand"": 0
    },
    {
      ""location_node_id"": 2,
      ""x_coordinate"": 46,
      ""y_coordinate"": 73,
      ""equipment_demand"": 16
    },
    {
      ""location_node_id"": 3,
      ""x_coordinate"": 100,
      ""y_coordinate"": 0,
      ""equipment_demand"": 12
    },
    {
      ""location_node_id"": 4,
      ""x_coordinate"": 100,
      ""y_coordinate"": 100,
      ""equipment_demand"": 31
    },
    {
      ""location_node_id"": 5,
      ""x_coordinate"": 18,
      ""y_coordinate"": 59,
      ""equipment_demand"": 17
    },
    {
      ""location_node_id"": 6,
      ""x_coordinate"": 0,
      ""y_coordinate"": 14,
      ""equipment_demand"": 5
    }
  ],
  ""clinic_node_id"": 1,
  ""vehicle_equipment_capacity"": 220
}

When you send the routes back, just use a little JSON sketch like this so it's easy to read and parse:

{
  ""solution"": [[""clinic_id"", ""patient_id"", ... , ""clinic_id""], [""clinic_id"", ""patient_id"", ... , ""clinic_id""], ...]
}

Each inner list is one nurse's round: start at the clinic, visit the listed patients in order, then finish back at the clinic. Think of it like filling out a simple route sheet — it's just the order of stops for each vehicle. The block above is only an example of the shape I need, not the actual routes.

Please use the exact identifiers from the instance input — don't rename them or make up new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",json,one_based,"{""coordinates"": [[56, 23], [46, 73], [100, 0], [100, 100], [18, 59], [0, 14]], ""depot"": 0, ""demands"": [0, 16, 12, 31, 17, 5], ""capacity"": 220, ""num_vehicles"": 1, ""total_distance"": 346.5126403408765, ""objective"": 346.5126403408765}","[[0, 2, 3, 1, 4, 5, 0]]",346.5126403408765,"{""problem_type"": ""CVRP"", ""num_nodes"": 6, ""nodes"": [{""id"": 1, ""x"": 56, ""y"": 23, ""demand"": 0}, {""id"": 2, ""x"": 46, ""y"": 73, ""demand"": 16}, {""id"": 3, ""x"": 100, ""y"": 0, ""demand"": 12}, {""id"": 4, ""x"": 100, ""y"": 100, ""demand"": 31}, {""id"": 5, ""x"": 18, ""y"": 59, ""demand"": 17}, {""id"": 6, ""x"": 0, ""y"": 14, ""demand"": 5}], ""depot"": 1, ""capacity"": 220, ""num_vehicles"": 1, ""total_distance"": 346.5126403408765, ""objective"": 346.5126403408765}","[[1, 3, 4, 2, 5, 6, 1]]"
CVRP_S_006,CVRP,S,6,"Someone from the shop is mapping out routes so the delivery vans can drop off all the orders — each address visited only once — then head back to base, making sure no van carries more bouquets than it’s supposed to. The decision is which stops to bundle on each van and in what sequence; the winning plan is the one with the smallest total driving distance, computed by totalling every van’s round-trip kilometres. The full list of addresses, demands and vehicle limits is shown below.

There are 7 total locations, the shop is node 1, and each van may carry up to 135 bouquets.

| address_node_id | x_coordinate_km | y_coordinate_km | bouquets_required |
|---|---|---|---|
| 1 | 48 | 19 | 0 |
| 2 | 36 | 0 | 19 |
| 3 | 74 | 100 | 37 |
| 4 | 16 | 6 | 19 |
| 5 | 66 | 19 | 19 |
| 6 | 0 | 13 | 5 |
| 7 | 100 | 97 | 24 |

Ensure routes visit all 7 locations, start and end at node 1, and never exceed 135 bouquets per van.

You can just send back the routes in a little JSON shape like this — nothing fancy, just a quick sketch of the layout I expect:

{
  ""solution"": [[""shop_id"", ""address_id"", ""..."", ""shop_id""], [""shop_id"", ""address_id"", ""..."", ""shop_id""], ""...""]
}

Here ""solution"" is a list of van routes, each route itself is a list that starts and ends at the shop (the depot) and has the stops in the visiting order. Think of it like filling out a form: one inner list per van, each inner list showing the sequence of IDs the van will visit, returning to the shop at the end. This is only the expected shape — not the actual answer.

Please make sure every identifier you use matches the instance input exactly — do not rename any IDs or invent new ones. For example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,one_based,"{""coordinates"": [[48, 19], [36, 0], [74, 100], [16, 6], [66, 19], [0, 13], [100, 97]], ""depot"": 0, ""demands"": [0, 19, 37, 19, 19, 5, 24], ""capacity"": 135, ""num_vehicles"": 1, ""total_distance"": 304.2924715558466, ""objective"": 304.2924715558466}","[[0, 4, 6, 2, 5, 3, 1, 0]]",304.2924715558466,"{""problem_type"": ""CVRP"", ""num_nodes"": 7, ""nodes"": [{""id"": 1, ""x"": 48, ""y"": 19, ""demand"": 0}, {""id"": 2, ""x"": 36, ""y"": 0, ""demand"": 19}, {""id"": 3, ""x"": 74, ""y"": 100, ""demand"": 37}, {""id"": 4, ""x"": 16, ""y"": 6, ""demand"": 19}, {""id"": 5, ""x"": 66, ""y"": 19, ""demand"": 19}, {""id"": 6, ""x"": 0, ""y"": 13, ""demand"": 5}, {""id"": 7, ""x"": 100, ""y"": 97, ""demand"": 24}], ""depot"": 1, ""capacity"": 135, ""num_vehicles"": 1, ""total_distance"": 304.2924715558466, ""objective"": 304.2924715558466}","[[1, 5, 7, 3, 6, 4, 2, 1]]"
CVRP_S_007,CVRP,S,7,"Recently the city wanted to tidy up its collection plan: every truck departs from the depot, empties a selection of pickup points, and returns at the end of the run. Planners must decide how to group stops into circuits so every pickup gets emptied once and no truck is overloaded. The simplest way to compare plans is to look at the fleet’s total miles — sum the distance of each truck’s route and pick the plan with the smallest total. The concrete route details are shown below.

{
  ""num_locations_including_depot"": 9,
  ""nodes"": [
    {
      ""location_id"": 1,
      ""x_coordinate"": 8,
      ""y_coordinate"": 15,
      ""pickup_demand"": 0
    },
    {
      ""location_id"": 2,
      ""x_coordinate"": 61,
      ""y_coordinate"": 41,
      ""pickup_demand"": 30
    },
    {
      ""location_id"": 3,
      ""x_coordinate"": 69,
      ""y_coordinate"": 85,
      ""pickup_demand"": 16
    },
    {
      ""location_id"": 4,
      ""x_coordinate"": 69,
      ""y_coordinate"": 18,
      ""pickup_demand"": 15
    },
    {
      ""location_id"": 5,
      ""x_coordinate"": 0,
      ""y_coordinate"": 97,
      ""pickup_demand"": 7
    },
    {
      ""location_id"": 6,
      ""x_coordinate"": 44,
      ""y_coordinate"": 94,
      ""pickup_demand"": 14
    },
    {
      ""location_id"": 7,
      ""x_coordinate"": 100,
      ""y_coordinate"": 100,
      ""pickup_demand"": 6
    },
    {
      ""location_id"": 8,
      ""x_coordinate"": 50,
      ""y_coordinate"": 0,
      ""pickup_demand"": 15
    },
    {
      ""location_id"": 9,
      ""x_coordinate"": 14,
      ""y_coordinate"": 12,
      ""pickup_demand"": 5
    }
  ],
  ""depot_node_id"": 1,
  ""vehicle_capacity"": 40
}

You can just send the routes in a little JSON shape like this:

{
  ""solution"": [[""depot_id"", ""location_id"", ... , ""depot_id""], [""depot_id"", ""location_id"", ... , ""depot_id""], ...]
}

Each inner list is one truck’s circuit — start at the depot, list the pickup points in visit order, and come back to the depot at the end. Think of it like filling in a form: the outer array is the fleet, each inner array is a route.

This is just a sketch of the expected shape, not the actual answer. Please use the exact identifiers from the problem input — don’t rename them or invent new ones. 
- for example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,one_based,"{""coordinates"": [[8, 15], [61, 41], [69, 85], [69, 18], [0, 97], [44, 94], [100, 100], [50, 0], [14, 12]], ""depot"": 0, ""demands"": [0, 30, 16, 15, 7, 14, 6, 15, 5], ""capacity"": 40, ""num_vehicles"": 3, ""total_distance"": 626.556078822982, ""objective"": 626.556078822982}","[[0, 3, 7, 8, 0], [0, 2, 6, 5, 0], [0, 1, 4, 0]]",626.556078822982,"{""problem_type"": ""CVRP"", ""num_nodes"": 9, ""nodes"": [{""id"": 1, ""x"": 8, ""y"": 15, ""demand"": 0}, {""id"": 2, ""x"": 61, ""y"": 41, ""demand"": 30}, {""id"": 3, ""x"": 69, ""y"": 85, ""demand"": 16}, {""id"": 4, ""x"": 69, ""y"": 18, ""demand"": 15}, {""id"": 5, ""x"": 0, ""y"": 97, ""demand"": 7}, {""id"": 6, ""x"": 44, ""y"": 94, ""demand"": 14}, {""id"": 7, ""x"": 100, ""y"": 100, ""demand"": 6}, {""id"": 8, ""x"": 50, ""y"": 0, ""demand"": 15}, {""id"": 9, ""x"": 14, ""y"": 12, ""demand"": 5}], ""depot"": 1, ""capacity"": 40, ""num_vehicles"": 3, ""total_distance"": 626.556078822982, ""objective"": 626.556078822982}","[[1, 4, 8, 9, 1], [1, 3, 7, 6, 1], [1, 2, 5, 1]]"
CVRP_S_008,CVRP,S,8,"On a busy morning the dispatch team must assign each truck a set of retailers to visit, with every truck leaving from and coming back to the warehouse and carrying only up to its allowed load. The decision is which shops go on which truck runs so no store is skipped or double-served and no vehicle is overloaded. The preferred plan is the one with the lowest total distance traveled by the whole fleet — you figure that by summing the distance of each round-trip — and the specific instance details are listed below.

There are 6 locations in total; the warehouse is node A; each truck may carry up to 3000 units.

| location_id | x_coordinate | y_coordinate | demand_units |
|---|---|---|---|
| A | 49 | 2 | 0 |
| B | 6 | 100 | 800 |
| C | 0 | 95 | 1400 |
| D | 40 | 62 | 100 |
| E | 100 | 55 | 500 |
| F | 3 | 0 | 1300 |

Routes must start and end at node A, serve each location exactly once, and never exceed the 3000-unit truck limit.

Oh, and when you send back the planned runs, please follow this simple JSON shape so I can read it automatically:

{
  ""solution"": [[warehouse_id, retailer_id, ... , warehouse_id], [warehouse_id, retailer_id, ... , warehouse_id], ...]
}

Think of it like a form: ""solution"" holds a list of truck routes, each route is the round-trip sequence starting and ending at the warehouse (warehouse_id) and listing the shops (retailer_id) in the order they're visited. The ellipses just mean you can have as many stops as needed. This is only a sketch of the expected shape — not the actual answer.

Please be sure to use the exact identifiers from the instance input — don't rename them or add new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"{""coordinates"": [[49, 2], [6, 100], [0, 95], [40, 62], [100, 55], [3, 0]], ""depot"": 0, ""demands"": [0, 800, 1400, 100, 500, 1300], ""capacity"": 3000, ""num_vehicles"": 2, ""total_distance"": 389.96599592163744, ""objective"": 389.96599592163744}","[[0, 2, 1, 3, 4, 0], [0, 5, 0]]",389.96599592163744,"{""problem_type"": ""CVRP"", ""num_nodes"": 6, ""nodes"": [{""id"": ""A"", ""x"": 49, ""y"": 2, ""demand"": 0}, {""id"": ""B"", ""x"": 6, ""y"": 100, ""demand"": 800}, {""id"": ""C"", ""x"": 0, ""y"": 95, ""demand"": 1400}, {""id"": ""D"", ""x"": 40, ""y"": 62, ""demand"": 100}, {""id"": ""E"", ""x"": 100, ""y"": 55, ""demand"": 500}, {""id"": ""F"", ""x"": 3, ""y"": 0, ""demand"": 1300}], ""depot"": ""A"", ""capacity"": 3000, ""num_vehicles"": 2, ""total_distance"": 389.96599592163744, ""objective"": 389.96599592163744}","[[""A"", ""C"", ""B"", ""D"", ""E"", ""A""], [""A"", ""F"", ""A""]]"
CVRP_S_009,CVRP,S,9,"I run the bookmobile for a small branch and need to plan the day so each neighborhood stop gets a visit exactly once. The job is to pick which vans go to which stops, making sure no van takes more books than its shelves can hold, and every route starts and ends back at the branch. The better plan is simply the one that keeps the overall driving down — add up the distance of each van’s loop and aim for the smallest total. The exact stops, distances, and vehicle shelving limits are shown below.

I have 8 locations including the branch 0, and each van can carry up to 125 books.
I have stop 0 at (82, 94) requiring 0 books.
I have stop 1 at (8, 54) requiring 60 books.
I have stop 2 at (85, 27) requiring 60 books.
I have stop 3 at (100, 53) requiring 7 books.
I have stop 4 at (55, 0) requiring 10 books.
I have stop 5 at (58, 31) requiring 9 books.
I have stop 6 at (27, 65) requiring 1 books.
I have stop 7 at (0, 100) requiring 7 books.
I'll use these details to assign vans and minimize total driving while respecting the van shelving capacity of 125.

Also, when you send me the plan, keep it in this simple JSON layout so it's easy to read and plug in:

{
  ""solution"": [[branch_id, stop_id, ... , branch_id], [branch_id, stop_id, ... , branch_id], ...]
}

Here ""solution"" is a list of routes. Each route is a list of place identifiers starting and ending at the branch (the first and last entry in each inner list). Think of each inner list as one van's loop: branch → stop → stop → … → branch. This snippet is just a sketch of the shape I expect — not the actual plan.

Please make sure you use the exact identifiers from the instance input — don't rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"{""coordinates"": [[82, 94], [8, 54], [85, 27], [100, 53], [55, 0], [58, 31], [27, 65], [0, 100]], ""depot"": 0, ""demands"": [0, 60, 60, 7, 10, 9, 1, 7], ""capacity"": 125, ""num_vehicles"": 2, ""total_distance"": 426.75755261386445, ""objective"": 426.75755261386445}","[[0, 6, 1, 7, 0], [0, 5, 4, 2, 3, 0]]",426.75755261386445,"{""problem_type"": ""CVRP"", ""num_nodes"": 8, ""nodes"": [{""id"": 0, ""x"": 82, ""y"": 94, ""demand"": 0}, {""id"": 1, ""x"": 8, ""y"": 54, ""demand"": 60}, {""id"": 2, ""x"": 85, ""y"": 27, ""demand"": 60}, {""id"": 3, ""x"": 100, ""y"": 53, ""demand"": 7}, {""id"": 4, ""x"": 55, ""y"": 0, ""demand"": 10}, {""id"": 5, ""x"": 58, ""y"": 31, ""demand"": 9}, {""id"": 6, ""x"": 27, ""y"": 65, ""demand"": 1}, {""id"": 7, ""x"": 0, ""y"": 100, ""demand"": 7}], ""depot"": 0, ""capacity"": 125, ""num_vehicles"": 2, ""total_distance"": 426.75755261386445, ""objective"": 426.75755261386445}","[[0, 6, 1, 7, 0], [0, 5, 4, 2, 3, 0]]"
CVRP_S_010,CVRP,S,10,"We need to lay out pickup runs from the lab for several couriers: each run starts at the lab, visits some clinics, then returns to the lab, and every clinic must be visited once and only once. Each courier’s cooler has a maximum load, so the number of specimens per run has to fit, and the better plan is the one where the sum of all route distances is lowest — simply total the miles of every courier’s circuit to compare plans. The specific clinics, sample counts, cooler capacities, and route distances are listed below.

# total_locations_including_lab=9
# lab_node_id=A
# cooler_capacity_specimens=125
location_id,x_coordinate_miles,y_coordinate_miles,specimens_to_pickup
A,72,92,0
B,100,0,54
C,0,76,96
D,20,100,3
E,33,10,8
F,58,88,6
G,60,66,8
H,6,35,2
I,92,53,8

Also, when you send back the plan, please stick to this simple JSON layout so it's easy for the system to pick up:

{
  ""solution"": [[lab_id, clinic_id, ... , lab_id], [lab_id, clinic_id, ... , lab_id], ...]
}

Pretty straightforward: ""solution"" is a list of runs, each inner list is one courier's circuit that starts and ends at the lab (lab_id), with the clinic ids visited in between — the ... just means you can have more clinic ids in that spot. This is just the shape I expect, not the actual answer.

One more thing: use the exact identifiers from the instance input — don't rename them or invent new ones. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”. Use those exact labels when you give the real routes.",csv,names,"{""coordinates"": [[72, 92], [100, 0], [0, 76], [20, 100], [33, 10], [58, 88], [60, 66], [6, 35], [92, 53]], ""depot"": 0, ""demands"": [0, 54, 96, 3, 8, 6, 8, 2, 8], ""capacity"": 125, ""num_vehicles"": 2, ""total_distance"": 448.2852495407329, ""objective"": 448.2852495407329}","[[0, 5, 3, 2, 7, 4, 6, 0], [0, 1, 8, 0]]",448.2852495407329,"{""problem_type"": ""CVRP"", ""num_nodes"": 9, ""nodes"": [{""id"": ""A"", ""x"": 72, ""y"": 92, ""demand"": 0}, {""id"": ""B"", ""x"": 100, ""y"": 0, ""demand"": 54}, {""id"": ""C"", ""x"": 0, ""y"": 76, ""demand"": 96}, {""id"": ""D"", ""x"": 20, ""y"": 100, ""demand"": 3}, {""id"": ""E"", ""x"": 33, ""y"": 10, ""demand"": 8}, {""id"": ""F"", ""x"": 58, ""y"": 88, ""demand"": 6}, {""id"": ""G"", ""x"": 60, ""y"": 66, ""demand"": 8}, {""id"": ""H"", ""x"": 6, ""y"": 35, ""demand"": 2}, {""id"": ""I"", ""x"": 92, ""y"": 53, ""demand"": 8}], ""depot"": ""A"", ""capacity"": 125, ""num_vehicles"": 2, ""total_distance"": 448.2852495407329, ""objective"": 448.2852495407329}","[[""A"", ""F"", ""D"", ""C"", ""H"", ""E"", ""G"", ""A""], [""A"", ""B"", ""I"", ""A""]]"
