id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
TOP_S_001,TOP,S,1,"I run the delivery planning side of things, figuring out which stops each van should make so every vehicle leaves from and comes back to the central depot. The job is to pick a single loop for each vehicle that stays within that vehicle’s allowed distance, make sure no customer gets visited more than once, and try to collect as much order value as possible — the better plan is simply the one that adds up to the highest total of the order values at the stops we actually visit. The exact stops, distances and order values are shown below.

I run the delivery planning side of things; here are 10 total locations (including depot 1). I can assign up to 2 vehicles, each limited to a maximum loop length of 167.0.
Location 1 at (87, 28) has order value 0.
Location 2 at (31, 100) has order value 95.
Location 3 at (100, 50) has order value 73.
Location 4 at (37, 60) has order value 60.
Location 5 at (38, 47) has order value 16.
Location 6 at (0, 63) has order value 16.
Location 7 at (73, 76) has order value 6.
Location 8 at (10, 37) has order value 87.
Location 9 at (65, 21) has order value 60.
Location 10 at (36, 0) has order value 71.
I'll use these lines to pick up to 2 loops that each stay within 167.0.

Also, when you send the route plan back, please use this little JSON layout so it's easy to parse:

{
  ""solution"": [[""depot_id"", ""location_id"", ""..."", ""depot_id""], [""depot_id"", ""location_id"", ""..."", ""depot_id""], ""...""]
}

This just means: ""solution"" holds a list of loops (one per vehicle), each loop is a list of stop identifiers that starts and ends with the depot. It's just a sketch of the shape I need — not the real answer yet, just the format to follow.

Please make sure to use the exact identifiers from the instance input — don't rename them or invent new labels.
for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,one_based,"{""coordinates"": [[87, 28], [31, 100], [100, 50], [37, 60], [38, 47], [0, 63], [73, 76], [10, 37], [65, 21], [36, 0]], ""prizes"": [0, 95, 73, 60, 16, 16, 6, 87, 60, 71], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 7, 4, 0], [0, 2, 9, 8, 0]], ""total_route_length"": 325.4725076782937, ""collected_prize"": 307.0, ""objective"": 307.0}","[[0, 7, 4, 0], [0, 2, 9, 8, 0]]",307.0,"{""problem_type"": ""TOP"", ""num_nodes"": 10, ""nodes"": [{""id"": 1, ""x"": 87, ""y"": 28, ""prize"": 0}, {""id"": 2, ""x"": 31, ""y"": 100, ""prize"": 95}, {""id"": 3, ""x"": 100, ""y"": 50, ""prize"": 73}, {""id"": 4, ""x"": 37, ""y"": 60, ""prize"": 60}, {""id"": 5, ""x"": 38, ""y"": 47, ""prize"": 16}, {""id"": 6, ""x"": 0, ""y"": 63, ""prize"": 16}, {""id"": 7, ""x"": 73, ""y"": 76, ""prize"": 6}, {""id"": 8, ""x"": 10, ""y"": 37, ""prize"": 87}, {""id"": 9, ""x"": 65, ""y"": 21, ""prize"": 60}, {""id"": 10, ""x"": 36, ""y"": 0, ""prize"": 71}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 325.4725076782937, ""collected_prize"": 307.0, ""objective"": 307.0}","[[1, 8, 5, 1], [1, 3, 10, 9, 1]]"
TOP_S_002,TOP,S,2,"There’s this neat little operation where museum teams head out from the storage to bring mini-exhibits to neighborhood spots, then head back at the end of their shift. The job is to assign exhibits to each team and plan each team’s path so they don’t exceed their travel allowance. A plan is judged by how many satisfaction points it racks up in total — just add the point values of every stop all teams make — and every exhibit stop can only be used once across the whole set of tours. The exact numbers and stops are shown below.

They're listed as 6 total locations (museum storage is 1), a travel allowance of 167.0 per team, and 2 teams.

| site_id | x_coord | y_coord | satisfaction_points |
|---|---|---|---|
| 1 | 70 | 0 | 0 |
| 2 | 77 | 58 | 97 |
| 3 | 45 | 55 | 83 |
| 4 | 100 | 13 | 21 |
| 5 | 2 | 100 | 18 |
| 6 | 0 | 19 | 18 |

Each route must start and end at 1 and stay within the 167.0 travel allowance for every one of the 2 teams.

Oh — and if you want to hand the plan over in a tidy, machine-friendly way, you can use a small JSON snippet like this to show the routes:

{
  ""solution"": [[storage_id, spot_id, ... , storage_id], [storage_id, spot_id, ... , storage_id], ...]
}

This just means ""solution"" is a list of team routes; each inner list is one team's trip, starting at the storage (storage_id), visiting some neighborhood stops (spot_id) and coming back to the storage (storage_id). The dots are just standing in for ""and so on"" — it's a sketch of the shape I expect, not the actual plan.

Please be sure to use the exact identifiers from the instance input — don't rename them or invent new ones. For example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,one_based,"{""coordinates"": [[70, 0], [77, 58], [45, 55], [100, 13], [2, 100], [0, 19]], ""prizes"": [0, 97, 83, 21, 18, 18], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 3, 0], [0, 1, 2, 0]], ""total_route_length"": 216.36756480095065, ""collected_prize"": 201.0, ""objective"": 201.0}","[[0, 3, 0], [0, 1, 2, 0]]",201.0,"{""problem_type"": ""TOP"", ""num_nodes"": 6, ""nodes"": [{""id"": 1, ""x"": 70, ""y"": 0, ""prize"": 0}, {""id"": 2, ""x"": 77, ""y"": 58, ""prize"": 97}, {""id"": 3, ""x"": 45, ""y"": 55, ""prize"": 83}, {""id"": 4, ""x"": 100, ""y"": 13, ""prize"": 21}, {""id"": 5, ""x"": 2, ""y"": 100, ""prize"": 18}, {""id"": 6, ""x"": 0, ""y"": 19, ""prize"": 18}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 216.36756480095065, ""collected_prize"": 201.0, ""objective"": 201.0}","[[1, 4, 1], [1, 2, 3, 1]]"
TOP_S_003,TOP,S,3,"Someone needs to plan the crews’ daily runs so each team does one loop starting and ending at the maintenance yard and stays inside its allowed miles. No feature should be covered more than once, and the “best” set of runs is the one that collects the most importance points overall — just add up the importance numbers for every feature visited across all crews. The exact locations, mileage caps, and importance scores follow below.

There are 8 known locations including the maintenance yard A; assign 2 crews so each does one loop and no loop exceeds 167.0 miles.

| feature_id | map_x_coordinate | map_y_coordinate | importance_score |
|---|---|---|---|
| A | 0 | 100 | 0 |
| B | 0 | 3 | 52 |
| C | 0 | 17 | 43 |
| D | 12 | 24 | 29 |
| E | 76 | 21 | 61 |
| F | 24 | 3 | 14 |
| G | 37 | 17 | 29 |
| H | 100 | 0 | 37 |

These entries are for constructing the crews' loops under the stated rules.

Oh, and a quick thing about how to send back the planned runs: keep it simple and use this JSON shape so I can read it automatically.

{
  ""solution"": [[yard_id, feature_id, ... , yard_id], [yard_id, feature_id, ... , yard_id], ...]
}

Think of this as a short form: ""solution"" is a list of loops (one per crew). Each inner list is the ordered sequence of identifiers visited on that loop, starting and ending with the maintenance yard (yard_id). The placeholders there are just showing the shape — replace them with the actual location IDs from the instance when you reply.

This JSON is only a sketch of the expected shape, not the real answer — please fill in the real identifiers from the instance exactly as given. Do not rename or invent new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"{""coordinates"": [[0, 100], [0, 3], [0, 17], [12, 24], [76, 21], [24, 3], [37, 17], [100, 0]], ""prizes"": [0, 52, 43, 29, 61, 14, 29, 37], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 2, 0], [0, 3, 0]], ""total_route_length"": 319.8830724933707, ""collected_prize"": 72.0, ""objective"": 72.0}","[[0, 2, 0], [0, 3, 0]]",72.0,"{""problem_type"": ""TOP"", ""num_nodes"": 8, ""nodes"": [{""id"": ""A"", ""x"": 0, ""y"": 100, ""prize"": 0}, {""id"": ""B"", ""x"": 0, ""y"": 3, ""prize"": 52}, {""id"": ""C"", ""x"": 0, ""y"": 17, ""prize"": 43}, {""id"": ""D"", ""x"": 12, ""y"": 24, ""prize"": 29}, {""id"": ""E"", ""x"": 76, ""y"": 21, ""prize"": 61}, {""id"": ""F"", ""x"": 24, ""y"": 3, ""prize"": 14}, {""id"": ""G"", ""x"": 37, ""y"": 17, ""prize"": 29}, {""id"": ""H"", ""x"": 100, ""y"": 0, ""prize"": 37}], ""depot"": ""A"", ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 319.8830724933707, ""collected_prize"": 72.0, ""objective"": 72.0}","[[""A"", ""C"", ""A""], [""A"", ""D"", ""A""]]"
TOP_S_004,TOP,S,4,"We’ve got a clinic and several vans to send out into town; every route must start and finish at the clinic, each driver gets one route that can’t be longer than the set limit, and no neighborhood site should be visited by more than one van. The goal is to pick which stops go on each van’s run so that the combined outreach — simply the sum of the impact numbers for all stops the vans cover — is as large as possible. The concrete details (sites, distances, van limits and impact values) are listed below.

We’ve got 5 total sites including the clinic, clinic node 1, 2 vans available, and a max route length of 167.0 per van.
We list site 1 at coordinates (0, 12) with outreach impact 0.
We list site 2 at coordinates (46, 29) with outreach impact 79.
We list site 3 at coordinates (46, 0) with outreach impact 20.
We list site 4 at coordinates (49, 35) with outreach impact 51.
We list site 5 at coordinates (100, 100) with outreach impact 59.
Keep each van’s round-trip starting and ending at the clinic, don’t visit any site more than once, and ensure no route exceeds 167.0.

Also, when you send back your plan, just use this simple JSON shape so I can read the routes programmatically:

{
  ""solution"": [[clinic_id, site_id, ... , clinic_id], [clinic_id, site_id, ... , clinic_id], ...]
}

Pretty straightforward: ""solution"" is a list of van routes; each route is an ordered list that starts and ends with the clinic (clinic_id) and lists the neighborhood stops (site_id) visited on that run. Think of it like filling out a form: one array per van, locations in the order you’ll visit them. This is just a sketch of the expected shape, not the actual answer — fill in the real IDs from the instance when you submit the routes.

Please use the identifiers exactly as they appear in the instance input — no renaming and no made-up labels.
- for example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,one_based,"{""coordinates"": [[0, 12], [46, 29], [46, 0], [49, 35], [100, 100]], ""prizes"": [0, 79, 20, 51, 59], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 1, 3, 2, 0], [0, 0]], ""total_route_length"": 138.41679670997573, ""collected_prize"": 150.0, ""objective"": 150.0}","[[0, 1, 3, 2, 0], [0, 0]]",150.0,"{""problem_type"": ""TOP"", ""num_nodes"": 5, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 12, ""prize"": 0}, {""id"": 2, ""x"": 46, ""y"": 29, ""prize"": 79}, {""id"": 3, ""x"": 46, ""y"": 0, ""prize"": 20}, {""id"": 4, ""x"": 49, ""y"": 35, ""prize"": 51}, {""id"": 5, ""x"": 100, ""y"": 100, ""prize"": 59}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 138.41679670997573, ""collected_prize"": 150.0, ""objective"": 150.0}","[[1, 2, 4, 3, 1], [1, 1]]"
TOP_S_005,TOP,S,5,"Many people at the utility company are juggling repair calls; the idea is to send each team on a single loop from the depot, keep each loop within its travel cap, and cover the most urgent fixes. That means deciding which stops go on which team’s route so that, after adding up the urgency scores for all stops actually visited, the grand total is as large as possible. Each trip must return to the depot, no team gets a second run, and a repair site can’t be on more than one route. The specific instance details are below.

{
  ""total_locations_including_depot"": 9,
  ""nodes"": [
    {
      ""location_id"": 0,
      ""x_coord"": 0,
      ""y_coord"": 0,
      ""urgency_score"": 0
    },
    {
      ""location_id"": 1,
      ""x_coord"": 73,
      ""y_coord"": 18,
      ""urgency_score"": 61
    },
    {
      ""location_id"": 2,
      ""x_coord"": 67,
      ""y_coord"": 34,
      ""urgency_score"": 17
    },
    {
      ""location_id"": 3,
      ""x_coord"": 9,
      ""y_coord"": 45,
      ""urgency_score"": 7
    },
    {
      ""location_id"": 4,
      ""x_coord"": 30,
      ""y_coord"": 76,
      ""urgency_score"": 95
    },
    {
      ""location_id"": 5,
      ""x_coord"": 100,
      ""y_coord"": 79,
      ""urgency_score"": 97
    },
    {
      ""location_id"": 6,
      ""x_coord"": 8,
      ""y_coord"": 86,
      ""urgency_score"": 81
    },
    {
      ""location_id"": 7,
      ""x_coord"": 16,
      ""y_coord"": 88,
      ""urgency_score"": 30
    },
    {
      ""location_id"": 8,
      ""x_coord"": 14,
      ""y_coord"": 100,
      ""urgency_score"": 10
    }
  ],
  ""depot_node_id"": 0,
  ""travel_allowance_per_team"": 167.0,
  ""n_teams"": 2
}

Also, when you send the routes back, just toss them into this simple JSON layout so I can read them easily:

{
  ""solution"": [[depot_id, location_id, ... , depot_id], [depot_id, location_id, ... , depot_id], ...]
}

Think of ""solution"" as a list of loops one per team; each inner list is the ordered stops that loop back to the depot (so the first and last entry in each route should be the depot). This is just the shape I expect, not your final answer — fill it in with the actual stops from the instance.

Please use the exact identifiers given in the instance input — don't rename or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,zero_based,"{""coordinates"": [[0, 0], [73, 18], [67, 34], [9, 45], [30, 76], [100, 79], [8, 86], [16, 88], [14, 100]], ""prizes"": [0, 61, 17, 7, 95, 97, 81, 30, 10], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 4, 3, 0], [0, 1, 0]], ""total_route_length"": 315.4141288327703, ""collected_prize"": 163.0, ""objective"": 163.0}","[[0, 4, 3, 0], [0, 1, 0]]",163.0,"{""problem_type"": ""TOP"", ""num_nodes"": 9, ""nodes"": [{""id"": 0, ""x"": 0, ""y"": 0, ""prize"": 0}, {""id"": 1, ""x"": 73, ""y"": 18, ""prize"": 61}, {""id"": 2, ""x"": 67, ""y"": 34, ""prize"": 17}, {""id"": 3, ""x"": 9, ""y"": 45, ""prize"": 7}, {""id"": 4, ""x"": 30, ""y"": 76, ""prize"": 95}, {""id"": 5, ""x"": 100, ""y"": 79, ""prize"": 97}, {""id"": 6, ""x"": 8, ""y"": 86, ""prize"": 81}, {""id"": 7, ""x"": 16, ""y"": 88, ""prize"": 30}, {""id"": 8, ""x"": 14, ""y"": 100, ""prize"": 10}], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 315.4141288327703, ""collected_prize"": 163.0, ""objective"": 163.0}","[[0, 4, 3, 0], [0, 1, 0]]"
TOP_S_006,TOP,S,6,"Someone in charge is sketching shuttle routes so each volunteer drives a single loop out from and back to the festival hub without exceeding their allotted range. Each booth can only be visited once by the whole shuttle team, and the goal is to pick which booths to include on each loop so that the total sponsorship funds brought in — calculated by adding the sponsorship amounts of every visited booth — is as large as possible. The full breakdown of booths, values, and route limits appears below.

{
  ""total_locations_including_hub"": 5,
  ""nodes"": [
    {
      ""location_id"": 0,
      ""map_x"": 0,
      ""map_y"": 21,
      ""sponsorship_amount"": 0
    },
    {
      ""location_id"": 1,
      ""map_x"": 7,
      ""map_y"": 100,
      ""sponsorship_amount"": 44
    },
    {
      ""location_id"": 2,
      ""map_x"": 45,
      ""map_y"": 91,
      ""sponsorship_amount"": 12
    },
    {
      ""location_id"": 3,
      ""map_x"": 65,
      ""map_y"": 0,
      ""sponsorship_amount"": 50
    },
    {
      ""location_id"": 4,
      ""map_x"": 100,
      ""map_y"": 32,
      ""sponsorship_amount"": 3
    }
  ],
  ""hub_node_id"": 0,
  ""max_route_length_per_shuttle"": 167.0,
  ""n_shuttles"": 2
}

When you're ready to hand me the chosen loops, just drop them into a little JSON sketch like this so it's easy to read and check.

{
  ""solution"": [[hub_id, booth_id, ... , hub_id], [hub_id, booth_id, ... , hub_id], ...]
}

Pretty simple: ""solution"" is a list of loops (one loop per shuttle driver), each loop is a list of IDs that starts and ends at the festival hub. hub_id is the placeholder for the depot/hub, booth_id stands for the booths visited along that loop, and the ""..."" just means ""any number of booths in between."" This is only the shape I need — not the actual routes.

Please make sure you use the exact identifiers from the instance input — no renaming and no new labels.
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,zero_based,"{""coordinates"": [[0, 21], [7, 100], [45, 91], [65, 0], [100, 32]], ""prizes"": [0, 44, 12, 50, 3], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 1, 0], [0, 3, 0]], ""total_route_length"": 295.23529133469134, ""collected_prize"": 94.0, ""objective"": 94.0}","[[0, 1, 0], [0, 3, 0]]",94.0,"{""problem_type"": ""TOP"", ""num_nodes"": 5, ""nodes"": [{""id"": 0, ""x"": 0, ""y"": 21, ""prize"": 0}, {""id"": 1, ""x"": 7, ""y"": 100, ""prize"": 44}, {""id"": 2, ""x"": 45, ""y"": 91, ""prize"": 12}, {""id"": 3, ""x"": 65, ""y"": 0, ""prize"": 50}, {""id"": 4, ""x"": 100, ""y"": 32, ""prize"": 3}], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 295.23529133469134, ""collected_prize"": 94.0, ""objective"": 94.0}","[[0, 1, 0], [0, 3, 0]]"
TOP_S_007,TOP,S,7,"Someone on the operations team has to lay out inspection circuits so every drone flies a single, safe loop from the port and back and stays inside its allowed distance. The decision is which assets go on which drone’s circuit and the order to visit them, with the rule that a given inspection point can’t be checked by two different circuits. The better arrangement is the one that inspects assets whose condition scores add up to the largest number — that total is just the sum of the scores for the visited sites — all while keeping each loop within its flight range. The detailed instance information follows below.

The instance has 7 locations including the drone port 1; assign routes for 2 drones so each loop stays within 167.0.
Location 1 at coordinates (12, 0) with condition score 0.
Location 2 at coordinates (0, 11) with condition score 26.
Location 3 at coordinates (20, 18) with condition score 66.
Location 4 at coordinates (100, 31) with condition score 31.
Location 5 at coordinates (19, 40) with condition score 52.
Location 6 at coordinates (10, 100) with condition score 55.
Location 7 at coordinates (82, 98) with condition score 18.
Ensure each inspection point is assigned to at most one circuit and maximize the total condition score of visited sites while keeping every loop within the drone range.

Also, when you send the answer back, just give the chosen loops in a little JSON object shaped like this:

{
  ""solution"": [[depot_id, location_id, ... , depot_id], [depot_id, location_id, ... , depot_id], ...]
}

Think of it like a simple form: ""solution"" holds a list of circuits, each circuit is a list that starts at the port (the depot), lists the inspection points in the order the drone will visit them, and ends back at the port. This snippet is only a sketch of the expected shape — not the actual routes.

Please make sure to use the exact identifiers from the instance input — do not rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,one_based,"{""coordinates"": [[12, 0], [0, 11], [20, 18], [100, 31], [19, 40], [10, 100], [82, 98]], ""prizes"": [0, 26, 66, 31, 52, 55, 18], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 4, 0], [0, 0]], ""total_route_length"": 81.21576201698781, ""collected_prize"": 144.0, ""objective"": 144.0}","[[0, 4, 0], [0, 0]]",144.0,"{""problem_type"": ""TOP"", ""num_nodes"": 7, ""nodes"": [{""id"": 1, ""x"": 12, ""y"": 0, ""prize"": 0}, {""id"": 2, ""x"": 0, ""y"": 11, ""prize"": 26}, {""id"": 3, ""x"": 20, ""y"": 18, ""prize"": 66}, {""id"": 4, ""x"": 100, ""y"": 31, ""prize"": 31}, {""id"": 5, ""x"": 19, ""y"": 40, ""prize"": 52}, {""id"": 6, ""x"": 10, ""y"": 100, ""prize"": 55}, {""id"": 7, ""x"": 82, ""y"": 98, ""prize"": 18}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 81.21576201698781, ""collected_prize"": 144.0, ""objective"": 144.0}","[[1, 5, 1], [1, 1]]"
TOP_S_008,TOP,S,8,"Someone needs to put together the daily rounds: every worker gets a single route that begins and ends at the community center, must stay within their assigned distance cap, and no household can be on more than one worker’s list. The decision is which homes each worker will visit and in what sequence, aiming to collect as many engagement points as the team can. To check a plan, simply total the engagement points from every unique household visited; the plan with the highest total is preferred. The full, concrete details are shown below.

There are 10 mapped locations including the community center (id 0); 2 workers are available and each route must not exceed 167.0.
Location 0 is at (0, 83) and is worth 0 engagement points.
Location 1 is at (89, 5) and is worth 78 engagement points.
Location 2 is at (5, 0) and is worth 94 engagement points.
Location 3 is at (100, 27) and is worth 89 engagement points.
Location 4 is at (18, 16) and is worth 60 engagement points.
Location 5 is at (52, 50) and is worth 92 engagement points.
Location 6 is at (56, 100) and is worth 9 engagement points.
Location 7 is at (20, 80) and is worth 20 engagement points.
Location 8 is at (92, 35) and is worth 5 engagement points.
Location 9 is at (88, 14) and is worth 33 engagement points.
Total the engagement points from every unique household visited; the plan with the highest total is preferred.

Also, when you're ready to hand in a candidate plan, just drop it in this simple JSON shape so it's easy to read and check:

{
  ""solution"": [[community_center_id, household_id, ... , community_center_id], [community_center_id, household_id, ... , community_center_id], ...]
}

Think of it like a little form: ""solution"" is the whole day's schedule, each inner list is one worker's route, and every route should start and finish with the community center identifier (with the households visited in between). This is only a sketch of the shape I expect — fill it with the actual ids from the instance when you submit the real plan.

Please be sure to use the exact identifiers given in the instance input — don't rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"{""coordinates"": [[0, 83], [89, 5], [5, 0], [100, 27], [18, 16], [52, 50], [56, 100], [20, 80], [92, 35], [88, 14]], ""prizes"": [0, 78, 94, 89, 60, 92, 9, 20, 5, 33], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 2, 0], [0, 7, 0]], ""total_route_length"": 206.7484288802126, ""collected_prize"": 206.0, ""objective"": 206.0}","[[0, 2, 0], [0, 7, 0]]",206.0,"{""problem_type"": ""TOP"", ""num_nodes"": 10, ""nodes"": [{""id"": 0, ""x"": 0, ""y"": 83, ""prize"": 0}, {""id"": 1, ""x"": 89, ""y"": 5, ""prize"": 78}, {""id"": 2, ""x"": 5, ""y"": 0, ""prize"": 94}, {""id"": 3, ""x"": 100, ""y"": 27, ""prize"": 89}, {""id"": 4, ""x"": 18, ""y"": 16, ""prize"": 60}, {""id"": 5, ""x"": 52, ""y"": 50, ""prize"": 92}, {""id"": 6, ""x"": 56, ""y"": 100, ""prize"": 9}, {""id"": 7, ""x"": 20, ""y"": 80, ""prize"": 20}, {""id"": 8, ""x"": 92, ""y"": 35, ""prize"": 5}, {""id"": 9, ""x"": 88, ""y"": 14, ""prize"": 33}], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 206.7484288802126, ""collected_prize"": 206.0, ""objective"": 206.0}","[[0, 2, 0], [0, 7, 0]]"
TOP_S_009,TOP,S,9,"Recently the region’s field schedule got reorganized: each salesperson gets exactly one route leaving from and coming back to the regional office, each route must respect that rep’s travel cap, and no prospect should be called on by more than one person. The plans that work best are the ones that collect the most potential revenue—just sum the revenue amounts for the prospects covered. The full list of prospects, their revenue estimates, and travel constraints is shown below.

There are 6 locations listed, with regional office id 1; assign 2 single-return itineraries, each limited to 167.0 in travel.
Location 1 at (0, 0) with potential revenue 0.
Location 2 at (80, 12) with potential revenue 27.
Location 3 at (3, 58) with potential revenue 83.
Location 4 at (100, 66) with potential revenue 36.
Location 5 at (9, 79) with potential revenue 28.
Location 6 at (75, 100) with potential revenue 54.
Use these entries to choose stops that maximize summed potential revenue while keeping each route within 167.0 and returning to 1.

Oh, and when you send the actual routes back, please use this simple JSON shape so I can read it easily:

{
  ""solution"": [[office_id, prospect_id, ... , office_id], [office_id, prospect_id, ... , office_id], ...]
}

""solution"" is a list of routes. Each inner list is one rep's route: it starts and ends with the office_id and the prospect_id entries are the prospects visited along the way (the ""..."" just means more stops if needed). This is just a sketch of the expected shape, not the actual answer.

Please make sure to use the exact identifiers from the instance input — do not rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,one_based,"{""coordinates"": [[0, 0], [80, 12], [3, 58], [100, 66], [9, 79], [75, 100]], ""prizes"": [0, 27, 83, 36, 28, 54], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 2, 4, 0], [0, 1, 0]], ""total_route_length"": 321.21885690755835, ""collected_prize"": 138.0, ""objective"": 138.0}","[[0, 2, 4, 0], [0, 1, 0]]",138.0,"{""problem_type"": ""TOP"", ""num_nodes"": 6, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 0, ""prize"": 0}, {""id"": 2, ""x"": 80, ""y"": 12, ""prize"": 27}, {""id"": 3, ""x"": 3, ""y"": 58, ""prize"": 83}, {""id"": 4, ""x"": 100, ""y"": 66, ""prize"": 36}, {""id"": 5, ""x"": 9, ""y"": 79, ""prize"": 28}, {""id"": 6, ""x"": 75, ""y"": 100, ""prize"": 54}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 321.21885690755835, ""collected_prize"": 138.0, ""objective"": 138.0}","[[1, 3, 5, 1], [1, 2, 1]]"
TOP_S_010,TOP,S,10,"In this neighborhood the recycling trucks must each run one trip out of the depot and back, keeping within their allowed travel budget, and each house or drop-off can only be served by a single truck. The job is to figure out which stops go on which truck’s path so that the combined weight of all collected material is maximized — just add up the weights from every stop that gets visited to see the total. The detailed data for the instance (locations, weights, and truck limits) are shown below.

# total_locations_including_depot=6
# depot_id=1
# max_route_distance_per_truck=167.0
# number_of_trucks=2
location_id,x_coordinate,y_coordinate,material_weight
1,0,100,0
2,48,100,80
3,62,9,7
4,82,63,99
5,100,0,77
6,100,19,20

Oh, and when you send the solution back, please stick to this simple JSON layout so it's easy to read and check:

{
  ""solution"": [[depot_id, location_id, ... , depot_id], [depot_id, location_id, ... , depot_id], ...]
}

This little sketch means: ""solution"" is a list of trips (one per truck). Each trip is a list that starts and ends at the depot and has the visited stop identifiers in between. Treat depot_id and location_id as placeholders for the actual IDs from the instance — this is just the shape I want, not the final filled-in answer.

Please make sure you use the exact identifiers given in the instance input, with no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",csv,one_based,"{""coordinates"": [[0, 100], [48, 100], [62, 9], [82, 63], [100, 0], [100, 19]], ""prizes"": [0, 80, 7, 99, 77, 20], ""depot"": 0, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""routes"": [[0, 1, 0], [0, 0]], ""total_route_length"": 96.0, ""collected_prize"": 80.0, ""objective"": 80.0}","[[0, 1, 0], [0, 0]]",80.0,"{""problem_type"": ""TOP"", ""num_nodes"": 6, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 100, ""prize"": 0}, {""id"": 2, ""x"": 48, ""y"": 100, ""prize"": 80}, {""id"": 3, ""x"": 62, ""y"": 9, ""prize"": 7}, {""id"": 4, ""x"": 82, ""y"": 63, ""prize"": 99}, {""id"": 5, ""x"": 100, ""y"": 0, ""prize"": 77}, {""id"": 6, ""x"": 100, ""y"": 19, ""prize"": 20}], ""depot"": 1, ""max_length_per_vehicle"": 167.0, ""n_vehicles"": 2, ""total_route_length"": 96.0, ""collected_prize"": 80.0, ""objective"": 80.0}","[[1, 2, 1], [1, 1]]"
