id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
MLP_M_001,MLP,M,1,"There’s a single route to plan from the central sorting hub to a bunch of delivery points, and the only real choice is the order in which the driver visits them. What counts as a good plan is simple: note the time the driver reaches each address, add up all those arrival times, and aim for the smallest possible total — that means customers overall got their deliveries sooner. The van has to start at the hub and visit every address exactly once; no stops can be skipped or repeated. The specific addresses and timings are shown below.

{
  ""total_nodes_in_instance"": 13,
  ""nodes"": [
    {
      ""location_id"": 1,
      ""x_coordinate"": 78,
      ""y_coordinate"": 0
    },
    {
      ""location_id"": 2,
      ""x_coordinate"": 56,
      ""y_coordinate"": 58
    },
    {
      ""location_id"": 3,
      ""x_coordinate"": 74,
      ""y_coordinate"": 52
    },
    {
      ""location_id"": 4,
      ""x_coordinate"": 30,
      ""y_coordinate"": 70
    },
    {
      ""location_id"": 5,
      ""x_coordinate"": 78,
      ""y_coordinate"": 58
    },
    {
      ""location_id"": 6,
      ""x_coordinate"": 77,
      ""y_coordinate"": 100
    },
    {
      ""location_id"": 7,
      ""x_coordinate"": 62,
      ""y_coordinate"": 53
    },
    {
      ""location_id"": 8,
      ""x_coordinate"": 59,
      ""y_coordinate"": 53
    },
    {
      ""location_id"": 9,
      ""x_coordinate"": 53,
      ""y_coordinate"": 20
    },
    {
      ""location_id"": 10,
      ""x_coordinate"": 100,
      ""y_coordinate"": 0
    },
    {
      ""location_id"": 11,
      ""x_coordinate"": 0,
      ""y_coordinate"": 72
    },
    {
      ""location_id"": 12,
      ""x_coordinate"": 57,
      ""y_coordinate"": 32
    },
    {
      ""location_id"": 13,
      ""x_coordinate"": 83,
      ""y_coordinate"": 58
    }
  ],
  ""starting_hub_id"": 1
}

Also, when you send back the planned route, keep it simple and put it in this tiny JSON shape so it's easy to read and check:

{
  ""solution"": [hub_id, stop_id, ..., hub_id]
}

Here ""solution"" is just the route: start with the hub, list each delivery stop in the order the driver visits them, and finish back at the hub. The hub_id / stop_id bits are placeholders showing the expected layout — replace them with the actual IDs from the instance when you answer. This snippet is only a sketch of the shape I want, not the actual route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"[[78, 0], [56, 58], [74, 52], [30, 70], [78, 58], [77, 100], [62, 53], [59, 53], [53, 20], [100, 0], [0, 72], [57, 32], [83, 58]]","[0, 8, 11, 7, 1, 6, 2, 4, 12, 5, 3, 10, 9, 0]",1522.1336539262793,"{""problem_type"": ""MLP"", ""num_nodes"": 13, ""nodes"": [{""id"": 1, ""x"": 78, ""y"": 0}, {""id"": 2, ""x"": 56, ""y"": 58}, {""id"": 3, ""x"": 74, ""y"": 52}, {""id"": 4, ""x"": 30, ""y"": 70}, {""id"": 5, ""x"": 78, ""y"": 58}, {""id"": 6, ""x"": 77, ""y"": 100}, {""id"": 7, ""x"": 62, ""y"": 53}, {""id"": 8, ""x"": 59, ""y"": 53}, {""id"": 9, ""x"": 53, ""y"": 20}, {""id"": 10, ""x"": 100, ""y"": 0}, {""id"": 11, ""x"": 0, ""y"": 72}, {""id"": 12, ""x"": 57, ""y"": 32}, {""id"": 13, ""x"": 83, ""y"": 58}], ""depot"": 1}","[1, 9, 12, 8, 2, 7, 3, 5, 13, 6, 4, 11, 10, 1]"
MLP_M_002,MLP,M,2,"It’s been a busy season, so the work plan starts at the equipment shed and needs a smart order for tending every street tree on the block. A good order is simply one where the trees, when you add up the time you reach each of them, come out with a smaller overall total. No tree can be left out or done twice, the trip begins at the shed, and the full list of trees and locations appears below.

Start at shed A and visit all 11 locations.
Visit tree A at (83, 63).
Visit tree B at (6, 0).
Visit tree C at (92, 39).
Visit tree D at (46, 37).
Visit tree E at (46, 45).
Visit tree F at (0, 6).
Visit tree G at (97, 30).
Visit tree H at (48, 13).
Visit tree I at (25, 13).
Visit tree J at (100, 4).
Visit tree K at (49, 100).
Choose an order that minimizes the sum of arrival times across the 11 locations starting from shed A.

Oh, and to keep things machine-friendly, please give the tour in this little JSON shape when you reply — nothing fancy, just the order we’ll follow:

{
  ""solution"": [shed_id, tree_id, ..., shed_id]
}

""solution"" is the visit order: start at the shed (first placeholder), list each tree/location id in the order you reach them, and come back to the shed at the end. This is just a sketch of the expected shape, not the actual tour.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,names,"[[83, 63], [6, 0], [92, 39], [46, 37], [46, 45], [0, 6], [97, 30], [48, 13], [25, 13], [100, 4], [49, 100]]","[0, 2, 6, 9, 7, 8, 1, 5, 3, 4, 10, 0]",1452.3161815609556,"{""problem_type"": ""MLP"", ""num_nodes"": 11, ""nodes"": [{""id"": ""A"", ""x"": 83, ""y"": 63}, {""id"": ""B"", ""x"": 6, ""y"": 0}, {""id"": ""C"", ""x"": 92, ""y"": 39}, {""id"": ""D"", ""x"": 46, ""y"": 37}, {""id"": ""E"", ""x"": 46, ""y"": 45}, {""id"": ""F"", ""x"": 0, ""y"": 6}, {""id"": ""G"", ""x"": 97, ""y"": 30}, {""id"": ""H"", ""x"": 48, ""y"": 13}, {""id"": ""I"", ""x"": 25, ""y"": 13}, {""id"": ""J"", ""x"": 100, ""y"": 4}, {""id"": ""K"", ""x"": 49, ""y"": 100}], ""depot"": ""A""}","[""A"", ""C"", ""G"", ""J"", ""H"", ""I"", ""B"", ""F"", ""D"", ""E"", ""K"", ""A""]"
MLP_M_003,MLP,M,3,"Picture this: a librarian hops into a van at the branch and has to make a handful of neighborhood calls — the goal is to arrange those calls so that if you note the time the librarian gets to each stop and add all those arrival times up, that grand total is as small as it can be. It’s a matter of ordering the visits, making sure every stop is covered exactly once, and preferring routes with a lower sum of arrival times. The concrete locations and timings are shown below.

Below are the 14 locations, with the branch labeled 1.
Stop 1 at coordinates (0, 24).
Stop 2 at coordinates (44, 24).
Stop 3 at coordinates (93, 41).
Stop 4 at coordinates (67, 94).
Stop 5 at coordinates (0, 53).
Stop 6 at coordinates (44, 100).
Stop 7 at coordinates (11, 100).
Stop 8 at coordinates (78, 15).
Stop 9 at coordinates (75, 9).
Stop 10 at coordinates (78, 74).
Stop 11 at coordinates (75, 38).
Stop 12 at coordinates (33, 0).
Stop 13 at coordinates (100, 50).
Stop 14 at coordinates (44, 41).
Plan the visit order starting from branch 1 so each stop is visited exactly once and the sum of arrival times is minimized.

If you want to send the route back, keep it simple and use this little JSON shape — just a single ""solution"" list showing the depot (where the librarian starts) and the stops in the order they're visited.

{
  ""solution"": [branch_id, stop_id, ..., branch_id]
}

Think of it like a filled-in form: branch_id is the starting branch (the van's home base), each stop_id is a neighborhood call in the sequence you visit them, and the final branch_id closes the loop if you return to the branch. This is just the sketch of the shape I want, not your actual answer.

Please use the exact identifiers from the instance input — do not rename them or invent new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,one_based,"[[0, 24], [44, 24], [93, 41], [67, 94], [0, 53], [44, 100], [11, 100], [78, 15], [75, 9], [78, 74], [75, 38], [33, 0], [100, 50], [44, 41]]","[0, 13, 1, 8, 7, 10, 2, 12, 9, 3, 5, 6, 4, 11, 0]",2360.1906904026914,"{""problem_type"": ""MLP"", ""num_nodes"": 14, ""nodes"": [{""id"": 1, ""x"": 0, ""y"": 24}, {""id"": 2, ""x"": 44, ""y"": 24}, {""id"": 3, ""x"": 93, ""y"": 41}, {""id"": 4, ""x"": 67, ""y"": 94}, {""id"": 5, ""x"": 0, ""y"": 53}, {""id"": 6, ""x"": 44, ""y"": 100}, {""id"": 7, ""x"": 11, ""y"": 100}, {""id"": 8, ""x"": 78, ""y"": 15}, {""id"": 9, ""x"": 75, ""y"": 9}, {""id"": 10, ""x"": 78, ""y"": 74}, {""id"": 11, ""x"": 75, ""y"": 38}, {""id"": 12, ""x"": 33, ""y"": 0}, {""id"": 13, ""x"": 100, ""y"": 50}, {""id"": 14, ""x"": 44, ""y"": 41}], ""depot"": 1}","[1, 14, 2, 9, 8, 11, 3, 13, 10, 4, 6, 7, 5, 12, 1]"
MLP_M_004,MLP,M,4,"On a typical shift the food truck departs from the kitchen and must visit a set of event locations across the city, and deciding the visiting sequence is the main puzzle. To judge a sequence, note when the truck arrives at each event, sum those arrival times, and pick the sequence whose total is the smallest — that way the whole day’s arrivals happen earlier overall. The route must include every event exactly one time, no skipping, no double visits. The concrete details of the trip are listed below.

# total_locations_count=13
# kitchen_id=1
location_id,map_x,map_y
1,44,81
2,47,33
3,0,0
4,47,80
5,100,44
6,34,96
7,66,9
8,59,84
9,63,9
10,52,72
11,67,100
12,46,35
13,55,47

When you send the route back, just stick to this simple JSON shape so it's easy to parse — nothing fancy, just the sequence in order.

{
  ""solution"": [kitchen_id, event_id, ..., kitchen_id]
}

""solution"" is the array with the visiting order: start at the kitchen, list every event exactly once in the order the truck visits them, and finish back at the kitchen. This is just a sketch of the shape I expect, not the actual route.

Please use the exact identifiers from the problem input — don't rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,one_based,"[[44, 81], [47, 33], [0, 0], [47, 80], [100, 44], [34, 96], [66, 9], [59, 84], [63, 9], [52, 72], [67, 100], [46, 35], [55, 47]]","[0, 3, 7, 9, 12, 11, 1, 8, 6, 4, 10, 5, 2, 0]",1424.8531989311414,"{""problem_type"": ""MLP"", ""num_nodes"": 13, ""nodes"": [{""id"": 1, ""x"": 44, ""y"": 81}, {""id"": 2, ""x"": 47, ""y"": 33}, {""id"": 3, ""x"": 0, ""y"": 0}, {""id"": 4, ""x"": 47, ""y"": 80}, {""id"": 5, ""x"": 100, ""y"": 44}, {""id"": 6, ""x"": 34, ""y"": 96}, {""id"": 7, ""x"": 66, ""y"": 9}, {""id"": 8, ""x"": 59, ""y"": 84}, {""id"": 9, ""x"": 63, ""y"": 9}, {""id"": 10, ""x"": 52, ""y"": 72}, {""id"": 11, ""x"": 67, ""y"": 100}, {""id"": 12, ""x"": 46, ""y"": 35}, {""id"": 13, ""x"": 55, ""y"": 47}], ""depot"": 1}","[1, 4, 8, 10, 13, 12, 2, 9, 7, 5, 11, 6, 3, 1]"
MLP_M_005,MLP,M,5,"We have a nurse leaving the clinic with several patients to check on at their homes, and the only decision is which route to take and in what order to knock on doors. A better route is one that gets people seen earlier overall — if you add up the arrival time for each patient, the best plan makes that sum as low as possible. Everyone on the list needs a visit, and nobody should be visited more than once. The concrete patient locations and specifics follow below.

We have 14 locations in total, starting from the clinic at node 0.

| location_id | x_coordinate_map | y_coordinate_map |
|---|---|---|
| 0 | 81 | 41 |
| 1 | 93 | 67 |
| 2 | 42 | 0 |
| 3 | 16 | 100 |
| 4 | 56 | 70 |
| 5 | 91 | 26 |
| 6 | 100 | 52 |
| 7 | 75 | 40 |
| 8 | 17 | 74 |
| 9 | 0 | 100 |
| 10 | 67 | 19 |
| 11 | 77 | 12 |
| 12 | 39 | 77 |
| 13 | 51 | 2 |

We will visit each location once, starting from the clinic, and aim to minimize the sum of arrival times.

Oh, and when you give me the route, a compact JSON snippet like this works great — nice and simple so I can parse it easily:

{
  ""solution"": [clinic_id, patient_id, ..., clinic_id]
}

""solution"" is the visiting order: start at the clinic, list each patient once in the order they'll be visited, and end back at the clinic. Think of the placeholders (clinic_id, patient_id, ...) as blanks you'll fill with the exact IDs from the instance. This JSON is just a template — not the real route, just the shape I need.

Please make sure you use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"[[81, 41], [93, 67], [42, 0], [16, 100], [56, 70], [91, 26], [100, 52], [75, 40], [17, 74], [0, 100], [67, 19], [77, 12], [39, 77], [51, 2]]","[0, 7, 10, 13, 2, 11, 5, 6, 1, 4, 12, 8, 3, 9, 0]",1874.835900230842,"{""problem_type"": ""MLP"", ""num_nodes"": 14, ""nodes"": [{""id"": 0, ""x"": 81, ""y"": 41}, {""id"": 1, ""x"": 93, ""y"": 67}, {""id"": 2, ""x"": 42, ""y"": 0}, {""id"": 3, ""x"": 16, ""y"": 100}, {""id"": 4, ""x"": 56, ""y"": 70}, {""id"": 5, ""x"": 91, ""y"": 26}, {""id"": 6, ""x"": 100, ""y"": 52}, {""id"": 7, ""x"": 75, ""y"": 40}, {""id"": 8, ""x"": 17, ""y"": 74}, {""id"": 9, ""x"": 0, ""y"": 100}, {""id"": 10, ""x"": 67, ""y"": 19}, {""id"": 11, ""x"": 77, ""y"": 12}, {""id"": 12, ""x"": 39, ""y"": 77}, {""id"": 13, ""x"": 51, ""y"": 2}], ""depot"": 0}","[0, 7, 10, 13, 2, 11, 5, 6, 1, 4, 12, 8, 3, 9, 0]"
MLP_M_006,MLP,M,6,"On the schedule is a field run that begins at the office and must include every worksite; the choice is the order to visit them so that, when each arrival time is recorded and those times are summed, that summed number is as small as possible. Each location gets a single visit (typically you can choose whether to return to the office afterwards), and the full, concrete details are listed below.

{
  ""total_worksites"": 15,
  ""nodes"": [
    {
      ""worksite_id"": ""A"",
      ""x_coordinate"": 79,
      ""y_coordinate"": 83
    },
    {
      ""worksite_id"": ""B"",
      ""x_coordinate"": 100,
      ""y_coordinate"": 9
    },
    {
      ""worksite_id"": ""C"",
      ""x_coordinate"": 55,
      ""y_coordinate"": 88
    },
    {
      ""worksite_id"": ""D"",
      ""x_coordinate"": 86,
      ""y_coordinate"": 90
    },
    {
      ""worksite_id"": ""E"",
      ""x_coordinate"": 7,
      ""y_coordinate"": 82
    },
    {
      ""worksite_id"": ""F"",
      ""x_coordinate"": 58,
      ""y_coordinate"": 99
    },
    {
      ""worksite_id"": ""G"",
      ""x_coordinate"": 32,
      ""y_coordinate"": 2
    },
    {
      ""worksite_id"": ""H"",
      ""x_coordinate"": 68,
      ""y_coordinate"": 100
    },
    {
      ""worksite_id"": ""I"",
      ""x_coordinate"": 21,
      ""y_coordinate"": 33
    },
    {
      ""worksite_id"": ""J"",
      ""x_coordinate"": 93,
      ""y_coordinate"": 1
    },
    {
      ""worksite_id"": ""K"",
      ""x_coordinate"": 75,
      ""y_coordinate"": 88
    },
    {
      ""worksite_id"": ""L"",
      ""x_coordinate"": 32,
      ""y_coordinate"": 100
    },
    {
      ""worksite_id"": ""M"",
      ""x_coordinate"": 0,
      ""y_coordinate"": 36
    },
    {
      ""worksite_id"": ""N"",
      ""x_coordinate"": 4,
      ""y_coordinate"": 0
    },
    {
      ""worksite_id"": ""O"",
      ""x_coordinate"": 69,
      ""y_coordinate"": 78
    }
  ],
  ""office_node"": ""A""
}

Also, when you send the route back, just use a little JSON snippet like this so it's easy to parse:

{
  ""solution"": [""office_id"", ""worksite_id"", ..., ""office_id""]
}

This just shows the shape I expect: ""solution"" is the ordered list you plan to follow — start at the office, list each worksite in the order you arrive, and (typically) come back to the office. It’s only a sketch of the format, not the actual route.

Please make sure to use the exact identifiers from the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,names,"[[79, 83], [100, 9], [55, 88], [86, 90], [7, 82], [58, 99], [32, 2], [68, 100], [21, 33], [93, 1], [75, 88], [32, 100], [0, 36], [4, 0], [69, 78]]","[0, 3, 10, 14, 7, 5, 2, 11, 4, 12, 8, 13, 6, 9, 1, 0]",2043.0130830878932,"{""problem_type"": ""MLP"", ""num_nodes"": 15, ""nodes"": [{""id"": ""A"", ""x"": 79, ""y"": 83}, {""id"": ""B"", ""x"": 100, ""y"": 9}, {""id"": ""C"", ""x"": 55, ""y"": 88}, {""id"": ""D"", ""x"": 86, ""y"": 90}, {""id"": ""E"", ""x"": 7, ""y"": 82}, {""id"": ""F"", ""x"": 58, ""y"": 99}, {""id"": ""G"", ""x"": 32, ""y"": 2}, {""id"": ""H"", ""x"": 68, ""y"": 100}, {""id"": ""I"", ""x"": 21, ""y"": 33}, {""id"": ""J"", ""x"": 93, ""y"": 1}, {""id"": ""K"", ""x"": 75, ""y"": 88}, {""id"": ""L"", ""x"": 32, ""y"": 100}, {""id"": ""M"", ""x"": 0, ""y"": 36}, {""id"": ""N"", ""x"": 4, ""y"": 0}, {""id"": ""O"", ""x"": 69, ""y"": 78}], ""depot"": ""A""}","[""A"", ""D"", ""K"", ""O"", ""H"", ""F"", ""C"", ""L"", ""E"", ""M"", ""I"", ""N"", ""G"", ""J"", ""B"", ""A""]"
MLP_M_007,MLP,M,7,"We’ve got a rehearsal space as home base and a stack of venues to play, and the practical question is how to order our stops so the whole tour feels efficient. That means picking the travel order (no venue left out, no backtracking to the same spot twice) and then checking how we did by summing the arrival time at each venue — the lower that sum, the sooner the crowd hears us on average. The specific venues and times are listed below.

Here are the 13 locations (the rehearsal space is A):
Stop A: located at (73, 28) — a spot we’ll visit on the tour.
Stop B: located at (9, 63) — a spot we’ll visit on the tour.
Stop C: located at (24, 41) — a spot we’ll visit on the tour.
Stop D: located at (100, 12) — a spot we’ll visit on the tour.
Stop E: located at (45, 78) — a spot we’ll visit on the tour.
Stop F: located at (9, 100) — a spot we’ll visit on the tour.
Stop G: located at (36, 98) — a spot we’ll visit on the tour.
Stop H: located at (29, 2) — a spot we’ll visit on the tour.
Stop I: located at (68, 23) — a spot we’ll visit on the tour.
Stop J: located at (0, 44) — a spot we’ll visit on the tour.
Stop K: located at (58, 67) — a spot we’ll visit on the tour.
Stop L: located at (76, 0) — a spot we’ll visit on the tour.
Stop M: located at (33, 5) — a spot we’ll visit on the tour.
Now we pick the order that visits each stop once and minimizes the sum of arrival times.

Also, when you send back the proposed route, just drop it in this simple JSON shape so it's easy to read and validate:

{
  ""solution"": [rehearsal_space_id, venue_id, ..., rehearsal_space_id]
}

This array is just the visit order — start at the rehearsal space, list each venue's ID in the order you’d play them, and come back to the rehearsal space at the end. The placeholders above show the shape I expect; they're a sketch, not the actual answer.

Please make sure to use the exact identifiers from the instance input — no renaming and no new labels. 
- for example: ""Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".""",nl,names,"[[73, 28], [9, 63], [24, 41], [100, 12], [45, 78], [9, 100], [36, 98], [29, 2], [68, 23], [0, 44], [58, 67], [76, 0], [33, 5]]","[0, 8, 11, 12, 7, 2, 9, 1, 5, 6, 4, 10, 3, 0]",1902.9737771304451,"{""problem_type"": ""MLP"", ""num_nodes"": 13, ""nodes"": [{""id"": ""A"", ""x"": 73, ""y"": 28}, {""id"": ""B"", ""x"": 9, ""y"": 63}, {""id"": ""C"", ""x"": 24, ""y"": 41}, {""id"": ""D"", ""x"": 100, ""y"": 12}, {""id"": ""E"", ""x"": 45, ""y"": 78}, {""id"": ""F"", ""x"": 9, ""y"": 100}, {""id"": ""G"", ""x"": 36, ""y"": 98}, {""id"": ""H"", ""x"": 29, ""y"": 2}, {""id"": ""I"", ""x"": 68, ""y"": 23}, {""id"": ""J"", ""x"": 0, ""y"": 44}, {""id"": ""K"", ""x"": 58, ""y"": 67}, {""id"": ""L"", ""x"": 76, ""y"": 0}, {""id"": ""M"", ""x"": 33, ""y"": 5}], ""depot"": ""A""}","[""A"", ""I"", ""L"", ""M"", ""H"", ""C"", ""J"", ""B"", ""F"", ""G"", ""E"", ""K"", ""D"", ""A""]"
MLP_M_008,MLP,M,8,"One busy morning, the bakery van sets off with orders for every café and market in town, and the planner has to decide the best order to make the drops. The winning order is the one that gets most places their orders earlier — if you add together the arrival time at each stop you get a single number to compare, and lower is better. The run starts at the bakery and every place must be served exactly once; no skips, no repeats. The exact locations and their coordinates are shown below.

# total_stops_including_bakery=13
# bakery_node_id=1
stop_id,x_coord,y_coord
1,100,13
2,4,21
3,86,3
4,5,0
5,82,36
6,7,94
7,1,94
8,0,64
9,81,21
10,4,8
11,84,100
12,90,8
13,86,36

If you're going to give the route in a tidy, machine-friendly way, just stick to this simple JSON shape:

{
  ""solution"": [bakery_id, shop_id, ..., bakery_id]
}

Think of it like a little form: ""solution"" is the ordered list of stops the van will make, starting at the bakery (bakery_id), visiting each shop exactly once, and returning to the bakery. The names in the array are placeholders for the identifiers you'll see in the instance.

This is only a sketch of the expected shape — don't replace these placeholder names with real values here; when you give the actual answer, use the exact identifiers from the instance input, no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,one_based,"[[100, 13], [4, 21], [86, 3], [5, 0], [82, 36], [7, 94], [1, 94], [0, 64], [81, 21], [4, 8], [84, 100], [90, 8], [86, 36]]","[0, 11, 2, 8, 12, 4, 3, 9, 1, 7, 6, 5, 10, 0]",1626.115885012646,"{""problem_type"": ""MLP"", ""num_nodes"": 13, ""nodes"": [{""id"": 1, ""x"": 100, ""y"": 13}, {""id"": 2, ""x"": 4, ""y"": 21}, {""id"": 3, ""x"": 86, ""y"": 3}, {""id"": 4, ""x"": 5, ""y"": 0}, {""id"": 5, ""x"": 82, ""y"": 36}, {""id"": 6, ""x"": 7, ""y"": 94}, {""id"": 7, ""x"": 1, ""y"": 94}, {""id"": 8, ""x"": 0, ""y"": 64}, {""id"": 9, ""x"": 81, ""y"": 21}, {""id"": 10, ""x"": 4, ""y"": 8}, {""id"": 11, ""x"": 84, ""y"": 100}, {""id"": 12, ""x"": 90, ""y"": 8}, {""id"": 13, ""x"": 86, ""y"": 36}], ""depot"": 1}","[1, 12, 3, 9, 13, 5, 4, 10, 2, 8, 7, 6, 11, 1]"
MLP_M_009,MLP,M,9,"I can picture a technician pulling out of headquarters with a list of repair requests across town — the goal is to decide the order to visit every house so that, when you add up the clock times at which each visit begins, that total is as small as it can be. The rule is simple: every requesting household must be visited once and only once, no skips or repeats, and different orders give different totals because some homes are reached sooner than others. The concrete details for this run are shown below.

I can picture 11 total locations including the headquarters, with the technician pulling out from headquarters node 1.

| location_node_id | x_coordinate_map | y_coordinate_map |
|---|---|---|
| 1 | 41 | 49 |
| 2 | 17 | 100 |
| 3 | 78 | 35 |
| 4 | 79 | 5 |
| 5 | 58 | 0 |
| 6 | 23 | 98 |
| 7 | 91 | 98 |
| 8 | 83 | 96 |
| 9 | 47 | 59 |
| 10 | 100 | 96 |
| 11 | 0 | 20 |

That's the complete list of 11 locations, starting from node 1.

If you'd like the answer in a tidy, machine-friendly layout, just return a JSON object with the tour order. Something casual like this works fine:

{
  ""solution"": [hq_id, house_id, ..., hq_id]
}

Here ""solution"" is the visiting order: the first entry is where the van leaves from, the middle entries are each household visited once, and the final entry is the van coming back to base. Think of the placeholders (hq_id, house_id, etc.) as blanks you fill in with the actual IDs from the problem — this is just the shape I expect, not the real route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,one_based,"[[41, 49], [17, 100], [78, 35], [79, 5], [58, 0], [23, 98], [91, 98], [83, 96], [47, 59], [100, 96], [0, 20]]","[0, 8, 5, 1, 7, 6, 9, 2, 3, 4, 10, 0]",1591.7346748944856,"{""problem_type"": ""MLP"", ""num_nodes"": 11, ""nodes"": [{""id"": 1, ""x"": 41, ""y"": 49}, {""id"": 2, ""x"": 17, ""y"": 100}, {""id"": 3, ""x"": 78, ""y"": 35}, {""id"": 4, ""x"": 79, ""y"": 5}, {""id"": 5, ""x"": 58, ""y"": 0}, {""id"": 6, ""x"": 23, ""y"": 98}, {""id"": 7, ""x"": 91, ""y"": 98}, {""id"": 8, ""x"": 83, ""y"": 96}, {""id"": 9, ""x"": 47, ""y"": 59}, {""id"": 10, ""x"": 100, ""y"": 96}, {""id"": 11, ""x"": 0, ""y"": 20}], ""depot"": 1}","[1, 9, 6, 2, 8, 7, 10, 3, 4, 5, 11, 1]"
MLP_M_010,MLP,M,10,"We kick things off at the town depot, load up, and then hit every assigned bin location around the neighborhood. The main decision is the sequence of visits: pick a route that gets to high-wait stops earlier so the overall waiting time is reduced. Practically, that means take the time you arrive at each pickup and sum them up — the smaller that sum, the better the day’s plan. Each pickup point must be covered, and no stop gets skipped or doubled. Concrete details appear below.

We’re planning for 11 total nodes (including the depot), and we start from depot A.

| pickup_node_id | map_x_coordinate | map_y_coordinate |
|---|---|---|
| A | 77 | 1 |
| B | 26 | 1 |
| C | 6 | 99 |
| D | 14 | 0 |
| E | 12 | 40 |
| F | 0 | 16 |
| G | 100 | 32 |
| H | 22 | 100 |
| I | 75 | 16 |
| J | 35 | 36 |
| K | 11 | 95 |

We'll cover all 11 nodes starting from A.

By the way, when you send the route back, keep it in this simple JSON shape so it's easy to read and parse:

{
  ""solution"": [depot_loc, bin_loc, ..., depot_loc]
}

Think of ""solution"" as the ordered list of stops — you start at the depot, list each pickup once in the order you visit them, and finish back at the depot. The depot_loc and bin_loc bits are just placeholders showing where the actual IDs go; they should be replaced with the exact identifiers from the instance when you reply.

Important: use the identifiers exactly as they appear in the instance input — do not rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[77, 1], [26, 1], [6, 99], [14, 0], [12, 40], [0, 16], [100, 32], [22, 100], [75, 16], [35, 36], [11, 95]]","[0, 8, 1, 3, 5, 4, 9, 10, 2, 7, 6, 0]",1544.9355476905575,"{""problem_type"": ""MLP"", ""num_nodes"": 11, ""nodes"": [{""id"": ""A"", ""x"": 77, ""y"": 1}, {""id"": ""B"", ""x"": 26, ""y"": 1}, {""id"": ""C"", ""x"": 6, ""y"": 99}, {""id"": ""D"", ""x"": 14, ""y"": 0}, {""id"": ""E"", ""x"": 12, ""y"": 40}, {""id"": ""F"", ""x"": 0, ""y"": 16}, {""id"": ""G"", ""x"": 100, ""y"": 32}, {""id"": ""H"", ""x"": 22, ""y"": 100}, {""id"": ""I"", ""x"": 75, ""y"": 16}, {""id"": ""J"", ""x"": 35, ""y"": 36}, {""id"": ""K"", ""x"": 11, ""y"": 95}], ""depot"": ""A""}","[""A"", ""I"", ""B"", ""D"", ""F"", ""E"", ""J"", ""K"", ""C"", ""H"", ""G"", ""A""]"
