id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
TSP_M_001,TSP,M,1,"We have a bakery to run and a tray of deliveries to make, so the task is to choose the delivery sequence that starts at the shop, visits every customer location one time, and finishes back at the shop. What makes one sequence better than another is simple: the one that results in the least driving, measured by summing the miles between consecutive stops for the whole loop. Every stop has to be included exactly once — no skipping a house and no visiting the same house twice. The concrete addresses and coordinates are shown below.

{
  ""total_stops_including_shop"": 12,
  ""nodes"": [
    {
      ""stop_id"": 1,
      ""x_coord_miles"": 35,
      ""y_coord_miles"": 95
    },
    {
      ""stop_id"": 2,
      ""x_coord_miles"": 45,
      ""y_coord_miles"": 100
    },
    {
      ""stop_id"": 3,
      ""x_coord_miles"": 36,
      ""y_coord_miles"": 0
    },
    {
      ""stop_id"": 4,
      ""x_coord_miles"": 100,
      ""y_coord_miles"": 71
    },
    {
      ""stop_id"": 5,
      ""x_coord_miles"": 32,
      ""y_coord_miles"": 14
    },
    {
      ""stop_id"": 6,
      ""x_coord_miles"": 87,
      ""y_coord_miles"": 16
    },
    {
      ""stop_id"": 7,
      ""x_coord_miles"": 29,
      ""y_coord_miles"": 70
    },
    {
      ""stop_id"": 8,
      ""x_coord_miles"": 2,
      ""y_coord_miles"": 95
    },
    {
      ""stop_id"": 9,
      ""x_coord_miles"": 43,
      ""y_coord_miles"": 67
    },
    {
      ""stop_id"": 10,
      ""x_coord_miles"": 0,
      ""y_coord_miles"": 34
    },
    {
      ""stop_id"": 11,
      ""x_coord_miles"": 86,
      ""y_coord_miles"": 25
    },
    {
      ""stop_id"": 12,
      ""x_coord_miles"": 46,
      ""y_coord_miles"": 95
    }
  ],
  ""shop_node_id"": 1
}

Also, when you send back the route, please follow this simple JSON layout so it's easy to read and check:

{
  ""solution"": [""shop_id"", ""customer_id"", ..., ""shop_id""]
}

This just means ""solution"" should be a list showing the stops in order — start at the shop, visit each customer once, and finish back at the shop. The strings in the list are the location identifiers taken straight from the instance.

This JSON is only a sketch of the shape I expect, not the actual route — I'll fill in the real identifiers when I give the final answer. Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"[[35, 95], [45, 100], [36, 0], [100, 71], [32, 14], [87, 16], [29, 70], [2, 95], [43, 67], [0, 34], [86, 25], [46, 95]]","[0, 1, 11, 6, 8, 3, 10, 5, 2, 4, 9, 7, 0]",374.8882737159729,"{""problem_type"": ""TSP"", ""num_nodes"": 12, ""nodes"": [{""id"": 1, ""x"": 35, ""y"": 95}, {""id"": 2, ""x"": 45, ""y"": 100}, {""id"": 3, ""x"": 36, ""y"": 0}, {""id"": 4, ""x"": 100, ""y"": 71}, {""id"": 5, ""x"": 32, ""y"": 14}, {""id"": 6, ""x"": 87, ""y"": 16}, {""id"": 7, ""x"": 29, ""y"": 70}, {""id"": 8, ""x"": 2, ""y"": 95}, {""id"": 9, ""x"": 43, ""y"": 67}, {""id"": 10, ""x"": 0, ""y"": 34}, {""id"": 11, ""x"": 86, ""y"": 25}, {""id"": 12, ""x"": 46, ""y"": 95}], ""depot"": 1}","[1, 2, 12, 7, 9, 4, 11, 6, 3, 5, 10, 8, 1]"
TSP_M_002,TSP,M,2,"Recently the team needs a planned route that begins at the garage, visits all service addresses one time only, and returns to the garage at day’s end. The task is to decide the visiting order — the smarter the order, the smaller the day’s mileage. To figure that out, just add up the miles between every pair of consecutive stops in the order you pick (counting the trip out and the trip home) and prefer the order with the smallest overall total. No stops can be skipped or repeated. Exact instance details are provided below.

# total_locations=13
# garage_id=A
location_id,x_coordinate,y_coordinate
A,10,50
B,6,0
C,13,39
D,38,75
E,100,64
F,69,70
G,26,74
H,51,98
I,40,69
J,13,60
K,0,93
L,46,100
M,14,76

Just drop the final route into a little JSON snippet like this so it's easy to parse and check:

{
  ""solution"": [depot_id, location_id, ..., depot_id]
}

Think of ""solution"" as the ordered list of stops — start at the garage (the depot), list each service address exactly once in the order you'll visit them, and finish back at the garage. This JSON is only a sketch of the shape I need, not the actual answer itself.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"[[10, 50], [6, 0], [13, 39], [38, 75], [100, 64], [69, 70], [26, 74], [51, 98], [40, 69], [13, 60], [0, 93], [46, 100], [14, 76]]","[0, 2, 1, 4, 5, 7, 11, 3, 8, 6, 12, 10, 9, 0]",362.52730894088745,"{""problem_type"": ""TSP"", ""num_nodes"": 13, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 50}, {""id"": ""B"", ""x"": 6, ""y"": 0}, {""id"": ""C"", ""x"": 13, ""y"": 39}, {""id"": ""D"", ""x"": 38, ""y"": 75}, {""id"": ""E"", ""x"": 100, ""y"": 64}, {""id"": ""F"", ""x"": 69, ""y"": 70}, {""id"": ""G"", ""x"": 26, ""y"": 74}, {""id"": ""H"", ""x"": 51, ""y"": 98}, {""id"": ""I"", ""x"": 40, ""y"": 69}, {""id"": ""J"", ""x"": 13, ""y"": 60}, {""id"": ""K"", ""x"": 0, ""y"": 93}, {""id"": ""L"", ""x"": 46, ""y"": 100}, {""id"": ""M"", ""x"": 14, ""y"": 76}], ""depot"": ""A""}","[""A"", ""C"", ""B"", ""E"", ""F"", ""H"", ""L"", ""D"", ""I"", ""G"", ""M"", ""K"", ""J"", ""A""]"
TSP_M_003,TSP,M,3,"On a typical morning the studio van will head out, visit a handful of shoot locations one after another, and then roll back into the studio at the end of the day. The decision is which order to pick so the van covers the least ground overall — calculate that by summing each segment between stops plus the last leg back to base. No shoot can be skipped or visited twice. The exact list of stops and their coordinates is shown below.

There are 12 locations in total, and the studio node is A.

| location_id | x_coord | y_coord |
|---|---|---|
| A | 10 | 10 |
| B | 67 | 69 |
| C | 15 | 32 |
| D | 100 | 42 |
| E | 39 | 14 |
| F | 33 | 0 |
| G | 0 | 69 |
| H | 27 | 10 |
| I | 0 | 5 |
| J | 39 | 100 |
| K | 94 | 96 |
| L | 67 | 37 |

Use these 12 entries and the studio A to build the route and compute the minimal round trip distance.

Also, when you send the route back, please follow this little JSON layout so it's easy to read and process:

{
  ""solution"": [studio_id, location_id, ..., studio_id]
}

Think of ""solution"" as the ordered list the van will drive: start at the studio (studio_id), visit each shoot spot in turn (each location_id), and finally come back to the studio (the same studio_id again). It's just a template showing the shape I need — not the final tour.

Please use the identifiers exactly as they appear in the instance input — do not rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[10, 10], [67, 69], [15, 32], [100, 42], [39, 14], [33, 0], [0, 69], [27, 10], [0, 5], [39, 100], [94, 96], [67, 37]]","[0, 7, 5, 4, 11, 3, 10, 1, 9, 6, 2, 8, 0]",379.606538772583,"{""problem_type"": ""TSP"", ""num_nodes"": 12, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 10}, {""id"": ""B"", ""x"": 67, ""y"": 69}, {""id"": ""C"", ""x"": 15, ""y"": 32}, {""id"": ""D"", ""x"": 100, ""y"": 42}, {""id"": ""E"", ""x"": 39, ""y"": 14}, {""id"": ""F"", ""x"": 33, ""y"": 0}, {""id"": ""G"", ""x"": 0, ""y"": 69}, {""id"": ""H"", ""x"": 27, ""y"": 10}, {""id"": ""I"", ""x"": 0, ""y"": 5}, {""id"": ""J"", ""x"": 39, ""y"": 100}, {""id"": ""K"", ""x"": 94, ""y"": 96}, {""id"": ""L"", ""x"": 67, ""y"": 37}], ""depot"": ""A""}","[""A"", ""H"", ""F"", ""E"", ""L"", ""D"", ""K"", ""B"", ""J"", ""G"", ""C"", ""I"", ""A""]"
TSP_M_004,TSP,M,4,"Many of the regular patrons count on a neat bookmobile loop that starts and ends at the main branch and touches every stop only once, so the librarian wants the route that uses the least driving. The way to judge one route versus another is to add up the distance between each stop in the route, including the last stretch back to the branch — the smaller that sum, the better the route. Every stop must appear exactly once, no repeats. The exact stops and their coordinates follow below.

# total_stops=13
# main_branch_id=A
stop_id,x_coordinate,y_coordinate
A,1,42
B,46,10
C,0,9
D,75,3
E,58,64
F,22,8
G,27,100
H,70,71
I,33,24
J,7,22
K,21,68
L,100,29
M,0,0

If you want to hand me a candidate route, just pop it into a tiny JSON snippet like this so I can read it cleanly:

{
  ""solution"": [branch_id, stop_id, ..., branch_id]
}

Think of ""solution"" as the tour: start at the main branch (branch_id), then list each stop in the order the bookmobile should visit them (stop_id placeholders), and finish back at the branch. This is just a sketch of the shape I expect, not the actual route — I'll need the real identifiers from the instance to give a concrete answer.

Please use the exact identifiers from the instance input — no renaming and no new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"[[1, 42], [46, 10], [0, 9], [75, 3], [58, 64], [22, 8], [27, 100], [70, 71], [33, 24], [7, 22], [21, 68], [100, 29], [0, 0]]","[0, 9, 2, 12, 5, 8, 1, 3, 11, 7, 4, 6, 10, 0]",350.85291290283203,"{""problem_type"": ""TSP"", ""num_nodes"": 13, ""nodes"": [{""id"": ""A"", ""x"": 1, ""y"": 42}, {""id"": ""B"", ""x"": 46, ""y"": 10}, {""id"": ""C"", ""x"": 0, ""y"": 9}, {""id"": ""D"", ""x"": 75, ""y"": 3}, {""id"": ""E"", ""x"": 58, ""y"": 64}, {""id"": ""F"", ""x"": 22, ""y"": 8}, {""id"": ""G"", ""x"": 27, ""y"": 100}, {""id"": ""H"", ""x"": 70, ""y"": 71}, {""id"": ""I"", ""x"": 33, ""y"": 24}, {""id"": ""J"", ""x"": 7, ""y"": 22}, {""id"": ""K"", ""x"": 21, ""y"": 68}, {""id"": ""L"", ""x"": 100, ""y"": 29}, {""id"": ""M"", ""x"": 0, ""y"": 0}], ""depot"": ""A""}","[""A"", ""J"", ""C"", ""M"", ""F"", ""I"", ""B"", ""D"", ""L"", ""H"", ""E"", ""G"", ""K"", ""A""]"
TSP_M_005,TSP,M,5,"There’s a farmer who does porch-to-porch dropoffs around the neighborhood and wants a sensible route that starts and ends at the farm and doesn’t hit any stop more than once. A smarter route is simply the one that adds up to the fewest miles overall — add up every leg between stops to get the total — so the plan with the smallest sum of those legs wins. The full list of stops and their specifics appears below.

{
  ""total_stops_in_route"": 11,
  ""nodes"": [
    {
      ""dropoff_id"": ""A"",
      ""x_coord"": 23,
      ""y_coord"": 13
    },
    {
      ""dropoff_id"": ""B"",
      ""x_coord"": 2,
      ""y_coord"": 19
    },
    {
      ""dropoff_id"": ""C"",
      ""x_coord"": 7,
      ""y_coord"": 0
    },
    {
      ""dropoff_id"": ""D"",
      ""x_coord"": 0,
      ""y_coord"": 20
    },
    {
      ""dropoff_id"": ""E"",
      ""x_coord"": 50,
      ""y_coord"": 15
    },
    {
      ""dropoff_id"": ""F"",
      ""x_coord"": 55,
      ""y_coord"": 46
    },
    {
      ""dropoff_id"": ""G"",
      ""x_coord"": 100,
      ""y_coord"": 9
    },
    {
      ""dropoff_id"": ""H"",
      ""x_coord"": 60,
      ""y_coord"": 33
    },
    {
      ""dropoff_id"": ""I"",
      ""x_coord"": 39,
      ""y_coord"": 0
    },
    {
      ""dropoff_id"": ""J"",
      ""x_coord"": 55,
      ""y_coord"": 72
    },
    {
      ""dropoff_id"": ""K"",
      ""x_coord"": 34,
      ""y_coord"": 100
    }
  ],
  ""farm_depot_id"": ""A""
}

When you send the route back, just use this simple JSON layout so it's easy to read and parse:

{
  ""solution"": [farm_id, stop_id, ..., farm_id]
}

Here ""solution"" holds the ordered list of stops the farmer will make — the first entry is the farm where we start, then every porch in the order they’re visited, and the last entry is the farm again to end the loop. Think of it like filling out a short form: list the farm, then the porches, then the farm.

This JSON is only a sketch of the shape I expect, not the actual route answer.

Please use the exact identifiers given in the instance input — do not rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,names,"[[23, 13], [2, 19], [7, 0], [0, 20], [50, 15], [55, 46], [100, 9], [60, 33], [39, 0], [55, 72], [34, 100]]","[0, 2, 1, 3, 10, 9, 5, 7, 6, 4, 8, 0]",340.57505536079407,"{""problem_type"": ""TSP"", ""num_nodes"": 11, ""nodes"": [{""id"": ""A"", ""x"": 23, ""y"": 13}, {""id"": ""B"", ""x"": 2, ""y"": 19}, {""id"": ""C"", ""x"": 7, ""y"": 0}, {""id"": ""D"", ""x"": 0, ""y"": 20}, {""id"": ""E"", ""x"": 50, ""y"": 15}, {""id"": ""F"", ""x"": 55, ""y"": 46}, {""id"": ""G"", ""x"": 100, ""y"": 9}, {""id"": ""H"", ""x"": 60, ""y"": 33}, {""id"": ""I"", ""x"": 39, ""y"": 0}, {""id"": ""J"", ""x"": 55, ""y"": 72}, {""id"": ""K"", ""x"": 34, ""y"": 100}], ""depot"": ""A""}","[""A"", ""C"", ""B"", ""D"", ""K"", ""J"", ""F"", ""H"", ""G"", ""E"", ""I"", ""A""]"
TSP_M_006,TSP,M,6,"I’m picturing a caterer who needs to plan a single outing that leaves the kitchen, drops off food at every booked venue, and comes back to the kitchen at the end of the day. The job is to pick the order of stops so the whole trip uses the fewest miles possible — that total is just the sum of the distances between each stop in the route, including the leg back to the kitchen — and nothing can be skipped or visited more than once. The exact list of venues and their locations is shown below.

{
  ""total_locations_in_route"": 15,
  ""nodes"": [
    {
      ""venue_id"": 0,
      ""x_coordinate"": 42,
      ""y_coordinate"": 41
    },
    {
      ""venue_id"": 1,
      ""x_coordinate"": 44,
      ""y_coordinate"": 34
    },
    {
      ""venue_id"": 2,
      ""x_coordinate"": 49,
      ""y_coordinate"": 52
    },
    {
      ""venue_id"": 3,
      ""x_coordinate"": 53,
      ""y_coordinate"": 27
    },
    {
      ""venue_id"": 4,
      ""x_coordinate"": 100,
      ""y_coordinate"": 13
    },
    {
      ""venue_id"": 5,
      ""x_coordinate"": 58,
      ""y_coordinate"": 49
    },
    {
      ""venue_id"": 6,
      ""x_coordinate"": 31,
      ""y_coordinate"": 49
    },
    {
      ""venue_id"": 7,
      ""x_coordinate"": 27,
      ""y_coordinate"": 33
    },
    {
      ""venue_id"": 8,
      ""x_coordinate"": 77,
      ""y_coordinate"": 100
    },
    {
      ""venue_id"": 9,
      ""x_coordinate"": 21,
      ""y_coordinate"": 0
    },
    {
      ""venue_id"": 10,
      ""x_coordinate"": 71,
      ""y_coordinate"": 16
    },
    {
      ""venue_id"": 11,
      ""x_coordinate"": 0,
      ""y_coordinate"": 24
    },
    {
      ""venue_id"": 12,
      ""x_coordinate"": 14,
      ""y_coordinate"": 42
    },
    {
      ""venue_id"": 13,
      ""x_coordinate"": 60,
      ""y_coordinate"": 25
    },
    {
      ""venue_id"": 14,
      ""x_coordinate"": 34,
      ""y_coordinate"": 25
    }
  ],
  ""kitchen_node_id"": 0
}

Oh, and when you give the planned route back, a tiny JSON sketch like this is perfect — just a simple list that starts and ends at the kitchen:

{
  ""solution"": [kitchen_id, venue_id, ..., kitchen_id]
}

Think of ""solution"" as the ordered checklist: the first item is where the truck leaves (the kitchen), the middle items are the stops in the order you’ll visit them, and the last item is the kitchen again when you're done. This is just the shape I need, not the actual route.

Please use the exact identifiers from the instance input — no renaming, no made-up labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,zero_based,"[[42, 41], [44, 34], [49, 52], [53, 27], [100, 13], [58, 49], [31, 49], [27, 33], [77, 100], [21, 0], [71, 16], [0, 24], [14, 42], [60, 25], [34, 25]]","[0, 1, 3, 13, 10, 4, 8, 5, 2, 6, 12, 11, 9, 14, 7, 0]",370.36455059051514,"{""problem_type"": ""TSP"", ""num_nodes"": 15, ""nodes"": [{""id"": 0, ""x"": 42, ""y"": 41}, {""id"": 1, ""x"": 44, ""y"": 34}, {""id"": 2, ""x"": 49, ""y"": 52}, {""id"": 3, ""x"": 53, ""y"": 27}, {""id"": 4, ""x"": 100, ""y"": 13}, {""id"": 5, ""x"": 58, ""y"": 49}, {""id"": 6, ""x"": 31, ""y"": 49}, {""id"": 7, ""x"": 27, ""y"": 33}, {""id"": 8, ""x"": 77, ""y"": 100}, {""id"": 9, ""x"": 21, ""y"": 0}, {""id"": 10, ""x"": 71, ""y"": 16}, {""id"": 11, ""x"": 0, ""y"": 24}, {""id"": 12, ""x"": 14, ""y"": 42}, {""id"": 13, ""x"": 60, ""y"": 25}, {""id"": 14, ""x"": 34, ""y"": 25}], ""depot"": 0}","[0, 1, 3, 13, 10, 4, 8, 5, 2, 6, 12, 11, 9, 14, 7, 0]"
TSP_M_007,TSP,M,7,"We’ve got a maintenance planner trying to put together a route so a tech can leave HQ, stop at each equipment location once, and come home without backtracking. The decision is which stop to go to next at each turn, and a good decision is one that keeps the overall driving to a minimum. You measure how good a route is by totaling the miles between consecutive stops, including the leg that returns to headquarters. It’s important that every site gets exactly one visit and that none are missed or repeated. The detailed list and numbers are shown below.

Below are the 11 sites, with headquarters A.

| site_id | x_coord | y_coord |
|---|---|---|
| A | 51 | 94 |
| B | 91 | 56 |
| C | 99 | 100 |
| D | 100 | 67 |
| E | 89 | 17 |
| F | 50 | 78 |
| G | 12 | 47 |
| H | 34 | 22 |
| I | 0 | 58 |
| J | 75 | 100 |
| K | 99 | 0 |

Make sure each site is visited exactly once and the tour returns to A.

When you send back the route, just use this tiny JSON layout so it's easy to plug into the planner:

{
  ""solution"": [hq_id, site_id, ..., hq_id]
}

Think of ""solution"" as the simple list of stops in order: start at HQ (the first hq_id), visit each site once (the site_id entries), and come back to HQ (the final hq_id). It's just a sketch of the shape I want, not the actual route.

Please make sure you use the exact identifiers from the instance input — don't rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""

That's it — drop the actual sequence of IDs into that array and we're good.",markdown_table,names,"[[51, 94], [91, 56], [99, 100], [100, 67], [89, 17], [50, 78], [12, 47], [34, 22], [0, 58], [75, 100], [99, 0]]","[0, 5, 8, 6, 7, 10, 4, 1, 3, 2, 9, 0]",342.82627391815186,"{""problem_type"": ""TSP"", ""num_nodes"": 11, ""nodes"": [{""id"": ""A"", ""x"": 51, ""y"": 94}, {""id"": ""B"", ""x"": 91, ""y"": 56}, {""id"": ""C"", ""x"": 99, ""y"": 100}, {""id"": ""D"", ""x"": 100, ""y"": 67}, {""id"": ""E"", ""x"": 89, ""y"": 17}, {""id"": ""F"", ""x"": 50, ""y"": 78}, {""id"": ""G"", ""x"": 12, ""y"": 47}, {""id"": ""H"", ""x"": 34, ""y"": 22}, {""id"": ""I"", ""x"": 0, ""y"": 58}, {""id"": ""J"", ""x"": 75, ""y"": 100}, {""id"": ""K"", ""x"": 99, ""y"": 0}], ""depot"": ""A""}","[""A"", ""F"", ""I"", ""G"", ""H"", ""K"", ""E"", ""B"", ""D"", ""C"", ""J"", ""A""]"
TSP_M_008,TSP,M,8,"On a busy morning the flower shop needs a single delivery loop: out from the storefront, one drop at every recipient, and back to the shop without visiting any address more than once. Picking the right order of stops is the task — the best order is the one that keeps the overall driving distance lowest, calculated by summing each leg of the trip including the return. Every address on the list must be visited exactly once. The specific locations are listed below.

# total_locations=15
# storefront_id=0
location_id,x_coord,y_coord
0,80,48
1,100,0
2,46,18
3,78,48
4,22,20
5,4,100
6,0,0
7,22,35
8,55,48
9,86,25
10,44,55
11,63,95
12,43,46
13,3,25
14,23,20

Also, when you send back the delivery order, please keep it in a tiny JSON shape like this:

{
  ""solution"": [shop_id, recipient_id, ..., shop_id]
}

This just shows the shape I’m expecting: the solution array lists the stops in order — starting at the shop, hitting every recipient once, and coming back to the shop. It’s only a sketch of the expected format, not the actual route.

Please make sure to use the exact identifiers from the instance input — don’t rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"[[80, 48], [100, 0], [46, 18], [78, 48], [22, 20], [4, 100], [0, 0], [22, 35], [55, 48], [86, 25], [44, 55], [63, 95], [43, 46], [3, 25], [23, 20]]","[0, 3, 8, 12, 10, 11, 5, 7, 13, 6, 4, 14, 2, 1, 9, 0]",426.9748725891113,"{""problem_type"": ""TSP"", ""num_nodes"": 15, ""nodes"": [{""id"": 0, ""x"": 80, ""y"": 48}, {""id"": 1, ""x"": 100, ""y"": 0}, {""id"": 2, ""x"": 46, ""y"": 18}, {""id"": 3, ""x"": 78, ""y"": 48}, {""id"": 4, ""x"": 22, ""y"": 20}, {""id"": 5, ""x"": 4, ""y"": 100}, {""id"": 6, ""x"": 0, ""y"": 0}, {""id"": 7, ""x"": 22, ""y"": 35}, {""id"": 8, ""x"": 55, ""y"": 48}, {""id"": 9, ""x"": 86, ""y"": 25}, {""id"": 10, ""x"": 44, ""y"": 55}, {""id"": 11, ""x"": 63, ""y"": 95}, {""id"": 12, ""x"": 43, ""y"": 46}, {""id"": 13, ""x"": 3, ""y"": 25}, {""id"": 14, ""x"": 23, ""y"": 20}], ""depot"": 0}","[0, 3, 8, 12, 10, 11, 5, 7, 13, 6, 4, 14, 2, 1, 9, 0]"
TSP_M_009,TSP,M,9,"Recently the courier asked for a plan that begins at the dispatch office, visits every client one time, and returns to the office in a single loop. The choice to make is the sequence of stops; the best sequence is the one with the smallest total travel distance, computed by adding up all the distances between each stop and the next, including the return trip. Every customer must be visited exactly once. The detailed list of stops appears below.

There are 13 locations in total; the route must begin and end at node 0.

| location_id | x_coordinate | y_coordinate |
|---|---|---|
| 0 | 37 | 44 |
| 1 | 0 | 79 |
| 2 | 29 | 0 |
| 3 | 44 | 69 |
| 4 | 22 | 74 |
| 5 | 13 | 25 |
| 6 | 100 | 100 |
| 7 | 50 | 89 |
| 8 | 74 | 50 |
| 9 | 15 | 78 |
| 10 | 12 | 0 |
| 11 | 4 | 88 |
| 12 | 93 | 95 |

Each listed location must be visited exactly once on the loop that starts and finishes at 0.

Also, when you send back the route, please use this simple JSON layout so it's easy to parse and check.

{
  ""solution"": [""dispatch_office_id"", ""client_id"", ""..."", ""dispatch_office_id""]
}

Here ""solution"" is just the tour: a list of stop identifiers in the order they should be visited, starting and ending at the dispatch office. The words in the example are placeholders showing the shape I expect — replace them with the real IDs from the instance when you give the actual route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.  
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"[[37, 44], [0, 79], [29, 0], [44, 69], [22, 74], [13, 25], [100, 100], [50, 89], [74, 50], [15, 78], [12, 0], [4, 88], [93, 95]]","[0, 2, 10, 5, 1, 11, 9, 4, 3, 7, 12, 6, 8, 0]",364.36120891571045,"{""problem_type"": ""TSP"", ""num_nodes"": 13, ""nodes"": [{""id"": 0, ""x"": 37, ""y"": 44}, {""id"": 1, ""x"": 0, ""y"": 79}, {""id"": 2, ""x"": 29, ""y"": 0}, {""id"": 3, ""x"": 44, ""y"": 69}, {""id"": 4, ""x"": 22, ""y"": 74}, {""id"": 5, ""x"": 13, ""y"": 25}, {""id"": 6, ""x"": 100, ""y"": 100}, {""id"": 7, ""x"": 50, ""y"": 89}, {""id"": 8, ""x"": 74, ""y"": 50}, {""id"": 9, ""x"": 15, ""y"": 78}, {""id"": 10, ""x"": 12, ""y"": 0}, {""id"": 11, ""x"": 4, ""y"": 88}, {""id"": 12, ""x"": 93, ""y"": 95}], ""depot"": 0}","[0, 2, 10, 5, 1, 11, 9, 4, 3, 7, 12, 6, 8, 0]"
TSP_M_010,TSP,M,10,"Recently the clinic scheduled house calls across town, and the driver has to turn that schedule into a single loop: leave the clinic, visit every address exactly once, and return to the clinic at the end. The question is which route order will make the least driving — the better route is the one with the lowest sum of all the successive distances between stops, plus the trip back to base. The detailed addresses and coordinates are shown below.

# total_locations_including_clinic=11
# clinic_node_id=1
location_id,x_coordinate_east_west,y_coordinate_north_south
1,95,72
2,9,25
3,9,15
4,95,100
5,6,53
6,100,6
7,98,6
8,95,94
9,0,94
10,22,10
11,9,0

If you want to hand me the route in a compact form, just pop it into a little JSON array like this:

{
  ""solution"": [clinic_id, house_id, ..., clinic_id]
}

This shows the tour order: the array under ""solution"" is the sequence of place identifiers to visit, starting at the clinic, then each house once, and ending back at the clinic. It's just a sketch of the shape I expect — not your actual route yet.

Please make sure to use the exact identifiers from the instance input, with no renaming or made-up labels. Valid identifiers look like:
- plain numbers such as “1” or “23”
- single capital letters like “A” or “B”
- a capital letter followed by digits like “A1” or “X7”

Those are the kinds of IDs I need — use them exactly as given.",csv,one_based,"[[95, 72], [9, 25], [9, 15], [95, 100], [6, 53], [100, 6], [98, 6], [95, 94], [0, 94], [22, 10], [9, 0]]","[0, 5, 6, 9, 10, 2, 1, 4, 8, 3, 7, 0]",378.48177909851074,"{""problem_type"": ""TSP"", ""num_nodes"": 11, ""nodes"": [{""id"": 1, ""x"": 95, ""y"": 72}, {""id"": 2, ""x"": 9, ""y"": 25}, {""id"": 3, ""x"": 9, ""y"": 15}, {""id"": 4, ""x"": 95, ""y"": 100}, {""id"": 5, ""x"": 6, ""y"": 53}, {""id"": 6, ""x"": 100, ""y"": 6}, {""id"": 7, ""x"": 98, ""y"": 6}, {""id"": 8, ""x"": 95, ""y"": 94}, {""id"": 9, ""x"": 0, ""y"": 94}, {""id"": 10, ""x"": 22, ""y"": 10}, {""id"": 11, ""x"": 9, ""y"": 0}], ""depot"": 1}","[1, 6, 7, 10, 11, 3, 2, 5, 9, 4, 8, 1]"
