id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
MDS_S_001,MDS,S,1,"Recently the city asked for an efficient kiosk layout: pick the minimum number of intersections to host kiosks so that every intersection either has one or connects to one. Efficiency is measured by the kiosk count — just add up how many kiosks are placed and prefer the plan with the lowest total — and each kiosk is tied to one intersection only, so it can’t be counted more than once. The rule is strict: every intersection must be covered by being a kiosk location or adjacent to one, and the exact instance details are shown below.

There are 9 intersections in total and 9 streets.

| intersection_a | intersection_b |
|---|---|
| D | A |
| D | E |
| E | B |
| E | F |
| F | G |
| G | H |
| H | I |
| A | B |
| B | C |

Also, when you send back the actual plan, a tiny JSON snippet like this keeps things simple and easy to check:

{
  ""solution"": [""intersection_id"", ""intersection_id"", ...]
}

Here ""solution"" is just the list of intersections (the spots where you'd place kiosks). Think of it like filling in a form: list the intersection IDs you choose in that array. This JSON is only a sketch of the shape I expect — not the real answer itself.

Please use the identifiers exactly as they appear in the instance input — do not rename them or introduce new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"{""problem_type"": ""MDS"", ""num_nodes"": 9, ""num_edges"": 9, ""edges"": [{""u"": 4, ""v"": 1}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 2}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}], ""source_file"": ""great-britain_osm.mtx"", ""density"": 0.25, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0000.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0000.png"", ""edge_connectivity"": 1}","[2, 5, 8]",3.0,"{""num_nodes"": 9, ""num_edges"": 9, ""edges"": [{""u"": ""D"", ""v"": ""A""}, {""u"": ""D"", ""v"": ""E""}, {""u"": ""E"", ""v"": ""B""}, {""u"": ""E"", ""v"": ""F""}, {""u"": ""F"", ""v"": ""G""}, {""u"": ""G"", ""v"": ""H""}, {""u"": ""H"", ""v"": ""I""}, {""u"": ""A"", ""v"": ""B""}, {""u"": ""B"", ""v"": ""C""}]}","[""B"", ""E"", ""H""]"
MDS_S_002,MDS,S,2,"A friend is planning detector placement and the idea is to choose a small set of rooms to equip so every room either has an alarm or shares a wall with a room that does. The task is to pick which rooms get detectors; better plans use fewer detectors, so compare plans by counting how many detectors each requires and choose the smallest count. It’s essential that no room be left uncovered, and putting more than one detector in a single room instead of covering an uncovered neighbor is wasteful. The specific layout and numbers are shown below.

There are 12 rooms in total and 12 shared walls.

| room_a | room_b |
|---|---|
| 1 | 2 |
| 1 | 9 |
| 4 | 5 |
| 4 | 6 |
| 6 | 7 |
| 6 | 10 |
| 6 | 11 |
| 7 | 8 |
| 8 | 9 |
| 10 | 3 |
| 5 | 3 |
| 12 | 11 |

Also, when you reply, please put the chosen rooms into a tiny JSON snippet so it's easy to read and check. Something like this:

{
  ""solution"": [""room_id"", ""room_id"", ...]
}

This just shows the shape I want: ""solution"" is a list of the rooms where you'll place detectors — one entry per room. The values shown are placeholders, not the actual answer.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,one_based,"{""problem_type"": ""MDS"", ""num_nodes"": 12, ""num_edges"": 12, ""edges"": [{""u"": 1, ""v"": 2}, {""u"": 1, ""v"": 9}, {""u"": 4, ""v"": 5}, {""u"": 4, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 6, ""v"": 10}, {""u"": 6, ""v"": 11}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 10, ""v"": 3}, {""u"": 5, ""v"": 3}, {""u"": 12, ""v"": 11}], ""source_file"": ""netherlands_osm.mtx"", ""density"": 0.18181818181818182, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0001.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0001.png"", ""edge_connectivity"": 1}","[1, 3, 5, 7, 11]",5.0,"{""num_nodes"": 12, ""num_edges"": 12, ""edges"": [{""u"": 1, ""v"": 2}, {""u"": 1, ""v"": 9}, {""u"": 4, ""v"": 5}, {""u"": 4, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 6, ""v"": 10}, {""u"": 6, ""v"": 11}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 10, ""v"": 3}, {""u"": 5, ""v"": 3}, {""u"": 12, ""v"": 11}]}","[1, 3, 5, 7, 11]"
MDS_S_003,MDS,S,3,"There’s a neighborhood fair coming up and the organizer wants to post the smallest number of volunteers at booths so that every booth either has someone or sits beside a booth that does. The decision is which specific booths get people; a good decision is the one that uses the least number of volunteers while still making sure every booth is covered. One can judge a plan by counting assigned volunteers and checking that no booth gets skipped or double-booked. The full booth map and specifics are shown below.

# total_booths=8
# adjacent_booth_pairs=8
booth_a,booth_b
5,6
5,7
0,1
1,2
1,7
2,3
2,6
3,4

Just so it's easy to hand back to the organizer or a parsing script, here's the shape I expect the reply to take — nothing fancy, just plain JSON with the list of chosen booths.

{
  ""solution"": [""booth_id"", ""booth_id"", ...]
}

Think of ""solution"" as the form field where you list the booths you want to staff. Each entry in that array is one booth identifier from the map. This is just a sketch of the shape I want, not the actual set of booths for the fair.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"{""problem_type"": ""MDS"", ""num_nodes"": 8, ""num_edges"": 8, ""edges"": [{""u"": 6, ""v"": 7}, {""u"": 6, ""v"": 8}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 2, ""v"": 8}, {""u"": 3, ""v"": 4}, {""u"": 3, ""v"": 7}, {""u"": 4, ""v"": 5}], ""source_file"": ""belgium_osm.mtx"", ""density"": 0.2857142857142857, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0002.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0002.png"", ""edge_connectivity"": 1}","[2, 4, 6]",3.0,"{""num_nodes"": 8, ""num_edges"": 8, ""edges"": [{""u"": 5, ""v"": 6}, {""u"": 5, ""v"": 7}, {""u"": 0, ""v"": 1}, {""u"": 1, ""v"": 2}, {""u"": 1, ""v"": 7}, {""u"": 2, ""v"": 3}, {""u"": 2, ""v"": 6}, {""u"": 3, ""v"": 4}]}","[1, 3, 5]"
MDS_S_004,MDS,S,4,"At school there’s a neat challenge: build a tiny team of class representatives so every student is either on that team or sits beside someone who is. What makes one plan better than another is simply that it uses fewer students, so test arrangements and keep the one with the smallest number that still leaves no one uncovered. Every student must be reached and reps should be distinct individuals. The specific instance and seating info are shown below.

There are 9 students in total and 8 adjacent pairs.

| student_u_id | student_v_id |
|---|---|
| 5 | 2 |
| 5 | 6 |
| 6 | 7 |
| 7 | 8 |
| 0 | 1 |
| 1 | 2 |
| 2 | 3 |
| 3 | 4 |

Oh, and when you send back the tiny team, just use this simple JSON layout so it's easy to parse:

{
  ""solution"": [""seat_id"", ""seat_id"", ...]
}

Think of ""solution"" as the list of chosen seats (one entry per class rep). The placeholders in the array just show the shape I need — they're not the real answers, just a sketch of what to put.

Please make sure you use the identifiers exactly as they appear in the instance input — no renaming, no made-up labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"{""problem_type"": ""MDS"", ""num_nodes"": 9, ""num_edges"": 8, ""edges"": [{""u"": 6, ""v"": 3}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}], ""source_file"": ""belgium_osm.mtx"", ""density"": 0.2222222222222222, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0003.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0003.png"", ""edge_connectivity"": 1}","[2, 3, 4, 8]",4.0,"{""num_nodes"": 9, ""num_edges"": 8, ""edges"": [{""u"": 5, ""v"": 2}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 0, ""v"": 1}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}]}","[1, 2, 3, 7]"
MDS_S_005,MDS,S,5,"In a small library the job is to choose a handful of shelves to display wayfinding panels so every shelf is either displaying a panel itself or sits next to a shelf that does. What counts as a “better” choice is straightforward: the fewer panels used the better, and the count of panels is the simple measure to compare plans. Ensure every shelf is covered by that rule, and don’t waste panels by duplicating them on the same shelf. The specific shelf map appears below.

{
  ""total_shelves"": 8,
  ""total_adjacency_pairs"": 7,
  ""edges"": [
    {
      ""shelf_a_id"": 1,
      ""shelf_b_id"": 2
    },
    {
      ""shelf_a_id"": 1,
      ""shelf_b_id"": 3
    },
    {
      ""shelf_a_id"": 6,
      ""shelf_b_id"": 3
    },
    {
      ""shelf_a_id"": 6,
      ""shelf_b_id"": 7
    },
    {
      ""shelf_a_id"": 7,
      ""shelf_b_id"": 8
    },
    {
      ""shelf_a_id"": 3,
      ""shelf_b_id"": 4
    },
    {
      ""shelf_a_id"": 4,
      ""shelf_b_id"": 5
    }
  ]
}

When you’re ready, just send back the chosen shelves in a tiny JSON snippet like this:

{
  ""solution"": [""shelf_id"", ""shelf_id"", ...]
}

Think of ""solution"" as the list of shelf labels where you’d put panels — one entry per shelf. The JSON above is just the shape I’m expecting, not the actual answer.

Please use the exact identifiers from the instance input — don’t rename them or invent new ones. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"{""problem_type"": ""MDS"", ""num_nodes"": 8, ""num_edges"": 7, ""edges"": [{""u"": 1, ""v"": 2}, {""u"": 1, ""v"": 3}, {""u"": 6, ""v"": 3}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}], ""source_file"": ""great-britain_osm.mtx"", ""density"": 0.25, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0004.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0004.png"", ""edge_connectivity"": 1}","[1, 4, 7]",3.0,"{""num_nodes"": 8, ""num_edges"": 7, ""edges"": [{""u"": 1, ""v"": 2}, {""u"": 1, ""v"": 3}, {""u"": 6, ""v"": 3}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}]}","[1, 4, 7]"
MDS_S_006,MDS,S,6,"Recently the team was tasked with deciding where to place monitoring agents across a set of interconnected servers so every machine ends up observed. The practical rule is to install agents on as few servers as possible — evaluate each option by counting the agent hosts and pick the smallest count — while making sure no server is left without an agent or a direct neighbor with one, and without installing agents in places that don’t add coverage. The detailed server map appears below.

The network has 11 servers and 10 direct connections, listed below for the team to evaluate.
Connection between 0 and 1: placing an agent on 0 or on 1 covers the other.
Connection between 1 and 2: placing an agent on 1 or on 2 covers the other.
Connection between 2 and 3: placing an agent on 2 or on 3 covers the other.
Connection between 3 and 4: placing an agent on 3 or on 4 covers the other.
Connection between 4 and 5: placing an agent on 4 or on 5 covers the other.
Connection between 5 and 6: placing an agent on 5 or on 6 covers the other.
Connection between 6 and 7: placing an agent on 6 or on 7 covers the other.
Connection between 7 and 8: placing an agent on 7 or on 8 covers the other.
Connection between 8 and 9: placing an agent on 8 or on 9 covers the other.
Connection between 9 and 10: placing an agent on 9 or on 10 covers the other.
The team will choose the smallest number of agent hosts that ensures all 11 servers are observed.

When you're ready, just send back the selected hosts using this simple JSON shape:

{
  ""solution"": [""server_id"", ""server_id"", ...]
}

This just means ""solution"" is a list of the server IDs where we'll put agents. The server_id entries above are just placeholders showing the format — replace them with the exact IDs from the instance when you answer. Think of it like filling in a short form: one array, a bunch of server names.

This JSON is only a sketch of the shape I expect, not the actual answer.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"{""problem_type"": ""MDS"", ""num_nodes"": 11, ""num_edges"": 10, ""edges"": [{""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 9, ""v"": 10}, {""u"": 10, ""v"": 11}], ""source_file"": ""great-britain_osm.mtx"", ""density"": 0.18181818181818182, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0005.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0005.png"", ""edge_connectivity"": 1}","[2, 5, 7, 10]",4.0,"{""num_nodes"": 11, ""num_edges"": 10, ""edges"": [{""u"": 0, ""v"": 1}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 9, ""v"": 10}]}","[1, 4, 6, 9]"
MDS_S_007,MDS,S,7,"I’m coordinating camera placement across a patchwork of forest clearings and the idea is simple: pick a handful of clearings to install traps so that every clearing either has a camera or is visible from one that does. The choice to make is which clearings get cameras; a plan that uses fewer cameras is better — just count how many are installed and prefer the smaller number. Practically, every clearing must be covered (either host a camera or be next to a clearing with one) and each camera sits in one clearing and only counts once, so nothing can be left uncovered or double-counted. The exact map and clearing list are shown below.

There are 8 clearings in total and 7 visibility links.

| clearing_u_id | clearing_v_id |
|---|---|
| 2 | 1 |
| 2 | 3 |
| 3 | 4 |
| 4 | 5 |
| 5 | 6 |
| 6 | 7 |
| 7 | 8 |

When you send the plan back, just use a tiny JSON snippet so it's easy for me (and any tools) to read. A relaxed example of the shape I want is below.

{
  ""solution"": [""clearing_id"", ""clearing_id"", ...]
}

Pretty straightforward: ""solution"" is the list of clearings where we'll put cameras — each entry should be the ID of a clearing from the instance. This JSON is just a sketch of the shape I expect, not the actual answer — replace the placeholder strings with the real clearing IDs.

All identifiers must match the instance exactly — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,one_based,"{""problem_type"": ""MDS"", ""num_nodes"": 8, ""num_edges"": 7, ""edges"": [{""u"": 2, ""v"": 1}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}], ""source_file"": ""italy_osm.mtx"", ""density"": 0.25, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0006.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0006.png"", ""edge_connectivity"": 1}","[2, 5, 7]",3.0,"{""num_nodes"": 8, ""num_edges"": 7, ""edges"": [{""u"": 2, ""v"": 1}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}]}","[2, 5, 7]"
MDS_S_008,MDS,S,8,"I’m the marketing manager trying to put together a small promo that reaches every shop in our network by placing displays in just a few spots — each store should either host a display or be right next to a store that does. The better plan is the one that uses fewer hosting stores, which you can tell simply by counting how many stores end up chosen; nothing can be left uncovered and picking the same store twice doesn’t change anything. The exact store map and numbers are shown below.

There are 10 stores in total and 9 store connections.

| store_a | store_b |
|---|---|
| 1 | 3 |
| 2 | 3 |
| 3 | 10 |
| 4 | 5 |
| 5 | 6 |
| 6 | 7 |
| 7 | 8 |
| 8 | 9 |
| 9 | 10 |

Oh, and when you send the solution back, just use a tiny JSON snippet like this so it's easy to check:

{
  ""solution"": [""store_id"", ""store_id"", ...]
}

Think of ""solution"" as the list of stores where we'll put the displays — one entry per chosen store. This is just a sketch of the shape I need, not the actual plan itself.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,one_based,"{""problem_type"": ""MDS"", ""num_nodes"": 10, ""num_edges"": 9, ""edges"": [{""u"": 1, ""v"": 3}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 10}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 9, ""v"": 10}], ""source_file"": ""netherlands_osm.mtx"", ""density"": 0.2, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0007.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0007.png"", ""edge_connectivity"": 1}","[3, 5, 8]",3.0,"{""num_nodes"": 10, ""num_edges"": 9, ""edges"": [{""u"": 1, ""v"": 3}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 10}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 9, ""v"": 10}]}","[3, 5, 8]"
MDS_S_009,MDS,S,9,"Recently a decision came up about placing water troughs across neighboring fields so every field either contains a trough or borders a field with one, and the goal is to do that with the least number of troughs. You rate any placement by the total number of troughs used — fewer troughs means a better solution. Make sure every field is covered by that choice and don’t waste resources by putting multiple troughs in the same field. The exact instance details are shown below.

There are 10 fields in total and 9 borders.

| field_a_id | field_b_id |
|---|---|
| 2 | 3 |
| 3 | 4 |
| 4 | 5 |
| 5 | 0 |
| 5 | 8 |
| 8 | 9 |
| 6 | 1 |
| 6 | 7 |
| 0 | 1 |

Oh, and when you send the placement back, please use this simple JSON shape so it's easy to read and parse:

{
  ""solution"": [""field_id"", ""field_id"", ...]
}

Think of ""solution"" as just a list of the fields where you put troughs — each placeholder like ""field_id"" stands in for one of the actual field identifiers from the instance. This is just a sketch of the shape I expect, not the real answer itself.

Please make sure to use the exact identifiers from the instance input — don't rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"{""problem_type"": ""MDS"", ""num_nodes"": 10, ""num_edges"": 9, ""edges"": [{""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 1}, {""u"": 6, ""v"": 9}, {""u"": 9, ""v"": 10}, {""u"": 7, ""v"": 2}, {""u"": 7, ""v"": 8}, {""u"": 1, ""v"": 2}], ""source_file"": ""great-britain_osm.mtx"", ""density"": 0.2, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0008.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0008.png"", ""edge_connectivity"": 1}","[2, 4, 7, 9]",4.0,"{""num_nodes"": 10, ""num_edges"": 9, ""edges"": [{""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 0}, {""u"": 5, ""v"": 8}, {""u"": 8, ""v"": 9}, {""u"": 6, ""v"": 1}, {""u"": 6, ""v"": 7}, {""u"": 0, ""v"": 1}]}","[1, 3, 6, 8]"
MDS_S_010,MDS,S,10,"Back in the office, the superintendent sketched the hallways and asked: which apartments should store the extinguishers so that every unit either contains one or is connected by a hallway to a unit that does? The winning plan is simply the one with the fewest apartments actually storing extinguishers — judge any placement by that count — while making sure every apartment gets covered and avoiding putting extras where they don’t help. The exact building sketch is shown below.

# total_apartments=9
# total_hallway_connections=8
apartment_endpoint_u,apartment_endpoint_v
7,0
7,8
1,2
2,3
3,4
4,5
5,6
6,8

Oh — and when you give the final answer, please use a tiny JSON sketch like this so it's easy to check:

{
  ""solution"": [""apartment_id"", ""apartment_id"", ...]
}

Think of ""solution"" as the list of apartment identifiers where the extinguishers should go — just the labels, nothing else. This block is just the expected shape (a simple list), not the actual placement.

Please be careful to use the identifiers exactly as they appear in the instance input — no renaming, no made-up labels.  
for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"{""problem_type"": ""MDS"", ""num_nodes"": 9, ""num_edges"": 8, ""edges"": [{""u"": 8, ""v"": 1}, {""u"": 8, ""v"": 9}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 9}], ""source_file"": ""great-britain_osm.mtx"", ""density"": 0.2222222222222222, ""viz_instance"": ""generated_data/MDS/viz/MDS_S/instance_0009.png"", ""viz_solution"": ""generated_data/MDS/viz/MDS_S/solution_0009.png"", ""edge_connectivity"": 1}","[3, 6, 8]",3.0,"{""num_nodes"": 9, ""num_edges"": 8, ""edges"": [{""u"": 7, ""v"": 0}, {""u"": 7, ""v"": 8}, {""u"": 1, ""v"": 2}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 4}, {""u"": 4, ""v"": 5}, {""u"": 5, ""v"": 6}, {""u"": 6, ""v"": 8}]}","[2, 5, 7]"
