id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
CMP_M_001,CMP,M,1,"Someone organizing a meet-and-greet asked to arrange all guests in one straight row — everyone must be placed once, no one left out or duplicated — and to be mindful of friendship links that span the line. At each gap between two positions, count the number of friendships that connect anyone on the left side to anyone on the right side; then find the gap with the biggest count. The host prefers the lineup whose single worst gap has the fewest crossing friendships. The exact guest list and links are shown below.

# guest_count=18
# friendship_count=1
# guest_ids=A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R
guest_a,guest_b
G,M

Oh — and when you send the lineup back, please use this simple JSON layout so it's easy to read by whoever's collecting the responses:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

""solution"" is just the ordered list of guests from left to right in the row — put each guest identifier in the array in the exact order you want them seated. Think of this as a little form: the JSON shows the shape I need, not the computed best order itself.

Please also remember: all identifiers must be used exactly as they appear in the instance input — no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",csv,names,"{""name"": ""gre__343.mtx.rnd_sub_18"", ""num_nodes"": 18, ""num_edges"": 1, ""edges"": [[6, 12]], ""solution"": [1, 14, 3, 16, 0, 15, 10, 9, 13, 4, 5, 6, 2, 7, 8, 12, 17, 11], ""objective"": 1.0}","[1, 14, 3, 16, 0, 15, 10, 9, 13, 4, 5, 6, 2, 7, 8, 12, 17, 11]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 18, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M"", ""N"", ""O"", ""P"", ""Q"", ""R""], ""num_edges"": 1, ""edges"": [{""u"": ""G"", ""v"": ""M""}]}","[""B"", ""O"", ""D"", ""Q"", ""A"", ""P"", ""K"", ""J"", ""N"", ""E"", ""F"", ""G"", ""C"", ""H"", ""I"", ""M"", ""R"", ""L""]"
CMP_M_002,CMP,M,2,"We ran into a real-world puzzle: order the servers on a rack so the worst choke point — where the most cables cross from one side of the rack to the other — is as mellow as possible. That means placing every server exactly once into a single line, then checking every gap between neighbors, counting the cables that run from someone on the left to someone on the right. The score of an ordering is the largest of those gap counts, and the better order is the one with the smallest such score. The exact server list and cable map are shown below.

They are: servers 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13 (13 total) with 8 cables.
A cable runs between 2 and 1.
A cable runs between 2 and 13.
A cable runs between 2 and 6.
A cable runs between 2 and 5.
A cable runs between 2 and 7.
A cable runs between 2 and 10.
A cable runs between 2 and 8.
A cable runs between 2 and 9.
We'll place each server once to minimize the largest gap-crossing among these 8 cables.

Just drop your answer into this little JSON shape when you're ready — keeps things tidy and machine-friendly while we chat like humans.

{
  ""solution"": [<first_server>, <second_server>, ..., <last_server>]
}

Here ""solution"" is the lineup from left to right on the rack: list each server identifier exactly once in the order you want them placed. This JSON is just a sketch of the shape I expect, not the actual ordering — you'll replace those placeholders with the real IDs from the instance.

Please make sure you use the identifiers exactly as they appear in the instance input — no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",nl,one_based,"{""name"": ""shl____0.mtx.rnd_sub_13"", ""num_nodes"": 13, ""num_edges"": 8, ""edges"": [[1, 0], [1, 12], [1, 5], [1, 4], [1, 6], [1, 9], [1, 7], [1, 8]], ""solution"": [2, 10, 3, 12, 8, 9, 7, 1, 4, 5, 6, 0, 11], ""objective"": 4.0}","[2, 10, 3, 12, 8, 9, 7, 1, 4, 5, 6, 0, 11]",4.0,"{""problem_type"": ""CMP"", ""num_nodes"": 13, ""nodes"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], ""num_edges"": 8, ""edges"": [{""u"": 2, ""v"": 1}, {""u"": 2, ""v"": 13}, {""u"": 2, ""v"": 6}, {""u"": 2, ""v"": 5}, {""u"": 2, ""v"": 7}, {""u"": 2, ""v"": 10}, {""u"": 2, ""v"": 8}, {""u"": 2, ""v"": 9}]}","[3, 11, 4, 13, 9, 10, 8, 2, 5, 6, 7, 1, 12]"
CMP_M_003,CMP,M,3,"Someone at the library is trying to arrange all the volumes in a single line so that, wherever you split that line, you rarely see many references reaching from the books on the left to those on the right. The only choice to make is the order — every book must appear once in the row. You evaluate any order by checking every gap, counting cross-references at that gap, and then looking at the worst (largest) count across all gaps; the lower that worst count, the better the lineup. The specific book and reference details are shown below.

# total_books=14
# total_references=12
# book_ids=0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
book_id_a,book_id_b
0,8
1,3
3,13
4,11
5,13
9,10
11,2
4,3
0,2
8,7
12,9
2,4

Oh, and when you're ready to hand me the lineup, please use this simple JSON shape so it's easy to parse and check — nothing fancy, just that one object with the order inside.

{
  ""solution"": [<first_book>, <second_book>, ..., <last_book>]
}

This block is just a friendly template: the ""solution"" array is where you list the books from leftmost to rightmost. The angle-bracket items are placeholders showing the shape — when you provide the real ordering, replace those placeholders with the actual book identifiers from the instance.

Quick heads-up: the JSON above is only a sketch of the expected shape, not the final answer itself. And be sure to use the identifiers exactly as they appear in the problem input — do not rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,zero_based,"{""name"": ""p52_20_27_sub_14"", ""num_nodes"": 14, ""num_edges"": 12, ""edges"": [[0, 8], [1, 3], [3, 13], [4, 11], [5, 13], [9, 10], [11, 2], [4, 3], [0, 2], [8, 7], [12, 9], [2, 4]], ""solution"": [6, 12, 1, 9, 10, 3, 13, 5, 4, 11, 2, 0, 8, 7], ""objective"": 2.0}","[6, 12, 1, 9, 10, 3, 13, 5, 4, 11, 2, 0, 8, 7]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 14, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], ""num_edges"": 12, ""edges"": [{""u"": 0, ""v"": 8}, {""u"": 1, ""v"": 3}, {""u"": 3, ""v"": 13}, {""u"": 4, ""v"": 11}, {""u"": 5, ""v"": 13}, {""u"": 9, ""v"": 10}, {""u"": 11, ""v"": 2}, {""u"": 4, ""v"": 3}, {""u"": 0, ""v"": 2}, {""u"": 8, ""v"": 7}, {""u"": 12, ""v"": 9}, {""u"": 2, ""v"": 4}]}","[6, 12, 1, 9, 10, 3, 13, 5, 4, 11, 2, 0, 8, 7]"
CMP_M_004,CMP,M,4,"I was helping a festival put together a single parade line of acts, and the trick was to order everyone so that, at any spot between two performers, not too many of their past collaborations had to “stretch” across that gap. The decision is just who goes where in the one line — everyone must appear exactly once and nobody gets repeated or skipped — and a good order is one where, if someone checks every gap and counts how many collaboration links cross it, the biggest of those counts is as small as possible. The specific list of performers and which pairs have worked together will be shown below.

Below are the 13 performers (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12) and the 1 past collaborations between them.
I recorded that 10 and 9 had collaborated.
Those were the ties I had to juggle when arranging the parade order.

Also, if you want to give me the ordering, a tiny JSON sketch works best — nothing fancy, just the list from the first performer to the last in a single array. For the story, I’ll use “act” in the placeholders so it reads naturally.

{
  ""solution"": [<first_act>, <second_act>, ..., <last_act>]
}

This simply means: put the parade order in the array under ""solution"", with the performer at the front first and the performer at the end last. The angle-bracketed names above are just placeholders showing the shape — when you reply, replace them with the actual performer IDs from the instance (don’t invent new keys or change the outer structure). The JSON is only a sketch of the expected shape, not the actual answer.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"{""name"": ""shl__200.mtx.rnd_sub_13"", ""num_nodes"": 13, ""num_edges"": 1, ""edges"": [[10, 9]], ""solution"": [4, 8, 5, 1, 9, 12, 2, 6, 0, 10, 3, 11, 7], ""objective"": 1.0}","[4, 8, 5, 1, 9, 12, 2, 6, 0, 10, 3, 11, 7]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 13, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""num_edges"": 1, ""edges"": [{""u"": 10, ""v"": 9}]}","[4, 8, 5, 1, 9, 12, 2, 6, 0, 10, 3, 11, 7]"
CMP_M_005,CMP,M,5,"On a quiet morning the team was told to arrange a lineup of artifacts down a corridor so that visitors don’t hit a point where an overwhelming number of connections leap across the aisle. The exhibits must all be placed in one single sequence, no repeats and none left out, and you check every space between items by tallying links that go from the left group to the right group. Which ordering is nicer? The one whose worst split — the highest tally among all the spaces — is as small as possible. The specific exhibits and their connections are listed below.

You’ll see 13 exhibits, 15 thematic links, and the exhibit identifiers: A, B, C, D, E, F, G, H, I, J, K, L, M.
You record a thematic link between E and H.
You record a thematic link between F and M.
You record a thematic link between I and J.
You record a thematic link between J and M.
You record a thematic link between K and M.
You record a thematic link between L and B.
You record a thematic link between L and D.
You record a thematic link between F and H.
You record a thematic link between A and D.
You record a thematic link between M and I.
You record a thematic link between B and G.
You record a thematic link between J and A.
You record a thematic link between J and F.
You record a thematic link between K and G.
You record a thematic link between K and A.
Use these entries to assess sequence orderings and keep the worst split as small as possible.

Oh, and one more practical thing — when you send back the ordering, please stick to this simple JSON layout so it's easy to check:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Here ""solution"" is just the left-to-right lineup of exhibits along the corridor; put each exhibit's identifier in order inside that array, from the first placed to the last. Think of it like filling out a form: the array lists the sequence, and that's all the judge needs to see.

This JSON is just a sketch of the shape I expect — replace the placeholder items with the actual exhibit identifiers from the instance input when you give the final ordering. Please use those identifiers exactly as they appear in the instance input — do not rename or invent labels. 

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,names,"{""name"": ""p63_21_42_sub_13"", ""num_nodes"": 13, ""num_edges"": 15, ""edges"": [[4, 7], [5, 12], [8, 9], [9, 12], [10, 12], [11, 1], [11, 3], [5, 7], [0, 3], [12, 8], [1, 6], [9, 0], [9, 5], [10, 6], [10, 0]], ""solution"": [3, 0, 10, 2, 6, 1, 11, 12, 9, 8, 5, 7, 4], ""objective"": 4.0}","[3, 0, 10, 2, 6, 1, 11, 12, 9, 8, 5, 7, 4]",4.0,"{""problem_type"": ""CMP"", ""num_nodes"": 13, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M""], ""num_edges"": 15, ""edges"": [{""u"": ""E"", ""v"": ""H""}, {""u"": ""F"", ""v"": ""M""}, {""u"": ""I"", ""v"": ""J""}, {""u"": ""J"", ""v"": ""M""}, {""u"": ""K"", ""v"": ""M""}, {""u"": ""L"", ""v"": ""B""}, {""u"": ""L"", ""v"": ""D""}, {""u"": ""F"", ""v"": ""H""}, {""u"": ""A"", ""v"": ""D""}, {""u"": ""M"", ""v"": ""I""}, {""u"": ""B"", ""v"": ""G""}, {""u"": ""J"", ""v"": ""A""}, {""u"": ""J"", ""v"": ""F""}, {""u"": ""K"", ""v"": ""G""}, {""u"": ""K"", ""v"": ""A""}]}","[""D"", ""A"", ""K"", ""C"", ""G"", ""B"", ""L"", ""M"", ""J"", ""I"", ""F"", ""H"", ""E""]"
CMP_M_006,CMP,M,6,"Recently a foreman tried to arrange all pallets in a straight line so the single worst crossing point wouldn’t be overloaded with ties between left and right. All that had to be decided was the order of the pallets — each pallet must be in the line once, no omissions or repeats. To figure out how well an order does, check every spot between pallets, count how many dependency-lines cross that spot from left to right, then take the highest count you find; the smaller that highest number, the better the ordering. The concrete instance is shown below.

Here 17 pallets must be placed in a single file, with 18 dependency lines among the labels 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.
A dependency line connects pallet 0 and pallet 14.
A dependency line connects pallet 1 and pallet 12.
A dependency line connects pallet 2 and pallet 9.
A dependency line connects pallet 3 and pallet 14.
A dependency line connects pallet 4 and pallet 11.
A dependency line connects pallet 5 and pallet 7.
A dependency line connects pallet 6 and pallet 7.
A dependency line connects pallet 7 and pallet 8.
A dependency line connects pallet 8 and pallet 15.
A dependency line connects pallet 9 and pallet 14.
A dependency line connects pallet 10 and pallet 11.
A dependency line connects pallet 11 and pallet 16.
A dependency line connects pallet 12 and pallet 14.
A dependency line connects pallet 13 and pallet 14.
A dependency line connects pallet 14 and pallet 15.
A dependency line connects pallet 15 and pallet 16.
A dependency line connects pallet 3 and pallet 1.
A dependency line connects pallet 0 and pallet 4.
These 18 dependency lines among the 17 pallets are the ties the foreman had to consider.

If you'd like to hand in a proposed ordering, just toss it into a tiny JSON object like this — keeps things simple and machine-friendly.

{
  ""solution"": [<first_pallet>, <second_pallet>, <third_pallet>, <fourth_pallet>, <fifth_pallet>, <sixth_pallet>, <seventh_pallet>, <eighth_pallet>, <ninth_pallet>, <tenth_pallet>]
}

Here ""solution"" is the list of pallets in the order you want them arranged, from leftmost to rightmost. Each placeholder like <first_pallet> stands in for an actual pallet identifier from the instance — replace those placeholders with the real IDs when you submit. This JSON is just a sketch of the expected shape, not the actual answer.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".",nl,zero_based,"{""name"": ""p28_17_18"", ""num_nodes"": 17, ""num_edges"": 18, ""edges"": [[0, 14], [1, 12], [2, 9], [3, 14], [4, 11], [5, 7], [6, 7], [7, 8], [8, 15], [9, 14], [10, 11], [11, 16], [12, 14], [13, 14], [14, 15], [15, 16], [3, 1], [0, 4]], ""solution"": [1, 12, 13, 3, 14, 0, 9, 2, 15, 16, 8, 4, 11, 7, 6, 5, 10], ""objective"": 3.0}","[1, 12, 13, 3, 14, 0, 9, 2, 15, 16, 8, 4, 11, 7, 6, 5, 10]",3.0,"{""problem_type"": ""CMP"", ""num_nodes"": 17, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], ""num_edges"": 18, ""edges"": [{""u"": 0, ""v"": 14}, {""u"": 1, ""v"": 12}, {""u"": 2, ""v"": 9}, {""u"": 3, ""v"": 14}, {""u"": 4, ""v"": 11}, {""u"": 5, ""v"": 7}, {""u"": 6, ""v"": 7}, {""u"": 7, ""v"": 8}, {""u"": 8, ""v"": 15}, {""u"": 9, ""v"": 14}, {""u"": 10, ""v"": 11}, {""u"": 11, ""v"": 16}, {""u"": 12, ""v"": 14}, {""u"": 13, ""v"": 14}, {""u"": 14, ""v"": 15}, {""u"": 15, ""v"": 16}, {""u"": 3, ""v"": 1}, {""u"": 0, ""v"": 4}]}","[1, 12, 13, 3, 14, 0, 9, 2, 15, 16, 8, 4, 11, 7, 6, 5, 10]"
CMP_M_007,CMP,M,7,"There's a teacher who wants a neat photo lineup: all the kids in one straight line, each child exactly once. The idea is to think about every possible cut between kids—count how many friendships stretch from the front side to the back side at that cut—and then note the single biggest count you see among all those cuts. The aim is to arrange the kids so that this biggest crossing number is as low as it can be. The actual roster and friendship connections appear below.

Below are the 14 students, the 5 friendships, and the student identifiers: A, B, C, D, E, F, G, H, I, J, K, L, M, N.
The teacher notes that F and I are friends.
The teacher notes that G and N are friends.
The teacher notes that H and J are friends.
The teacher notes that I and L are friends.
The teacher notes that M and N are friends.
The teacher will use this roster to find an ordering that minimizes the maximum number of friendships crossing any cut.

Oh, and when you're ready to hand me a proposed lineup, please use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

""solution"" is just the ordered list of kids from left/front of the photo to right/back. Treat each placeholder there as where you'd put the exact identifier for a kid from the instance — that list is a sketch of the shape I expect, not the actual answer.

Please make sure you use the identifiers exactly as they appear in the instance input — don't rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,names,"{""name"": ""p84_23_26_sub_14"", ""num_nodes"": 14, ""num_edges"": 5, ""edges"": [[5, 8], [6, 13], [7, 9], [8, 11], [12, 13]], ""solution"": [1, 0, 12, 2, 3, 13, 4, 6, 7, 9, 11, 8, 5, 10], ""objective"": 1.0}","[1, 0, 12, 2, 3, 13, 4, 6, 7, 9, 11, 8, 5, 10]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 14, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M"", ""N""], ""num_edges"": 5, ""edges"": [{""u"": ""F"", ""v"": ""I""}, {""u"": ""G"", ""v"": ""N""}, {""u"": ""H"", ""v"": ""J""}, {""u"": ""I"", ""v"": ""L""}, {""u"": ""M"", ""v"": ""N""}]}","[""B"", ""A"", ""M"", ""C"", ""D"", ""N"", ""E"", ""G"", ""H"", ""J"", ""L"", ""I"", ""F"", ""K""]"
CMP_M_008,CMP,M,8,"At rehearsal the leader sketched out the songs on the whiteboard and said, we need one playlist where nothing’s left out or repeated, and no slice of the show is overwhelmed by links reaching across to the rest. The choice is the exact sequence of all songs, and the way to compare sequences is to walk every gap, count how many song-pairs jump from before the gap to after it, then take the maximum count among those gaps; the aim is to keep that maximum down. The concrete setup is shown below.

Below we list the 14 transitions among the 13 songs; the song identifiers are 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
We marked a link between song 0 and song 12.
We marked a link between song 1 and song 11.
We marked a link between song 2 and song 3.
We marked a link between song 3 and song 8.
We marked a link between song 4 and song 6.
We marked a link between song 5 and song 11.
We marked a link between song 6 and song 10.
We marked a link between song 7 and song 12.
We marked a link between song 8 and song 12.
We marked a link between song 9 and song 10.
We marked a link between song 11 and song 12.
We marked a link between song 1 and song 12.
We marked a link between song 9 and song 3.
We marked a link between song 4 and song 12.
That's the complete link list; we'll arrange the 13 songs into a single playlist that keeps the maximum gap cut as low as we can.

And when you’re ready to hand over the ordering, just pop it into this little JSON wrapper so it’s clear and tidy:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Think of ""solution"" as the playlist: the array lists the songs (nodes) from the very first to the very last. Replace each placeholder with the actual node identifier from the instance — this is just the shape I expect, not the final answer itself.

Please use the identifiers exactly as they appear in the input — don’t rename them or invent new labels. For example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,zero_based,"{""name"": ""p20_16_18_sub_13"", ""num_nodes"": 13, ""num_edges"": 14, ""edges"": [[0, 12], [1, 11], [2, 3], [3, 8], [4, 6], [5, 11], [6, 10], [7, 12], [8, 12], [9, 10], [11, 12], [1, 12], [9, 3], [4, 12]], ""solution"": [2, 3, 9, 10, 8, 6, 4, 7, 12, 1, 11, 0, 5], ""objective"": 3.0}","[2, 3, 9, 10, 8, 6, 4, 7, 12, 1, 11, 0, 5]",3.0,"{""problem_type"": ""CMP"", ""num_nodes"": 13, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""num_edges"": 14, ""edges"": [{""u"": 0, ""v"": 12}, {""u"": 1, ""v"": 11}, {""u"": 2, ""v"": 3}, {""u"": 3, ""v"": 8}, {""u"": 4, ""v"": 6}, {""u"": 5, ""v"": 11}, {""u"": 6, ""v"": 10}, {""u"": 7, ""v"": 12}, {""u"": 8, ""v"": 12}, {""u"": 9, ""v"": 10}, {""u"": 11, ""v"": 12}, {""u"": 1, ""v"": 12}, {""u"": 9, ""v"": 3}, {""u"": 4, ""v"": 12}]}","[2, 3, 9, 10, 8, 6, 4, 7, 12, 1, 11, 0, 5]"
CMP_M_009,CMP,M,9,"We’re picturing a boutique where the manager asks for all the clothes to be hung one after another on a single rail, and the challenge is arranging them so the most awkward split — the spot where the largest number of style connections cross from one side to the other — is kept as small as possible. Every garment needs to appear once on that rail, no repeats, no omissions; for every place you could split the row you tally how many connections go across, then take the highest tally, and the aim is to keep that highest tally low. The concrete setup is listed below.

# num_garments=18
# num_style_links=19
# garment_ids=A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R
garment_endpoint_a,garment_endpoint_b
A,R
B,J
C,E
E,G
F,H
G,J
H,R
I,P
K,O
L,N
M,O
N,P
O,R
P,Q
Q,R
O,Q
B,Q
E,R
B,F

Also, when you hand the ordering back, just drop it into this little JSON layout so it's easy to read and use:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Think of ""solution"" as the rail: the array is the garments from the very first hook to the very last. Each placeholder like <first_node> is where you'll put the actual item identifier from the instance — the exact one you see in the input. This JSON is just a sketch of the shape I want, not the final answer itself.

Please make sure all identifiers are used exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".",csv,names,"{""name"": ""p75_22_25_sub_18"", ""num_nodes"": 18, ""num_edges"": 19, ""edges"": [[0, 17], [1, 9], [2, 4], [4, 6], [5, 7], [6, 9], [7, 17], [8, 15], [10, 14], [11, 13], [12, 14], [13, 15], [14, 17], [15, 16], [16, 17], [14, 16], [1, 16], [4, 17], [1, 5]], ""solution"": [11, 13, 9, 6, 8, 15, 2, 4, 3, 1, 16, 5, 7, 17, 14, 10, 0, 12], ""objective"": 4.0}","[11, 13, 9, 6, 8, 15, 2, 4, 3, 1, 16, 5, 7, 17, 14, 10, 0, 12]",4.0,"{""problem_type"": ""CMP"", ""num_nodes"": 18, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M"", ""N"", ""O"", ""P"", ""Q"", ""R""], ""num_edges"": 19, ""edges"": [{""u"": ""A"", ""v"": ""R""}, {""u"": ""B"", ""v"": ""J""}, {""u"": ""C"", ""v"": ""E""}, {""u"": ""E"", ""v"": ""G""}, {""u"": ""F"", ""v"": ""H""}, {""u"": ""G"", ""v"": ""J""}, {""u"": ""H"", ""v"": ""R""}, {""u"": ""I"", ""v"": ""P""}, {""u"": ""K"", ""v"": ""O""}, {""u"": ""L"", ""v"": ""N""}, {""u"": ""M"", ""v"": ""O""}, {""u"": ""N"", ""v"": ""P""}, {""u"": ""O"", ""v"": ""R""}, {""u"": ""P"", ""v"": ""Q""}, {""u"": ""Q"", ""v"": ""R""}, {""u"": ""O"", ""v"": ""Q""}, {""u"": ""B"", ""v"": ""Q""}, {""u"": ""E"", ""v"": ""R""}, {""u"": ""B"", ""v"": ""F""}]}","[""L"", ""N"", ""J"", ""G"", ""I"", ""P"", ""C"", ""E"", ""D"", ""B"", ""Q"", ""F"", ""H"", ""R"", ""O"", ""K"", ""A"", ""M""]"
CMP_M_010,CMP,M,10,"Many people on the crew prefer a cut that doesn’t throw too many threads across a single edit, so the editor asked for one straight sequence using every scene once. At every possible splice the number of threads that jump from earlier to later scenes was checked, and the whole sequence is judged by whichever splice has the most jumps. The aim then becomes arranging the scenes so the busiest splice carries as few crossing threads as possible. The concrete scene list and links are shown below.

{
  ""total_scenes"": 16,
  ""total_threads"": 3,
  ""scene_list"": [
    ""A"",
    ""B"",
    ""C"",
    ""D"",
    ""E"",
    ""F"",
    ""G"",
    ""H"",
    ""I"",
    ""J"",
    ""K"",
    ""L"",
    ""M"",
    ""N"",
    ""O"",
    ""P""
  ],
  ""edges"": [
    {
      ""scene_a"": ""J"",
      ""scene_b"": ""E""
    },
    {
      ""scene_a"": ""B"",
      ""scene_b"": ""P""
    },
    {
      ""scene_a"": ""O"",
      ""scene_b"": ""P""
    }
  ]
}

If you want to hand me the final ordering, just drop it into the little JSON shape below — nothing fancy, just the sequence in the order you want the scenes to appear.

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

This simply means: put every scene ID in that array in the exact order you want them played. The first entry is the opening scene, the next is what comes after, and so on down to the last entry. It’s just a sketch of the shape I expect — the real answer would be a filled-in list of the scene IDs.

Please be sure to use the identifiers exactly as they appear in the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,names,"{""name"": ""plskz362.mtx.rnd_sub_16"", ""num_nodes"": 16, ""num_edges"": 3, ""edges"": [[9, 4], [1, 15], [14, 15]], ""solution"": [10, 7, 11, 2, 8, 6, 0, 5, 12, 9, 4, 3, 14, 15, 1, 13], ""objective"": 1.0}","[10, 7, 11, 2, 8, 6, 0, 5, 12, 9, 4, 3, 14, 15, 1, 13]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 16, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L"", ""M"", ""N"", ""O"", ""P""], ""num_edges"": 3, ""edges"": [{""u"": ""J"", ""v"": ""E""}, {""u"": ""B"", ""v"": ""P""}, {""u"": ""O"", ""v"": ""P""}]}","[""K"", ""H"", ""L"", ""C"", ""I"", ""G"", ""A"", ""F"", ""M"", ""J"", ""E"", ""D"", ""O"", ""P"", ""B"", ""N""]"
