id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
OP_S_001,OP,S,1,"Recently I sketched a plan for a single loop from home that hits a few bakeries; each bakery has a reward score, and the goal is to pick the combination of stops whose reward scores add up to the highest total. The walk must start and finish at the apartment, avoid revisiting any bakery, and stay within the distance I’m allowed. I’ll put the exact bakery list, rewards, and distances below.

# total_locations_including_apartment=6
# apartment_node_id=A
# max_walk_distance=28.0
bakery_node_id,map_x,map_y,reward_score
A,10,14,0
B,15,11,10
C,14,13,5
D,15,17,5
E,16,19,10
F,7,24,15

If you could send the chosen loop back in a simple JSON shape, that'd be perfect — something like this:

{
  ""solution"": [depot_id, location_id, ..., depot_id]
}

The ""solution"" array is just the ordered list of stops for the loop, starting and finishing at the depot (your apartment) and listing each bakery you visit once. This JSON is only a sketch of the shape I need, not the actual answer—I'll expect the real IDs from the instance.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"{""coordinates"": [[10, 14], [15, 11], [14, 13], [15, 17], [16, 19], [7, 24]], ""prizes"": [0, 10, 5, 5, 10, 15], ""depot"": 0, ""max_length"": 28.0, ""route_length"": 22.236443151369194, ""collected_prize"": 30.0, ""objective"": 30.0}","[0, 1, 2, 3, 4, 0]",30.0,"{""problem_type"": ""OP"", ""num_nodes"": 6, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 14, ""prize"": 0}, {""id"": ""B"", ""x"": 15, ""y"": 11, ""prize"": 10}, {""id"": ""C"", ""x"": 14, ""y"": 13, ""prize"": 5}, {""id"": ""D"", ""x"": 15, ""y"": 17, ""prize"": 5}, {""id"": ""E"", ""x"": 16, ""y"": 19, ""prize"": 10}, {""id"": ""F"", ""x"": 7, ""y"": 24, ""prize"": 15}], ""depot"": ""A"", ""max_length"": 28.0, ""route_length"": 22.236443151369194, ""collected_prize"": 30.0, ""objective"": 30.0}","[""A"", ""B"", ""C"", ""D"", ""E"", ""A""]"
OP_S_002,OP,S,2,"Many people are pitching in to design a single loop from the church that stops at a few donation boxes, each box having a different importance score. The idea is to decide which boxes to include so the sum of their importance scores is as high as possible, making sure the finished route doesn’t exceed the set distance and that each box is visited only once. The specific instance details — the drop points, their scores, and the maximum route length — follow below.

# total_locations_including_church=10
# church_node_id=A
# max_route_length=23.0
location_id,x_coordinate,y_coordinate,importance_score
A,10,14,0
B,18,15,10
C,18,13,10
D,16,9,10
E,16,17,5
F,15,17,5
G,11,6,15
H,11,12,5
I,11,20,10
J,5,11,10

Oh, and to keep things machine-friendly, please send your chosen loop in this simple JSON shape:

{
  ""solution"": [church_id, box_id, ..., church_id]
}

This just means: ""solution"" is the route as an ordered list — start at the church, list each donation box you stop at (each box at most once), and finish back at the church. The placeholders above are only a sketch of the shape I want; don’t treat them as the real answer.

Please use the exact identifiers from the instance input — no renaming, no made-up labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"{""coordinates"": [[10, 14], [18, 15], [18, 13], [16, 9], [16, 17], [15, 17], [11, 6], [11, 12], [11, 20], [5, 11]], ""prizes"": [0, 10, 10, 10, 5, 5, 15, 5, 10, 10], ""depot"": 0, ""max_length"": 23.0, ""route_length"": 20.966514808956756, ""collected_prize"": 35.0, ""objective"": 35.0}","[0, 5, 4, 1, 2, 7, 0]",35.0,"{""problem_type"": ""OP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 14, ""prize"": 0}, {""id"": ""B"", ""x"": 18, ""y"": 15, ""prize"": 10}, {""id"": ""C"", ""x"": 18, ""y"": 13, ""prize"": 10}, {""id"": ""D"", ""x"": 16, ""y"": 9, ""prize"": 10}, {""id"": ""E"", ""x"": 16, ""y"": 17, ""prize"": 5}, {""id"": ""F"", ""x"": 15, ""y"": 17, ""prize"": 5}, {""id"": ""G"", ""x"": 11, ""y"": 6, ""prize"": 15}, {""id"": ""H"", ""x"": 11, ""y"": 12, ""prize"": 5}, {""id"": ""I"", ""x"": 11, ""y"": 20, ""prize"": 10}, {""id"": ""J"", ""x"": 5, ""y"": 11, ""prize"": 10}], ""depot"": ""A"", ""max_length"": 23.0, ""route_length"": 20.966514808956756, ""collected_prize"": 35.0, ""objective"": 35.0}","[""A"", ""F"", ""E"", ""B"", ""C"", ""H"", ""A""]"
OP_S_003,OP,S,3,"I’m putting together a museum loop that starts and ends at the hotel: pick which museums to include (each one has a little satisfaction rating), don’t visit any museum twice, and keep the total travel time within a fixed time budget. The idea is to get the most enjoyment possible — that’s measured by adding up the satisfaction scores of the museums visited — while making sure the whole route is one continuous loop from the hotel back to the hotel. The concrete details are shown below.

I have 10 locations (including the hotel A) and a time budget of 27.0.
Location A: at (10, 14) with satisfaction 0.
Location B: at (18, 15) with satisfaction 10.
Location C: at (15, 17) with satisfaction 5.
Location D: at (16, 19) with satisfaction 10.
Location E: at (11, 6) with satisfaction 15.
Location F: at (8, 5) with satisfaction 15.
Location G: at (11, 17) with satisfaction 5.
Location H: at (10, 18) with satisfaction 5.
Location I: at (10, 22) with satisfaction 10.
Location J: at (10, 26) with satisfaction 15.
I'll pick a loop that starts and ends at A and stays within the time budget of 27.0.

When you send back the loop you want me to evaluate, just use this simple JSON shape so I can read it easily:

{
  ""solution"": [hotel_id, museum_id, ..., hotel_id]
}

This is just a sketch of the shape I expect. The ""solution"" array is the route listed in order: start at the hotel (hotel_id), visit each museum once (each museum_id), and finish back at the hotel (hotel_id again). Think of it like filling in a little travel itinerary form: the list shows the exact sequence you'll walk.

Please note: the JSON above is an example of the expected format, not the actual answer. Use the exact identifiers from the instance input—do not rename them or create new labels. 

Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".",nl,names,"{""coordinates"": [[10, 14], [18, 15], [15, 17], [16, 19], [11, 6], [8, 5], [11, 17], [10, 18], [10, 22], [10, 26]], ""prizes"": [0, 10, 5, 10, 15, 15, 5, 5, 10, 15], ""depot"": 0, ""max_length"": 27.0, ""route_length"": 26.75612994548829, ""collected_prize"": 35.0, ""objective"": 35.0}","[0, 4, 5, 6, 0]",35.0,"{""problem_type"": ""OP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 14, ""prize"": 0}, {""id"": ""B"", ""x"": 18, ""y"": 15, ""prize"": 10}, {""id"": ""C"", ""x"": 15, ""y"": 17, ""prize"": 5}, {""id"": ""D"", ""x"": 16, ""y"": 19, ""prize"": 10}, {""id"": ""E"", ""x"": 11, ""y"": 6, ""prize"": 15}, {""id"": ""F"", ""x"": 8, ""y"": 5, ""prize"": 15}, {""id"": ""G"", ""x"": 11, ""y"": 17, ""prize"": 5}, {""id"": ""H"", ""x"": 10, ""y"": 18, ""prize"": 5}, {""id"": ""I"", ""x"": 10, ""y"": 22, ""prize"": 10}, {""id"": ""J"", ""x"": 10, ""y"": 26, ""prize"": 15}], ""depot"": ""A"", ""max_length"": 27.0, ""route_length"": 26.75612994548829, ""collected_prize"": 35.0, ""objective"": 35.0}","[""A"", ""E"", ""F"", ""G"", ""A""]"
OP_S_004,OP,S,4,"This morning the courier schedule called for one complete loop beginning and ending at the depot, hitting some pickup locations to collect parcels. Every pickup location lists a value, and the total for the trip is found by adding together the values of the places visited — each pickup can only be done once. Since there’s a cap on how far the loop can go, the aim is to choose stops that give the biggest possible total value without exceeding that cap. The exact details (which pickups, their values, and the distance/time limit) follow below.

There are 7 locations in total, the depot is 1, and the round trip must not exceed 18.0.
Location 1 at (19, 24) lists a pickup value of 0.
Location 2 at (12, 26) lists a pickup value of 20.
Location 3 at (12, 22) lists a pickup value of 20.
Location 4 at (19, 15) lists a pickup value of 30.
Location 5 at (11, 18) lists a pickup value of 30.
Location 6 at (16, 21) lists a pickup value of 10.
Location 7 at (15, 23) lists a pickup value of 10.
Choose the subset of stops that yields the highest total pickup value without exceeding the 18.0 limit for the courier's loop.

If you send the route back, just stick to this simple JSON shape so it's easy to parse:

{
  ""solution"": [depot_id, location_id, ..., depot_id]
}

This just means: put the depot first, list the pickup locations in the order the courier will visit them, and finish at the depot again. It's just a sketch of the shape I need, not the actual answer — the real reply should replace those placeholders with the exact IDs from the instance.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels. 
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,one_based,"{""coordinates"": [[19, 24], [12, 26], [12, 22], [19, 15], [11, 18], [16, 21], [15, 23]], ""prizes"": [0, 20, 20, 30, 30, 10, 10], ""depot"": 0, ""max_length"": 18.0, ""route_length"": 16.921096214067973, ""collected_prize"": 40.0, ""objective"": 40.0}","[0, 5, 6, 2, 0]",40.0,"{""problem_type"": ""OP"", ""num_nodes"": 7, ""nodes"": [{""id"": 1, ""x"": 19, ""y"": 24, ""prize"": 0}, {""id"": 2, ""x"": 12, ""y"": 26, ""prize"": 20}, {""id"": 3, ""x"": 12, ""y"": 22, ""prize"": 20}, {""id"": 4, ""x"": 19, ""y"": 15, ""prize"": 30}, {""id"": 5, ""x"": 11, ""y"": 18, ""prize"": 30}, {""id"": 6, ""x"": 16, ""y"": 21, ""prize"": 10}, {""id"": 7, ""x"": 15, ""y"": 23, ""prize"": 10}], ""depot"": 1, ""max_length"": 18.0, ""route_length"": 16.921096214067973, ""collected_prize"": 40.0, ""objective"": 40.0}","[1, 6, 7, 3, 1]"
OP_S_005,OP,S,5,"Picture a greenhouse and a handful of plant shops scattered around town, each with a little usefulness score attached. The plan is to draw one loop out and back that visits selected shops only once, stays inside the allowed travel distance, and ends up with the biggest possible total usefulness—the total being the sum of the ratings of the shops visited. The concrete list of suppliers, distances and usefulness numbers is shown below.

{
  ""total_locations_including_greenhouse"": 6,
  ""nodes"": [
    {
      ""location_id"": ""A"",
      ""x_coord"": 10,
      ""y_coord"": 14,
      ""usefulness_score"": 0
    },
    {
      ""location_id"": ""B"",
      ""x_coord"": 15,
      ""y_coord"": 11,
      ""usefulness_score"": 10
    },
    {
      ""location_id"": ""C"",
      ""x_coord"": 16,
      ""y_coord"": 19,
      ""usefulness_score"": 10
    },
    {
      ""location_id"": ""D"",
      ""x_coord"": 14,
      ""y_coord"": 15,
      ""usefulness_score"": 5
    },
    {
      ""location_id"": ""E"",
      ""x_coord"": 11,
      ""y_coord"": 20,
      ""usefulness_score"": 10
    },
    {
      ""location_id"": ""F"",
      ""x_coord"": 5,
      ""y_coord"": 11,
      ""usefulness_score"": 10
    }
  ],
  ""greenhouse_node_id"": ""A"",
  ""max_route_distance"": 17.0
}

Oh, and when you send back the loop, please use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [""greenhouse_id"", ""shop_id"", ""..."", ""greenhouse_id""]
}

Think of it like a little form: ""solution"" holds the ordered loop — start at the greenhouse, list each shop you plan to visit (once each), and finish back at the greenhouse. The ""..."" just means you can have as many shops in the middle as fit the route.

This is just a sketch of the expected shape, not the actual answer. Be sure to use the exact identifiers from the instance input — do not rename them or invent new labels.  
- Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,names,"{""coordinates"": [[10, 14], [15, 11], [16, 19], [14, 15], [11, 20], [5, 11]], ""prizes"": [0, 10, 10, 5, 10, 10], ""depot"": 0, ""max_length"": 17.0, ""route_length"": 16.036820050761182, ""collected_prize"": 15.0, ""objective"": 15.0}","[0, 4, 3, 0]",15.0,"{""problem_type"": ""OP"", ""num_nodes"": 6, ""nodes"": [{""id"": ""A"", ""x"": 10, ""y"": 14, ""prize"": 0}, {""id"": ""B"", ""x"": 15, ""y"": 11, ""prize"": 10}, {""id"": ""C"", ""x"": 16, ""y"": 19, ""prize"": 10}, {""id"": ""D"", ""x"": 14, ""y"": 15, ""prize"": 5}, {""id"": ""E"", ""x"": 11, ""y"": 20, ""prize"": 10}, {""id"": ""F"", ""x"": 5, ""y"": 11, ""prize"": 10}], ""depot"": ""A"", ""max_length"": 17.0, ""route_length"": 16.036820050761182, ""collected_prize"": 15.0, ""objective"": 15.0}","[""A"", ""E"", ""D"", ""A""]"
OP_S_006,OP,S,6,"We’ve got an office-based inspector who has to build one closed inspection route: leave the office, check a handful of locations (each tagged with a priority score), and return to the office without going over the allowed route length. The trick is picking which spots to check so that when all their priority numbers are added together the total is as high as possible, making sure no site is checked twice and the whole trip stays within the limit. The specific sites, their scores and the route limit are listed below.

We’ve got 6 locations in total, the office is node A, and the closed route must not exceed 19.0 in length.

| location_id | x_coordinate | y_coordinate | priority_score |
|---|---|---|---|
| A | 19 | 24 | 0 |
| B | 16 | 28 | 20 |
| C | 20 | 28 | 20 |
| D | 17 | 28 | 30 |
| E | 15 | 8 | 40 |
| F | 10 | 21 | 20 |

We must choose which sites to visit so our closed tour (starting and ending at node A) maximizes total priority without exceeding 19.0.

Oh, and when you send back the chosen route, please use a tiny JSON snippet like this so it's easy to parse:

{
  ""solution"": [office_id, site_id, ..., office_id]
}

Think of this as a simple form: ""solution"" is the ordered list of stops on the closed route — start at the office, visit the places you pick (each at most once), and finish back at the office. The JSON above is just a sketch of the shape I need, not the final answer itself.

Also, make sure you use the exact identifiers from the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"{""coordinates"": [[19, 24], [16, 28], [20, 28], [17, 28], [15, 8], [10, 21]], ""prizes"": [0, 20, 20, 30, 40, 20], ""depot"": 0, ""max_length"": 19.0, ""route_length"": 13.595241580617241, ""collected_prize"": 70.0, ""objective"": 70.0}","[0, 3, 1, 2, 0]",70.0,"{""problem_type"": ""OP"", ""num_nodes"": 6, ""nodes"": [{""id"": ""A"", ""x"": 19, ""y"": 24, ""prize"": 0}, {""id"": ""B"", ""x"": 16, ""y"": 28, ""prize"": 20}, {""id"": ""C"", ""x"": 20, ""y"": 28, ""prize"": 20}, {""id"": ""D"", ""x"": 17, ""y"": 28, ""prize"": 30}, {""id"": ""E"", ""x"": 15, ""y"": 8, ""prize"": 40}, {""id"": ""F"", ""x"": 10, ""y"": 21, ""prize"": 20}], ""depot"": ""A"", ""max_length"": 19.0, ""route_length"": 13.595241580617241, ""collected_prize"": 70.0, ""objective"": 70.0}","[""A"", ""D"", ""B"", ""C"", ""A""]"
OP_S_007,OP,S,7,"Many people on the team prefer a single circular run from the branch that hits selected prospects once and ends where it started, without blowing past the travel allowance. The ideal run is the one that nets the highest combined potential sales — add up each visited client’s value to see the total — as long as the total travel stays under the limit and nobody is visited twice. The concrete details and numbers are shown below.

The scenario lists 10 locations (including the branch A), and the tour must start and end at that branch while keeping total travel under 25.0.

| location_id | x_coordinate | y_coordinate | potential_sales_value |
|---|---|---|---|
| A | 4 | 7 | 0 |
| B | 4 | 12 | 20 |
| C | 2 | 14 | 30 |
| D | 3 | 10 | 15 |
| E | 3 | 9 | 15 |
| F | 7 | 11 | 20 |
| G | 5 | 8 | 10 |
| H | 5 | 6 | 10 |
| I | 6 | 5 | 25 |
| J | 11 | 13 | 30 |

These numbers let the team compare candidate circular runs that start and end at A and must not exceed 25.0.

Also — to keep things machine-friendly, just send the chosen run back in this little JSON shape so it's easy to read:

{
  ""solution"": [""branch_id"", ""prospect_id"", ""..."", ""branch_id""]
}

Think of it like a quick form: ""solution"" is the ordered circular run, the array lists the branch (start/end) and each prospect you hit in order, and it ends back at the branch. This is only the expected shape — not the actual route yet.

Please make sure to use the identifiers exactly as they appear in the instance input — no renaming and no invented labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,names,"{""coordinates"": [[4, 7], [4, 12], [2, 14], [3, 10], [3, 9], [7, 11], [5, 8], [5, 6], [6, 5], [11, 13]], ""prizes"": [0, 20, 30, 15, 15, 20, 10, 10, 25, 30], ""depot"": 0, ""max_length"": 25.0, ""route_length"": 22.94613444841058, ""collected_prize"": 145.0, ""objective"": 145.0}","[0, 4, 3, 2, 1, 5, 6, 8, 7, 0]",145.0,"{""problem_type"": ""OP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 4, ""y"": 7, ""prize"": 0}, {""id"": ""B"", ""x"": 4, ""y"": 12, ""prize"": 20}, {""id"": ""C"", ""x"": 2, ""y"": 14, ""prize"": 30}, {""id"": ""D"", ""x"": 3, ""y"": 10, ""prize"": 15}, {""id"": ""E"", ""x"": 3, ""y"": 9, ""prize"": 15}, {""id"": ""F"", ""x"": 7, ""y"": 11, ""prize"": 20}, {""id"": ""G"", ""x"": 5, ""y"": 8, ""prize"": 10}, {""id"": ""H"", ""x"": 5, ""y"": 6, ""prize"": 10}, {""id"": ""I"", ""x"": 6, ""y"": 5, ""prize"": 25}, {""id"": ""J"", ""x"": 11, ""y"": 13, ""prize"": 30}], ""depot"": ""A"", ""max_length"": 25.0, ""route_length"": 22.94613444841058, ""collected_prize"": 145.0, ""objective"": 145.0}","[""A"", ""E"", ""D"", ""C"", ""B"", ""F"", ""G"", ""I"", ""H"", ""A""]"
OP_S_008,OP,S,8,"Someone in dispatch needs to pick a one-loop route for a messenger that starts and ends at the hub and hits a selection of customer drops. Each visit earns a fee, and the better route is the one that finishes the loop with the highest total of those fees (just add up the fees for the stops you actually make). The messenger can’t exceed the allotted ride distance, and each drop can only be done once. The full details — addresses, fees, and the distance limit — are shown below.

# total_locations=7
# hub_id=1
# max_ride_distance=17.0
location_id,map_x,map_y,drop_fee
1,10,14,0
2,16,13,5
3,16,19,10
4,14,15,5
5,8,5,15
6,10,22,10
7,8,13,10

If you could return the chosen loop in a tiny JSON snippet that’d be perfect — something like this:

{
  ""solution"": [hub_id, drop_id, ..., hub_id]
}

This just means ""solution"" should be an ordered list of identifiers: the first and last entry are the hub, and the items in between are the customer drops the messenger will visit. It's a sketch of the shape I expect, not the actual answer — fill in the real IDs from the instance when you submit the route.

Please make sure to use the identifiers exactly as they appear in the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,one_based,"{""coordinates"": [[10, 14], [16, 13], [16, 19], [14, 15], [8, 5], [10, 22], [8, 13]], ""prizes"": [0, 5, 10, 5, 15, 10, 10], ""depot"": 0, ""max_length"": 17.0, ""route_length"": 16.31883050779801, ""collected_prize"": 15.0, ""objective"": 15.0}","[0, 6, 1, 0]",15.0,"{""problem_type"": ""OP"", ""num_nodes"": 7, ""nodes"": [{""id"": 1, ""x"": 10, ""y"": 14, ""prize"": 0}, {""id"": 2, ""x"": 16, ""y"": 13, ""prize"": 5}, {""id"": 3, ""x"": 16, ""y"": 19, ""prize"": 10}, {""id"": 4, ""x"": 14, ""y"": 15, ""prize"": 5}, {""id"": 5, ""x"": 8, ""y"": 5, ""prize"": 15}, {""id"": 6, ""x"": 10, ""y"": 22, ""prize"": 10}, {""id"": 7, ""x"": 8, ""y"": 13, ""prize"": 10}], ""depot"": 1, ""max_length"": 17.0, ""route_length"": 16.31883050779801, ""collected_prize"": 15.0, ""objective"": 15.0}","[1, 7, 2, 1]"
OP_S_009,OP,S,9,"On Saturday the plan is to drive out from the family home, visit a handful of local shops, then head back home — all without visiting a shop more than once and keeping the total drive under a preset cap. The task is choosing which shops to hit and the route between them so the trip stays within the mileage limit. Each shop offers a utility value, and the trip’s value is just the sum of the utilities of the shops visited, so better plans are those with higher summed utility. The exact shop list, distances, and scores are shown below.

# total_locations_including_home=8
# home_node_id=0
# max_trip_distance=11.0
location_id,x_coordinate,y_coordinate,shop_utility
0,4,7,0
1,2,14,30
2,4,8,10
3,7,11,20
4,8,9,20
5,7,8,20
6,11,13,30
7,9,18,50

Oh, and when you send back the route, please use this little JSON layout so it's easy to read and parse:

{
  ""solution"": [home_id, shop_id, ..., home_id]
}

Think of ""solution"" as the ordered list of place IDs for the drive: start at home, list each shop in the order you visit them (don’t repeat shops), and finish back at home. This block is just a sketch of the shape I’m expecting, not the actual answer.

Please use the exact identifiers from the instance input — don’t rename them or invent new ones.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"{""coordinates"": [[4, 7], [2, 14], [4, 8], [7, 11], [8, 9], [7, 8], [11, 13], [9, 18]], ""prizes"": [0, 30, 10, 20, 20, 20, 30, 50], ""depot"": 0, ""max_length"": 11.0, ""route_length"": 9.699596848159135, ""collected_prize"": 50.0, ""objective"": 50.0}","[0, 2, 4, 5, 0]",50.0,"{""problem_type"": ""OP"", ""num_nodes"": 8, ""nodes"": [{""id"": 0, ""x"": 4, ""y"": 7, ""prize"": 0}, {""id"": 1, ""x"": 2, ""y"": 14, ""prize"": 30}, {""id"": 2, ""x"": 4, ""y"": 8, ""prize"": 10}, {""id"": 3, ""x"": 7, ""y"": 11, ""prize"": 20}, {""id"": 4, ""x"": 8, ""y"": 9, ""prize"": 20}, {""id"": 5, ""x"": 7, ""y"": 8, ""prize"": 20}, {""id"": 6, ""x"": 11, ""y"": 13, ""prize"": 30}, {""id"": 7, ""x"": 9, ""y"": 18, ""prize"": 50}], ""depot"": 0, ""max_length"": 11.0, ""route_length"": 9.699596848159135, ""collected_prize"": 50.0, ""objective"": 50.0}","[0, 2, 4, 5, 0]"
OP_S_010,OP,S,10,"Someone in the dorm council is putting together a campus scavenger circuit: the route must be a loop that leaves from and returns to the dorm, picks a handful of checkpoints (each with its own point value), and never goes to the same checkpoint twice. The goal is to rack up as many points as possible — the total is just the sum of the point values at the stops visited — while making sure the whole loop can be completed within the hunt’s time allowance. The practical choices are which checkpoints to include and the order to visit them so the tour stays within time and doesn’t duplicate stops. The precise checkpoint locations, scores, and time limit are shown below.

# total_locations_including_dorm=8
# dorm_location_id=0
# maximum_route_budget=27.0
checkpoint_id,map_x_coordinate,map_y_coordinate,checkpoint_points
0,19,24,0
1,22,17,30
2,11,18,30
3,15,8,40
4,18,25,10
5,16,21,10
6,18,26,10
7,17,28,10

Oh, and when you send a proposed loop back, please use this simple JSON layout so it's easy to read and check:

{
  ""solution"": [""dorm_id"", ""checkpoint_id"", ""..."", ""dorm_id""]
}

Think of ""solution"" as the ordered loop: the first item is the dorm where you start, the last item is the dorm where you finish, and everything in between are the checkpoints in the order you visit them. The example values are just placeholders to show the shape — not a real route.

Please make sure to use the exact identifiers from the instance input (don't rename them or invent new ones). 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"{""coordinates"": [[19, 24], [22, 17], [11, 18], [15, 8], [18, 25], [16, 21], [18, 26], [17, 28]], ""prizes"": [0, 30, 30, 40, 10, 10, 10, 10], ""depot"": 0, ""max_length"": 27.0, ""route_length"": 26.933425226959425, ""collected_prize"": 70.0, ""objective"": 70.0}","[0, 6, 7, 4, 5, 1, 0]",70.0,"{""problem_type"": ""OP"", ""num_nodes"": 8, ""nodes"": [{""id"": 0, ""x"": 19, ""y"": 24, ""prize"": 0}, {""id"": 1, ""x"": 22, ""y"": 17, ""prize"": 30}, {""id"": 2, ""x"": 11, ""y"": 18, ""prize"": 30}, {""id"": 3, ""x"": 15, ""y"": 8, ""prize"": 40}, {""id"": 4, ""x"": 18, ""y"": 25, ""prize"": 10}, {""id"": 5, ""x"": 16, ""y"": 21, ""prize"": 10}, {""id"": 6, ""x"": 18, ""y"": 26, ""prize"": 10}, {""id"": 7, ""x"": 17, ""y"": 28, ""prize"": 10}], ""depot"": 0, ""max_length"": 27.0, ""route_length"": 26.933425226959425, ""collected_prize"": 70.0, ""objective"": 70.0}","[0, 6, 7, 4, 5, 1, 0]"
