id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
CMP_S_001,CMP,S,1,"Someone organizing a meet-and-greet asked to arrange all guests in one straight row — everyone must be placed once, no one left out or duplicated — and to be mindful of friendship links that span the line. At each gap between two positions, count the number of friendships that connect anyone on the left side to anyone on the right side; then find the gap with the biggest count. The host prefers the lineup whose single worst gap has the fewest crossing friendships. The exact guest list and links are shown below.

# guest_count=8
# friendship_count=1
# guest_ids=0, 1, 2, 3, 4, 5, 6, 7
guest_a,guest_b
5,6

Oh — and when you send the lineup back, please use this simple JSON layout so it's easy to read by whoever's collecting the responses:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

""solution"" is just the ordered list of guests from left to right in the row — put each guest identifier in the array in the exact order you want them seated. Think of this as a little form: the JSON shows the shape I need, not the computed best order itself.

Please also remember: all identifiers must be used exactly as they appear in the instance input — no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",csv,zero_based,"{""name"": ""bcsstm07.mtx.rnd_sub_8"", ""num_nodes"": 8, ""num_edges"": 1, ""edges"": [[5, 6]], ""solution"": [5, 0, 6, 4, 1, 2, 3, 7], ""objective"": 1.0}","[5, 0, 6, 4, 1, 2, 3, 7]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 8, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7], ""num_edges"": 1, ""edges"": [{""u"": 5, ""v"": 6}]}","[5, 0, 6, 4, 1, 2, 3, 7]"
CMP_S_002,CMP,S,2,"We ran into a real-world puzzle: order the servers on a rack so the worst choke point — where the most cables cross from one side of the rack to the other — is as mellow as possible. That means placing every server exactly once into a single line, then checking every gap between neighbors, counting the cables that run from someone on the left to someone on the right. The score of an ordering is the largest of those gap counts, and the better order is the one with the smallest such score. The exact server list and cable map are shown below.

They are: servers 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 (12 total) with 11 cables.

| server_a | server_b |
|---|---|
| 2 | 3 |
| 1 | 3 |
| 11 | 3 |
| 8 | 3 |
| 6 | 3 |
| 5 | 3 |
| 7 | 3 |
| 4 | 3 |
| 0 | 3 |
| 10 | 3 |
| 9 | 3 |

We'll place each server once to minimize the largest gap-crossing among these 11 cables.

Just drop your answer into this little JSON shape when you're ready — keeps things tidy and machine-friendly while we chat like humans.

{
  ""solution"": [<first_server>, <second_server>, ..., <last_server>]
}

Here ""solution"" is the lineup from left to right on the rack: list each server identifier exactly once in the order you want them placed. This JSON is just a sketch of the shape I expect, not the actual ordering — you'll replace those placeholders with the real IDs from the instance.

Please make sure you use the identifiers exactly as they appear in the instance input — no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”"".",markdown_table,zero_based,"{""name"": ""fs_541_1.mtx.rnd_sub_12"", ""num_nodes"": 12, ""num_edges"": 11, ""edges"": [[2, 3], [1, 3], [11, 3], [8, 3], [6, 3], [5, 3], [7, 3], [4, 3], [0, 3], [10, 3], [9, 3]], ""solution"": [0, 5, 11, 6, 7, 8, 3, 9, 1, 10, 4, 2], ""objective"": 6.0}","[0, 5, 11, 6, 7, 8, 3, 9, 1, 10, 4, 2]",6.0,"{""problem_type"": ""CMP"", ""num_nodes"": 12, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], ""num_edges"": 11, ""edges"": [{""u"": 2, ""v"": 3}, {""u"": 1, ""v"": 3}, {""u"": 11, ""v"": 3}, {""u"": 8, ""v"": 3}, {""u"": 6, ""v"": 3}, {""u"": 5, ""v"": 3}, {""u"": 7, ""v"": 3}, {""u"": 4, ""v"": 3}, {""u"": 0, ""v"": 3}, {""u"": 10, ""v"": 3}, {""u"": 9, ""v"": 3}]}","[0, 5, 11, 6, 7, 8, 3, 9, 1, 10, 4, 2]"
CMP_S_003,CMP,S,3,"Someone at the library is trying to arrange all the volumes in a single line so that, wherever you split that line, you rarely see many references reaching from the books on the left to those on the right. The only choice to make is the order — every book must appear once in the row. You evaluate any order by checking every gap, counting cross-references at that gap, and then looking at the worst (largest) count across all gaps; the lower that worst count, the better the lineup. The specific book and reference details are shown below.

There are 9 books and 4 cross-references; the book identifiers are A, B, C, D, E, F, G, H, I.
A cross-reference links book E and book H.
A cross-reference links book H and book I.
A cross-reference links book G and book C.
A cross-reference links book G and book I.
Each following line shows one cross-reference between the listed book ids.

Oh, and when you're ready to hand me the lineup, please use this simple JSON shape so it's easy to parse and check — nothing fancy, just that one object with the order inside.

{
  ""solution"": [<first_book>, <second_book>, ..., <last_book>]
}

This block is just a friendly template: the ""solution"" array is where you list the books from leftmost to rightmost. The angle-bracket items are placeholders showing the shape — when you provide the real ordering, replace those placeholders with the actual book identifiers from the instance.

Quick heads-up: the JSON above is only a sketch of the expected shape, not the final answer itself. And be sure to use the identifiers exactly as they appear in the problem input — do not rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,names,"{""name"": ""p80_22_30_sub_9"", ""num_nodes"": 9, ""num_edges"": 4, ""edges"": [[4, 7], [7, 8], [6, 2], [6, 8]], ""solution"": [4, 7, 0, 8, 6, 3, 2, 1, 5], ""objective"": 1.0}","[4, 7, 0, 8, 6, 3, 2, 1, 5]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 9, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I""], ""num_edges"": 4, ""edges"": [{""u"": ""E"", ""v"": ""H""}, {""u"": ""H"", ""v"": ""I""}, {""u"": ""G"", ""v"": ""C""}, {""u"": ""G"", ""v"": ""I""}]}","[""E"", ""H"", ""A"", ""I"", ""G"", ""D"", ""C"", ""B"", ""F""]"
CMP_S_004,CMP,S,4,"I was helping a festival put together a single parade line of acts, and the trick was to order everyone so that, at any spot between two performers, not too many of their past collaborations had to “stretch” across that gap. The decision is just who goes where in the one line — everyone must appear exactly once and nobody gets repeated or skipped — and a good order is one where, if someone checks every gap and counts how many collaboration links cross it, the biggest of those counts is as small as possible. The specific list of performers and which pairs have worked together will be shown below.

Below are the 9 performers (0, 1, 2, 3, 4, 5, 6, 7, 8) and the 6 past collaborations between them.
I recorded that 1 and 8 had collaborated.
I recorded that 2 and 7 had collaborated.
I recorded that 5 and 6 had collaborated.
I recorded that 7 and 0 had collaborated.
I recorded that 2 and 1 had collaborated.
I recorded that 0 and 2 had collaborated.
Those were the ties I had to juggle when arranging the parade order.

Also, if you want to give me the ordering, a tiny JSON sketch works best — nothing fancy, just the list from the first performer to the last in a single array. For the story, I’ll use “act” in the placeholders so it reads naturally.

{
  ""solution"": [<first_act>, <second_act>, ..., <last_act>]
}

This simply means: put the parade order in the array under ""solution"", with the performer at the front first and the performer at the end last. The angle-bracketed names above are just placeholders showing the shape — when you reply, replace them with the actual performer IDs from the instance (don’t invent new keys or change the outer structure). The JSON is only a sketch of the expected shape, not the actual answer.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"{""name"": ""p52_20_27_sub_9"", ""num_nodes"": 9, ""num_edges"": 6, ""edges"": [[1, 8], [2, 7], [5, 6], [7, 0], [2, 1], [0, 2]], ""solution"": [3, 5, 6, 7, 0, 2, 1, 8, 4], ""objective"": 2.0}","[3, 5, 6, 7, 0, 2, 1, 8, 4]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 9, ""nodes"": [0, 1, 2, 3, 4, 5, 6, 7, 8], ""num_edges"": 6, ""edges"": [{""u"": 1, ""v"": 8}, {""u"": 2, ""v"": 7}, {""u"": 5, ""v"": 6}, {""u"": 7, ""v"": 0}, {""u"": 2, ""v"": 1}, {""u"": 0, ""v"": 2}]}","[3, 5, 6, 7, 0, 2, 1, 8, 4]"
CMP_S_005,CMP,S,5,"On a quiet morning the team was told to arrange a lineup of artifacts down a corridor so that visitors don’t hit a point where an overwhelming number of connections leap across the aisle. The exhibits must all be placed in one single sequence, no repeats and none left out, and you check every space between items by tallying links that go from the left group to the right group. Which ordering is nicer? The one whose worst split — the highest tally among all the spaces — is as small as possible. The specific exhibits and their connections are listed below.

{
  ""num_exhibits"": 10,
  ""num_thematic_links"": 4,
  ""exhibit_ids"": [
    1,
    2,
    3,
    4,
    5,
    6,
    7,
    8,
    9,
    10
  ],
  ""edges"": [
    {
      ""exhibit_a"": 7,
      ""exhibit_b"": 1
    },
    {
      ""exhibit_a"": 1,
      ""exhibit_b"": 4
    },
    {
      ""exhibit_a"": 1,
      ""exhibit_b"": 6
    },
    {
      ""exhibit_a"": 4,
      ""exhibit_b"": 6
    }
  ]
}

Oh, and one more practical thing — when you send back the ordering, please stick to this simple JSON layout so it's easy to check:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Here ""solution"" is just the left-to-right lineup of exhibits along the corridor; put each exhibit's identifier in order inside that array, from the first placed to the last. Think of it like filling out a form: the array lists the sequence, and that's all the judge needs to see.

This JSON is just a sketch of the shape I expect — replace the placeholder items with the actual exhibit identifiers from the instance input when you give the final ordering. Please use those identifiers exactly as they appear in the instance input — do not rename or invent labels. 

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"{""name"": ""curtis54.mtx.rnd_sub_10"", ""num_nodes"": 10, ""num_edges"": 4, ""edges"": [[6, 0], [0, 3], [0, 5], [3, 5]], ""solution"": [5, 8, 9, 1, 2, 3, 0, 6, 4, 7], ""objective"": 2.0}","[5, 8, 9, 1, 2, 3, 0, 6, 4, 7]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 10, ""nodes"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""num_edges"": 4, ""edges"": [{""u"": 7, ""v"": 1}, {""u"": 1, ""v"": 4}, {""u"": 1, ""v"": 6}, {""u"": 4, ""v"": 6}]}","[6, 9, 10, 2, 3, 4, 1, 7, 5, 8]"
CMP_S_006,CMP,S,6,"Recently a foreman tried to arrange all pallets in a straight line so the single worst crossing point wouldn’t be overloaded with ties between left and right. All that had to be decided was the order of the pallets — each pallet must be in the line once, no omissions or repeats. To figure out how well an order does, check every spot between pallets, count how many dependency-lines cross that spot from left to right, then take the highest count you find; the smaller that highest number, the better the ordering. The concrete instance is shown below.

Here 12 pallets must be placed in a single file, with 9 dependency lines among the labels A, B, C, D, E, F, G, H, I, J, K, L.
A dependency line connects pallet A and pallet G.
A dependency line connects pallet B and pallet E.
A dependency line connects pallet C and pallet J.
A dependency line connects pallet G and pallet J.
A dependency line connects pallet H and pallet J.
A dependency line connects pallet I and pallet J.
A dependency line connects pallet K and pallet L.
A dependency line connects pallet A and pallet K.
A dependency line connects pallet C and pallet B.
These 9 dependency lines among the 12 pallets are the ties the foreman had to consider.

If you'd like to hand in a proposed ordering, just toss it into a tiny JSON object like this — keeps things simple and machine-friendly.

{
  ""solution"": [<first_pallet>, <second_pallet>, <third_pallet>, <fourth_pallet>, <fifth_pallet>, <sixth_pallet>, <seventh_pallet>, <eighth_pallet>, <ninth_pallet>, <tenth_pallet>]
}

Here ""solution"" is the list of pallets in the order you want them arranged, from leftmost to rightmost. Each placeholder like <first_pallet> stands in for an actual pallet identifier from the instance — replace those placeholders with the real IDs when you submit. This JSON is just a sketch of the expected shape, not the actual answer.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".",nl,names,"{""name"": ""p58_20_21_sub_12"", ""num_nodes"": 12, ""num_edges"": 9, ""edges"": [[0, 6], [1, 4], [2, 9], [6, 9], [7, 9], [8, 9], [10, 11], [0, 10], [2, 1]], ""solution"": [8, 3, 4, 1, 2, 9, 7, 6, 0, 10, 5, 11], ""objective"": 2.0}","[8, 3, 4, 1, 2, 9, 7, 6, 0, 10, 5, 11]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 12, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L""], ""num_edges"": 9, ""edges"": [{""u"": ""A"", ""v"": ""G""}, {""u"": ""B"", ""v"": ""E""}, {""u"": ""C"", ""v"": ""J""}, {""u"": ""G"", ""v"": ""J""}, {""u"": ""H"", ""v"": ""J""}, {""u"": ""I"", ""v"": ""J""}, {""u"": ""K"", ""v"": ""L""}, {""u"": ""A"", ""v"": ""K""}, {""u"": ""C"", ""v"": ""B""}]}","[""I"", ""D"", ""E"", ""B"", ""C"", ""J"", ""H"", ""G"", ""A"", ""K"", ""F"", ""L""]"
CMP_S_007,CMP,S,7,"There's a teacher who wants a neat photo lineup: all the kids in one straight line, each child exactly once. The idea is to think about every possible cut between kids—count how many friendships stretch from the front side to the back side at that cut—and then note the single biggest count you see among all those cuts. The aim is to arrange the kids so that this biggest crossing number is as low as it can be. The actual roster and friendship connections appear below.

{
  ""num_students"": 11,
  ""num_friendships"": 6,
  ""student_ids"": [
    1,
    2,
    3,
    4,
    5,
    6,
    7,
    8,
    9,
    10,
    11
  ],
  ""edges"": [
    {
      ""student_a"": 1,
      ""student_b"": 4
    },
    {
      ""student_a"": 2,
      ""student_b"": 9
    },
    {
      ""student_a"": 4,
      ""student_b"": 6
    },
    {
      ""student_a"": 5,
      ""student_b"": 6
    },
    {
      ""student_a"": 8,
      ""student_b"": 9
    },
    {
      ""student_a"": 9,
      ""student_b"": 11
    }
  ]
}

Oh, and when you're ready to hand me a proposed lineup, please use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

""solution"" is just the ordered list of kids from left/front of the photo to right/back. Treat each placeholder there as where you'd put the exact identifier for a kid from the instance — that list is a sketch of the shape I expect, not the actual answer.

Please make sure you use the identifiers exactly as they appear in the instance input — don't rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,one_based,"{""name"": ""p37_18_20_sub_11"", ""num_nodes"": 11, ""num_edges"": 6, ""edges"": [[0, 3], [1, 8], [3, 5], [4, 5], [7, 8], [8, 10]], ""solution"": [2, 10, 8, 7, 1, 0, 3, 5, 4, 6, 9], ""objective"": 2.0}","[2, 10, 8, 7, 1, 0, 3, 5, 4, 6, 9]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 11, ""nodes"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], ""num_edges"": 6, ""edges"": [{""u"": 1, ""v"": 4}, {""u"": 2, ""v"": 9}, {""u"": 4, ""v"": 6}, {""u"": 5, ""v"": 6}, {""u"": 8, ""v"": 9}, {""u"": 9, ""v"": 11}]}","[3, 11, 9, 8, 2, 1, 4, 6, 5, 7, 10]"
CMP_S_008,CMP,S,8,"At rehearsal the leader sketched out the songs on the whiteboard and said, we need one playlist where nothing’s left out or repeated, and no slice of the show is overwhelmed by links reaching across to the rest. The choice is the exact sequence of all songs, and the way to compare sequences is to walk every gap, count how many song-pairs jump from before the gap to after it, then take the maximum count among those gaps; the aim is to keep that maximum down. The concrete setup is shown below.

Below we list the 6 transitions among the 12 songs; the song identifiers are A, B, C, D, E, F, G, H, I, J, K, L.

| song_u | song_v |
|---|---|
| B | K |
| E | G |
| F | G |
| G | H |
| C | B |
| A | D |

That's the complete link list; we'll arrange the 12 songs into a single playlist that keeps the maximum gap cut as low as we can.

And when you’re ready to hand over the ordering, just pop it into this little JSON wrapper so it’s clear and tidy:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Think of ""solution"" as the playlist: the array lists the songs (nodes) from the very first to the very last. Replace each placeholder with the actual node identifier from the instance — this is just the shape I expect, not the final answer itself.

Please use the identifiers exactly as they appear in the input — don’t rename them or invent new labels. For example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,names,"{""name"": ""p28_17_18_sub_12"", ""num_nodes"": 12, ""num_edges"": 6, ""edges"": [[1, 10], [4, 6], [5, 6], [6, 7], [2, 1], [0, 3]], ""solution"": [8, 11, 0, 7, 3, 4, 6, 2, 1, 5, 10, 9], ""objective"": 2.0}","[8, 11, 0, 7, 3, 4, 6, 2, 1, 5, 10, 9]",2.0,"{""problem_type"": ""CMP"", ""num_nodes"": 12, ""nodes"": [""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"", ""H"", ""I"", ""J"", ""K"", ""L""], ""num_edges"": 6, ""edges"": [{""u"": ""B"", ""v"": ""K""}, {""u"": ""E"", ""v"": ""G""}, {""u"": ""F"", ""v"": ""G""}, {""u"": ""G"", ""v"": ""H""}, {""u"": ""C"", ""v"": ""B""}, {""u"": ""A"", ""v"": ""D""}]}","[""I"", ""L"", ""A"", ""H"", ""D"", ""E"", ""G"", ""C"", ""B"", ""F"", ""K"", ""J""]"
CMP_S_009,CMP,S,9,"We’re picturing a boutique where the manager asks for all the clothes to be hung one after another on a single rail, and the challenge is arranging them so the most awkward split — the spot where the largest number of style connections cross from one side to the other — is kept as small as possible. Every garment needs to appear once on that rail, no repeats, no omissions; for every place you could split the row you tally how many connections go across, then take the highest tally, and the aim is to keep that highest tally low. The concrete setup is listed below.

{
  ""num_garments"": 10,
  ""num_style_links"": 4,
  ""garment_ids"": [
    1,
    2,
    3,
    4,
    5,
    6,
    7,
    8,
    9,
    10
  ],
  ""edges"": [
    {
      ""garment_endpoint_a"": 1,
      ""garment_endpoint_b"": 6
    },
    {
      ""garment_endpoint_a"": 2,
      ""garment_endpoint_b"": 4
    },
    {
      ""garment_endpoint_a"": 4,
      ""garment_endpoint_b"": 9
    },
    {
      ""garment_endpoint_a"": 9,
      ""garment_endpoint_b"": 10
    }
  ]
}

Also, when you hand the ordering back, just drop it into this little JSON layout so it's easy to read and use:

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

Think of ""solution"" as the rail: the array is the garments from the very first hook to the very last. Each placeholder like <first_node> is where you'll put the actual item identifier from the instance — the exact one you see in the input. This JSON is just a sketch of the shape I want, not the final answer itself.

Please make sure all identifiers are used exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".",json,one_based,"{""name"": ""p68_21_27_sub_10"", ""num_nodes"": 10, ""num_edges"": 4, ""edges"": [[0, 5], [1, 3], [3, 8], [8, 9]], ""solution"": [2, 5, 0, 1, 3, 8, 9, 4, 7, 6], ""objective"": 1.0}","[2, 5, 0, 1, 3, 8, 9, 4, 7, 6]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 10, ""nodes"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""num_edges"": 4, ""edges"": [{""u"": 1, ""v"": 6}, {""u"": 2, ""v"": 4}, {""u"": 4, ""v"": 9}, {""u"": 9, ""v"": 10}]}","[3, 6, 1, 2, 4, 9, 10, 5, 8, 7]"
CMP_S_010,CMP,S,10,"Many people on the crew prefer a cut that doesn’t throw too many threads across a single edit, so the editor asked for one straight sequence using every scene once. At every possible splice the number of threads that jump from earlier to later scenes was checked, and the whole sequence is judged by whichever splice has the most jumps. The aim then becomes arranging the scenes so the busiest splice carries as few crossing threads as possible. The concrete scene list and links are shown below.

{
  ""total_scenes"": 11,
  ""total_threads"": 2,
  ""scene_list"": [
    1,
    2,
    3,
    4,
    5,
    6,
    7,
    8,
    9,
    10,
    11
  ],
  ""edges"": [
    {
      ""scene_a"": 7,
      ""scene_b"": 10
    },
    {
      ""scene_a"": 2,
      ""scene_b"": 9
    }
  ]
}

If you want to hand me the final ordering, just drop it into the little JSON shape below — nothing fancy, just the sequence in the order you want the scenes to appear.

{
  ""solution"": [<first_node>, <second_node>, ..., <last_node>]
}

This simply means: put every scene ID in that array in the exact order you want them played. The first entry is the opening scene, the next is what comes after, and so on down to the last entry. It’s just a sketch of the shape I expect — the real answer would be a filled-in list of the scene IDs.

Please be sure to use the identifiers exactly as they appear in the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",json,one_based,"{""name"": ""impcol_e.mtx.rnd_sub_11"", ""num_nodes"": 11, ""num_edges"": 2, ""edges"": [[6, 9], [1, 8]], ""solution"": [2, 4, 7, 5, 3, 9, 6, 8, 1, 0, 10], ""objective"": 1.0}","[2, 4, 7, 5, 3, 9, 6, 8, 1, 0, 10]",1.0,"{""problem_type"": ""CMP"", ""num_nodes"": 11, ""nodes"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], ""num_edges"": 2, ""edges"": [{""u"": 7, ""v"": 10}, {""u"": 2, ""v"": 9}]}","[3, 5, 8, 6, 4, 10, 7, 9, 2, 1, 11]"
