task_name,problem_type,instruction,instance,solution,obj,instance_variant,solution_variant,context_index,input_format,input_index_base
BPP,BPP,"There’s a stack of novels and chunky textbooks waiting to be boxed, and the task is to group them into identical moving boxes so every book is in exactly one box, no box is piled beyond its weight limit, and the whole arrangement uses as few boxes as possible. To judge which arrangement wins, simply count how many boxes are used — fewer is better. The exact details (weights and box capacity) appear below.

# box_capacity_kg=100.0
# total_books=5
book_label,book_weight_kg
1,26.4
2,28.1
3,40.1
4,31.5
5,25.3

Oh, and one more thing — when you send the arrangement back, please use a simple JSON layout so it's easy to check. Something like this:

{
  ""solution"": [[""book_id"", ...], ...]
}

Here ""solution"" is the outer list of moving boxes, and each inner list is the set of book IDs you put in that box (so each book appears in exactly one inner list). Think of it like filling out a packing list: each sublist is a single box and the entries are the book placeholders that go inside. This JSON is just a sketch of the shape I need, not the actual packed answer.

Please don’t rename or invent any identifiers — use the exact IDs from the instance input as-is. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[26.4, 28.1, 40.1, 31.5, 25.3]","[[0, 1, 4], [2, 3]]",2,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 5, 'items': [{'item_id': 1, 'weight': 26.4}, {'item_id': 2, 'weight': 28.1}, {'item_id': 3, 'weight': 40.1}, {'item_id': 4, 'weight': 31.5}, {'item_id': 5, 'weight': 25.3}]}","[[1, 2, 5], [3, 4]]",1,csv,1
BPP,BPP,"On a typical Saturday, there’s a pile of groceries and several uniform reusable bags on the table. The job is to assign every product to a single bag without cutting anything up, making sure the total weight in any bag never exceeds its maximum. The best way to do it is the arrangement that uses the smallest number of bags — you measure that by tallying the bags that end up holding items. The concrete list of goods and the bag limit are shown below.

# bag_capacity=150.0
# num_products=5
product_id,product_weight
0,62.0
1,23.0
2,82.0
3,35.0
4,46.0

Oh, and when you send back the packing plan, please put it in this little JSON shape so it's easy to read:

{
  ""solution"": [[""product_id"", ...], ...]
}

Think of ""solution"" as the list of reusable bags, and each inner list is the set of product IDs that go into that bag. The ""product_id"" placeholders show where the actual item identifiers from the grocery list should go — this JSON is just a sketch of the expected shape, not the real answer.

Please use the exact item identifiers from the instance input (do not rename them or invent new labels). 
for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[62.0, 23.0, 82.0, 35.0, 46.0]","[[0, 1, 4], [2, 3]]",2,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 5, 'items': [{'item_id': 0, 'weight': 62.0}, {'item_id': 1, 'weight': 23.0}, {'item_id': 2, 'weight': 82.0}, {'item_id': 3, 'weight': 35.0}, {'item_id': 4, 'weight': 46.0}]}","[[0, 1, 4], [2, 3]]",2,csv,0
BPP,BPP,"Someone left a big batch of favors to be packed into uniform wooden crates, and the task is to put every favor into one crate — nothing can be split between boxes or left out — while making sure no crate gets more than it’s rated for. The decisions are about assigning items to crates, and the simplest successful plan is the one that ends up with the least number of crates; just tally the crates to see which plan wins. The detailed list of favors and the crate size are shown below.

# crate_capacity=150.0
# total_favors=9
favor_id,favor_weight
1,51.0
2,37.0
3,42.0
4,48.0
5,44.0
6,97.0
7,98.0
8,77.0
9,93.0

When you send back the actual packing plan, just follow this simple JSON shape so it's easy to read by people and programs alike:

{
  ""solution"": [[favor_id, ...], ...]
}

Here ""solution"" is the outer list of crates, and each inner list is one crate listing the favor identifiers that go in it. The placeholder favor_id is just a stand-in for whatever item identifiers are used in the instance (so keep them as placeholders here, not filled in yet). This is only a sketch of the expected shape — not the real answer.

Please make sure you use the exact identifiers from the instance input with no renaming and no extra labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[51.0, 37.0, 42.0, 48.0, 44.0, 97.0, 98.0, 77.0, 93.0]","[[8], [6], [1, 2, 3], [4, 7], [0, 5]]",5,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 9, 'items': [{'item_id': 1, 'weight': 51.0}, {'item_id': 2, 'weight': 37.0}, {'item_id': 3, 'weight': 42.0}, {'item_id': 4, 'weight': 48.0}, {'item_id': 5, 'weight': 44.0}, {'item_id': 6, 'weight': 97.0}, {'item_id': 7, 'weight': 98.0}, {'item_id': 8, 'weight': 77.0}, {'item_id': 9, 'weight': 93.0}]}","[[9], [7], [2, 3, 4], [5, 8], [1, 6]]",3,csv,1
BPP,BPP,"We were at the archive table, faced with stacks of donated magazines and a stack of identical archival boxes with a fixed interior volume. The decision is grouping magazines into those boxes so each issue travels whole in a single box (nothing split, nothing left behind or duplicated) and the total bulk inside any box stays within that box’s limit — you can check that by adding up the magazine volumes in each box. The plan that wins is the one that uses the smallest number of boxes; just count boxes to see which arrangement is better. The concrete sizes and the box limit follow below.

We have 5 magazines and each box's interior volume limit is 100.0.
We listed magazine A with volume 35.0.
We listed magazine B with volume 37.6.
We listed magazine C with volume 28.4.
We listed magazine D with volume 26.0.
We listed magazine E with volume 25.2.
We will pack the magazines to use as few boxes as possible.

Oh, and when you send back the grouping, a tiny JSON snippet like this is perfect — just a list of boxes, each box is a list of magazine IDs:

{
  ""solution"": [[magazine_id, ...], ...]
}

Here ""solution"" is the whole packing plan, each inner list is one box and the entries inside are the magazine identifiers (which tell me which issues go in that box). Think of it like filling out a form: one row per box, IDs of the magazines in that row. This block is just a sketch of the shape I expect, not the final answer.

Please be sure to use the exact identifiers from the instance input — no renaming, no made-up labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[35.0, 37.6, 28.4, 26.0, 25.2]","[[1, 3, 4], [0, 2]]",2,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 5, 'items': [{'item_id': 'A', 'weight': 35.0}, {'item_id': 'B', 'weight': 37.6}, {'item_id': 'C', 'weight': 28.4}, {'item_id': 'D', 'weight': 26.0}, {'item_id': 'E', 'weight': 25.2}]}","[['B', 'D', 'E'], ['A', 'C']]",4,nl,names
BPP,BPP,"We’re trying to organize a bunch of hand tools into a set of same-sized tool chests. The choice to make is how to put the tools into chests so that no chest carries more than its allowed weight, every tool is placed once and only once (no chopping tools up or leaving any behind), and the whole point is to get everything into the smallest number of chests — judge any arrangement by how many chests it uses. The detailed tool weights and chest capacity appear below.

- **tool_chest_capacity**: 100.0
- **total_tools**: 8

| tool_id | tool_weight |
|---|---|
| 0 | 25.2 |
| 1 | 29.8 |
| 2 | 28.2 |
| 3 | 25.3 |
| 4 | 34.0 |
| 5 | 44.6 |
| 6 | 37.0 |
| 7 | 35.7 |

Also, when you send back the arrangement, please use this simple JSON layout so it's easy to read and check:

{
  ""solution"": [[tool_id, ...], ...]
}

Here ""solution"" is a list of chests, and each inner list is the set of tools you'd put into one chest — the placeholder tool_id marks where each tool's identifier goes. This is just a sketch of the shape I want, not the actual answer.

Please make sure to use the exact identifiers from the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[25.2, 29.8, 28.2, 25.3, 34.0, 44.6, 37.0, 35.7]","[[1, 4, 7], [0, 2, 3], [5, 6]]",3,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 8, 'items': [{'item_id': 0, 'weight': 25.2}, {'item_id': 1, 'weight': 29.8}, {'item_id': 2, 'weight': 28.2}, {'item_id': 3, 'weight': 25.3}, {'item_id': 4, 'weight': 34.0}, {'item_id': 5, 'weight': 44.6}, {'item_id': 6, 'weight': 37.0}, {'item_id': 7, 'weight': 35.7}]}","[[1, 4, 7], [0, 2, 3], [5, 6]]",5,markdown_table,0
BPP,BPP,"We’re trying to get a day’s worth of clothing orders ready, stuffing garments into same-size cartons without tearing or cutting anything. The decision is which items to pair up in each carton so every garment is packed once and only once. The winning plan is the one that ends up with the smallest number of cartons — just tally the cartons used and prefer the lower count — as long as the summed sizes in any carton stay at or under the carton’s capacity. The concrete sizes and limits are listed below.

- **carton_capacity**: 100.0
- **total_garments**: 9

| garment_id | garment_size |
|---|---|
| 0 | 25.9 |
| 1 | 40.3 |
| 2 | 27.9 |
| 3 | 40.0 |
| 4 | 35.0 |
| 5 | 25.2 |
| 6 | 32.4 |
| 7 | 25.0 |
| 8 | 26.3 |

Also, when you send your packing plan back, just use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [[garment_id, ...], ...]
}

Think of ""solution"" as a list of cartons, and each inner list is the garments that go together in that carton (use the garment identifiers from the instance). The garment_id placeholder just stands in for whatever item identifiers you were given — this block is a sketch of the expected shape, not the actual answer.

Please make sure all identifiers are used exactly as they appear in the instance input — no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[25.9, 40.3, 27.9, 40.0, 35.0, 25.2, 32.4, 25.0, 26.3]","[[3, 5, 6], [1, 2, 8], [0, 4, 7]]",3,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 9, 'items': [{'item_id': 0, 'weight': 25.9}, {'item_id': 1, 'weight': 40.3}, {'item_id': 2, 'weight': 27.9}, {'item_id': 3, 'weight': 40.0}, {'item_id': 4, 'weight': 35.0}, {'item_id': 5, 'weight': 25.2}, {'item_id': 6, 'weight': 32.4}, {'item_id': 7, 'weight': 25.0}, {'item_id': 8, 'weight': 26.3}]}","[[3, 5, 6], [1, 2, 8], [0, 4, 7]]",6,markdown_table,0
BPP,BPP,"There’s a pile of client folders that must be packed into identical archive cartons, each carton having the same fixed space and not able to take more than it’s made for. The decision is which folders to put together in each carton, with the rule that each folder goes in exactly one carton and stays whole. A good packing is judged by how few cartons are used — count the cartons you end up with, and fewer cartons means a better outcome. The concrete list of folders and the box capacity appear below.

- **box_capacity**: 100.0
- **n_folders**: 9

| folder_id | folder_size |
|---|---|
| A | 27.5 |
| B | 36.9 |
| C | 30.5 |
| D | 29.4 |
| E | 26.0 |
| F | 42.4 |
| G | 36.8 |
| H | 46.0 |
| I | 35.7 |

Oh — and when you send back the actual packing, keep it simple and use a little JSON sketch like this:

{
  ""solution"": [[folder_id, ...], ...]
}

Think of ""solution"" as the whole shipment: each inner list is one carton and the placeholders like folder_id stand in for the real folder identifiers you’ll use from the instance. This block is just the shape I want you to follow — not the real answer itself.

Please be careful to use the exact identifiers from the instance input (don’t rename them or invent new ones). 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[27.5, 36.9, 30.5, 29.4, 26.0, 42.4, 36.8, 46.0, 35.7]","[[3, 8], [1, 7], [0, 2, 4], [5, 6]]",4,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 9, 'items': [{'item_id': 'A', 'weight': 27.5}, {'item_id': 'B', 'weight': 36.9}, {'item_id': 'C', 'weight': 30.5}, {'item_id': 'D', 'weight': 29.4}, {'item_id': 'E', 'weight': 26.0}, {'item_id': 'F', 'weight': 42.4}, {'item_id': 'G', 'weight': 36.8}, {'item_id': 'H', 'weight': 46.0}, {'item_id': 'I', 'weight': 35.7}]}","[['D', 'I'], ['B', 'H'], ['A', 'C', 'E'], ['F', 'G']]",7,markdown_table,names
BPP,BPP,"I was helping out at a small bottling line where the job was to shove full bottles into identical crates so none of the crates got overloaded. The choice to be made was which bottle goes into which crate — every bottle has to go into one and only one crate, and bottles can’t be split up. A better packing is the one that leaves the fewest crates in use, so the score is simply how many crates end up needed. The exact bottle weights and the crate weight limit will be shown below.

{
  ""crate_capacity_kg"": 150.0,
  ""total_bottles"": 10,
  ""items"": [
    {
      ""bottle_id"": 0,
      ""bottle_weight_kg"": 95.0
    },
    {
      ""bottle_id"": 1,
      ""bottle_weight_kg"": 33.0
    },
    {
      ""bottle_id"": 2,
      ""bottle_weight_kg"": 96.0
    },
    {
      ""bottle_id"": 3,
      ""bottle_weight_kg"": 27.0
    },
    {
      ""bottle_id"": 4,
      ""bottle_weight_kg"": 33.0
    },
    {
      ""bottle_id"": 5,
      ""bottle_weight_kg"": 57.0
    },
    {
      ""bottle_id"": 6,
      ""bottle_weight_kg"": 76.0
    },
    {
      ""bottle_id"": 7,
      ""bottle_weight_kg"": 86.0
    },
    {
      ""bottle_id"": 8,
      ""bottle_weight_kg"": 27.0
    },
    {
      ""bottle_id"": 9,
      ""bottle_weight_kg"": 29.0
    }
  ]
}

If you want to hand me a proposed packing from the bottling line, just send it in this little JSON layout so I can read which bottles go in which crate.

{
  ""solution"": [[bottle_id, ...], ...]
}

It's simple: ""solution"" is a list of crates, each inner list is the bottles that go into that crate, and each bottle is referenced by its identifier (keep them as placeholders here). This is just a sketch of the shape I expect, not the actual packing — you'll replace the placeholders with the real bottle IDs.

Please make sure you use the exact identifiers from the instance input — do not rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[95.0, 33.0, 96.0, 27.0, 33.0, 57.0, 76.0, 86.0, 27.0, 29.0]","[[5, 6], [1, 7, 9], [0, 3, 8], [2, 4]]",4,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 10, 'items': [{'item_id': 0, 'weight': 95.0}, {'item_id': 1, 'weight': 33.0}, {'item_id': 2, 'weight': 96.0}, {'item_id': 3, 'weight': 27.0}, {'item_id': 4, 'weight': 33.0}, {'item_id': 5, 'weight': 57.0}, {'item_id': 6, 'weight': 76.0}, {'item_id': 7, 'weight': 86.0}, {'item_id': 8, 'weight': 27.0}, {'item_id': 9, 'weight': 29.0}]}","[[5, 6], [1, 7, 9], [0, 3, 8], [2, 4]]",8,json,0
BPP,BPP,"My neighbor dropped off a batch of seedlings and a pile of identical planters, all with the same soil capacity, and asked for help deciding how to arrange them. The choice is which seedlings to group into each planter: every seedling must go entirely into one planter (no splitting), and the total soil required by the seedlings in any one planter must not exceed that planter’s capacity. The better arrangement uses fewer planters — you measure that by counting the planters you end up using — and you must also check that none of the planters is overfilled. The specific seedling sizes and planter capacity will be shown below.

Below are the 5 seedling sizes and the planter capacity 100.0.
Seedling A requires 29.6 soil volume.
Seedling B requires 35.2 soil volume.
Seedling C requires 29.5 soil volume.
Seedling D requires 32.3 soil volume.
Seedling E requires 25.1 soil volume.
Assign each seedling to one planter without exceeding 100.0, and try to minimize the number of planters used.

If you want me to give the grouping as a simple data snippet you can use, just follow this little JSON shape when you send it back — it’s just a lightweight way to show which seedlings go in which planter:

{
  ""solution"": [[seedling_id, ...], ...]
}

Think of that as: ""solution"" is a list of planters, and each inner list is the set of seedling identifiers that go together in the same planter. The seedling_id entries are placeholders — in your actual reply you’d replace each placeholder with the real seedling identifiers from the instance.

This is just a sketch of the shape I expect, not the final arrangement itself. Please use the exact identifiers given in the instance input — don’t rename them and don’t invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[29.6, 35.2, 29.5, 32.3, 25.1]","[[0, 2, 4], [1, 3]]",2,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 5, 'items': [{'item_id': 'A', 'weight': 29.6}, {'item_id': 'B', 'weight': 35.2}, {'item_id': 'C', 'weight': 29.5}, {'item_id': 'D', 'weight': 32.3}, {'item_id': 'E', 'weight': 25.1}]}","[['A', 'C', 'E'], ['B', 'D']]",9,nl,names
BPP,BPP,"There’s a closet overflowing with sneakers and a stack of identical storage crates; the job is to assign every shoe to one crate (keep pairs together) without exceeding what a crate can hold. One arrangement is better than another if it uses fewer crates in total, so the simple way to judge is to count how many crates each plan requires. The concrete details — which shoes weigh what and the crate capacity — are shown below.

Below are the 9 sneaker pairs and a crate capacity of 100.0.
Sneaker pair 1 weighs 27.0.
Sneaker pair 2 weighs 25.5.
Sneaker pair 3 weighs 28.1.
Sneaker pair 4 weighs 25.4.
Sneaker pair 5 weighs 39.5.
Sneaker pair 6 weighs 32.3.
Sneaker pair 7 weighs 46.3.
Sneaker pair 8 weighs 48.0.
Sneaker pair 9 weighs 37.0.
Keep pairs together and minimize the total number of crates used.

If you want to hand me a packing plan, just use this little JSON shape so I know which shoes go in which crate:

{
  ""solution"": [[shoe_id, ...], ...]
}

Think of that as a simple form: ""solution"" is the list of crates, each inner list is one crate and contains the shoe identifiers that go together in that crate (shoe_id is a placeholder for whatever ID each shoe has in the instance). This is just the shape I expect, not the actual answer — fill in the real shoe IDs for a real plan.

Also: all identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[27.0, 25.5, 28.1, 25.4, 39.5, 32.3, 46.3, 48.0, 37.0]","[[1, 2, 6], [0, 3, 5], [4, 7], [8]]",4,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 9, 'items': [{'item_id': 1, 'weight': 27.0}, {'item_id': 2, 'weight': 25.5}, {'item_id': 3, 'weight': 28.1}, {'item_id': 4, 'weight': 25.4}, {'item_id': 5, 'weight': 39.5}, {'item_id': 6, 'weight': 32.3}, {'item_id': 7, 'weight': 46.3}, {'item_id': 8, 'weight': 48.0}, {'item_id': 9, 'weight': 37.0}]}","[[2, 3, 7], [1, 4, 6], [5, 8], [9]]",10,nl,1
