id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
MLP_S_001,MLP,S,1,"There’s a single route to plan from the central sorting hub to a bunch of delivery points, and the only real choice is the order in which the driver visits them. What counts as a good plan is simple: note the time the driver reaches each address, add up all those arrival times, and aim for the smallest possible total — that means customers overall got their deliveries sooner. The van has to start at the hub and visit every address exactly once; no stops can be skipped or repeated. The specific addresses and timings are shown below.

Below are the 5 nodes, with the hub as node A.

| location_id | x_coordinate | y_coordinate |
|---|---|---|
| A | 50 | 0 |
| B | 100 | 0 |
| C | 0 | 33 |
| D | 54 | 1 |
| E | 84 | 100 |

Use these coordinates to compute travel times and the cumulative arrival total, and plan the visit order that minimizes overall latency.

Also, when you send back the planned route, keep it simple and put it in this tiny JSON shape so it's easy to read and check:

{
  ""solution"": [hub_id, stop_id, ..., hub_id]
}

Here ""solution"" is just the route: start with the hub, list each delivery stop in the order the driver visits them, and finish back at the hub. The hub_id / stop_id bits are placeholders showing the expected layout — replace them with the actual IDs from the instance when you answer. This snippet is only a sketch of the shape I want, not the actual route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[50, 0], [100, 0], [0, 33], [54, 1], [84, 100]]","[0, 3, 1, 4, 2, 0]",464.5165114428251,"{""problem_type"": ""MLP"", ""num_nodes"": 5, ""nodes"": [{""id"": ""A"", ""x"": 50, ""y"": 0}, {""id"": ""B"", ""x"": 100, ""y"": 0}, {""id"": ""C"", ""x"": 0, ""y"": 33}, {""id"": ""D"", ""x"": 54, ""y"": 1}, {""id"": ""E"", ""x"": 84, ""y"": 100}], ""depot"": ""A""}","[""A"", ""D"", ""B"", ""E"", ""C"", ""A""]"
MLP_S_002,MLP,S,2,"It’s been a busy season, so the work plan starts at the equipment shed and needs a smart order for tending every street tree on the block. A good order is simply one where the trees, when you add up the time you reach each of them, come out with a smaller overall total. No tree can be left out or done twice, the trip begins at the shed, and the full list of trees and locations appears below.

Start at shed 0 and visit all 6 locations.
Visit tree 0 at (0, 0).
Visit tree 1 at (100, 83).
Visit tree 2 at (1, 100).
Visit tree 3 at (98, 65).
Visit tree 4 at (47, 96).
Visit tree 5 at (47, 97).
Choose an order that minimizes the sum of arrival times across the 6 locations starting from shed 0.

Oh, and to keep things machine-friendly, please give the tour in this little JSON shape when you reply — nothing fancy, just the order we’ll follow:

{
  ""solution"": [shed_id, tree_id, ..., shed_id]
}

""solution"" is the visit order: start at the shed (first placeholder), list each tree/location id in the order you reach them, and come back to the shed at the end. This is just a sketch of the expected shape, not the actual tour.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,zero_based,"[[0, 0], [100, 83], [1, 100], [98, 65], [47, 96], [47, 97]]","[0, 2, 5, 4, 1, 3, 0]",814.6687679942831,"{""problem_type"": ""MLP"", ""num_nodes"": 6, ""nodes"": [{""id"": 0, ""x"": 0, ""y"": 0}, {""id"": 1, ""x"": 100, ""y"": 83}, {""id"": 2, ""x"": 1, ""y"": 100}, {""id"": 3, ""x"": 98, ""y"": 65}, {""id"": 4, ""x"": 47, ""y"": 96}, {""id"": 5, ""x"": 47, ""y"": 97}], ""depot"": 0}","[0, 2, 5, 4, 1, 3, 0]"
MLP_S_003,MLP,S,3,"Picture this: a librarian hops into a van at the branch and has to make a handful of neighborhood calls — the goal is to arrange those calls so that if you note the time the librarian gets to each stop and add all those arrival times up, that grand total is as small as it can be. It’s a matter of ordering the visits, making sure every stop is covered exactly once, and preferring routes with a lower sum of arrival times. The concrete locations and timings are shown below.

# total_locations_including_branch=5
# branch_node_id=A
stop_id,x_coord,y_coord
A,100,0
B,40,81
C,0,88
D,34,100
E,55,94

If you want to send the route back, keep it simple and use this little JSON shape — just a single ""solution"" list showing the depot (where the librarian starts) and the stops in the order they're visited.

{
  ""solution"": [branch_id, stop_id, ..., branch_id]
}

Think of it like a filled-in form: branch_id is the starting branch (the van's home base), each stop_id is a neighborhood call in the sequence you visit them, and the final branch_id closes the loop if you return to the branch. This is just the sketch of the shape I want, not your actual answer.

Please use the exact identifiers from the instance input — do not rename them or invent new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,names,"[[100, 0], [40, 81], [0, 88], [34, 100], [55, 94]]","[0, 1, 4, 3, 2, 0]",542.4916146080337,"{""problem_type"": ""MLP"", ""num_nodes"": 5, ""nodes"": [{""id"": ""A"", ""x"": 100, ""y"": 0}, {""id"": ""B"", ""x"": 40, ""y"": 81}, {""id"": ""C"", ""x"": 0, ""y"": 88}, {""id"": ""D"", ""x"": 34, ""y"": 100}, {""id"": ""E"", ""x"": 55, ""y"": 94}], ""depot"": ""A""}","[""A"", ""B"", ""E"", ""D"", ""C"", ""A""]"
MLP_S_004,MLP,S,4,"On a typical shift the food truck departs from the kitchen and must visit a set of event locations across the city, and deciding the visiting sequence is the main puzzle. To judge a sequence, note when the truck arrives at each event, sum those arrival times, and pick the sequence whose total is the smallest — that way the whole day’s arrivals happen earlier overall. The route must include every event exactly one time, no skipping, no double visits. The concrete details of the trip are listed below.

There are 9 locations in total and the route begins at kitchen 0.

| location_id | map_x | map_y |
|---|---|---|
| 0 | 93 | 56 |
| 1 | 20 | 0 |
| 2 | 62 | 60 |
| 3 | 0 | 36 |
| 4 | 14 | 18 |
| 5 | 68 | 72 |
| 6 | 100 | 84 |
| 7 | 76 | 46 |
| 8 | 71 | 100 |

Use these location entries to compute arrival times and judge routes accordingly.

When you send the route back, just stick to this simple JSON shape so it's easy to parse — nothing fancy, just the sequence in order.

{
  ""solution"": [kitchen_id, event_id, ..., kitchen_id]
}

""solution"" is the array with the visiting order: start at the kitchen, list every event exactly once in the order the truck visits them, and finish back at the kitchen. This is just a sketch of the shape I expect, not the actual route.

Please use the exact identifiers from the problem input — don't rename them or invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",markdown_table,zero_based,"[[93, 56], [20, 0], [62, 60], [0, 36], [14, 18], [68, 72], [100, 84], [76, 46], [71, 100]]","[0, 7, 2, 5, 6, 8, 3, 4, 1, 0]",1031.5837271742525,"{""problem_type"": ""MLP"", ""num_nodes"": 9, ""nodes"": [{""id"": 0, ""x"": 93, ""y"": 56}, {""id"": 1, ""x"": 20, ""y"": 0}, {""id"": 2, ""x"": 62, ""y"": 60}, {""id"": 3, ""x"": 0, ""y"": 36}, {""id"": 4, ""x"": 14, ""y"": 18}, {""id"": 5, ""x"": 68, ""y"": 72}, {""id"": 6, ""x"": 100, ""y"": 84}, {""id"": 7, ""x"": 76, ""y"": 46}, {""id"": 8, ""x"": 71, ""y"": 100}], ""depot"": 0}","[0, 7, 2, 5, 6, 8, 3, 4, 1, 0]"
MLP_S_005,MLP,S,5,"We have a nurse leaving the clinic with several patients to check on at their homes, and the only decision is which route to take and in what order to knock on doors. A better route is one that gets people seen earlier overall — if you add up the arrival time for each patient, the best plan makes that sum as low as possible. Everyone on the list needs a visit, and nobody should be visited more than once. The concrete patient locations and specifics follow below.

We have 8 locations in total, starting from the clinic at node A.

| location_id | x_coordinate_map | y_coordinate_map |
|---|---|---|
| A | 89 | 31 |
| B | 60 | 88 |
| C | 100 | 72 |
| D | 0 | 81 |
| E | 31 | 43 |
| F | 20 | 0 |
| G | 81 | 100 |
| H | 55 | 44 |

We will visit each location once, starting from the clinic, and aim to minimize the sum of arrival times.

Oh, and when you give me the route, a compact JSON snippet like this works great — nice and simple so I can parse it easily:

{
  ""solution"": [clinic_id, patient_id, ..., clinic_id]
}

""solution"" is the visiting order: start at the clinic, list each patient once in the order they'll be visited, and end back at the clinic. Think of the placeholders (clinic_id, patient_id, ...) as blanks you'll fill with the exact IDs from the instance. This JSON is just a template — not the real route, just the shape I need.

Please make sure you use the identifiers exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[89, 31], [60, 88], [100, 72], [0, 81], [31, 43], [20, 0], [81, 100], [55, 44]]","[0, 2, 6, 1, 7, 4, 5, 3, 0]",1042.507915007583,"{""problem_type"": ""MLP"", ""num_nodes"": 8, ""nodes"": [{""id"": ""A"", ""x"": 89, ""y"": 31}, {""id"": ""B"", ""x"": 60, ""y"": 88}, {""id"": ""C"", ""x"": 100, ""y"": 72}, {""id"": ""D"", ""x"": 0, ""y"": 81}, {""id"": ""E"", ""x"": 31, ""y"": 43}, {""id"": ""F"", ""x"": 20, ""y"": 0}, {""id"": ""G"", ""x"": 81, ""y"": 100}, {""id"": ""H"", ""x"": 55, ""y"": 44}], ""depot"": ""A""}","[""A"", ""C"", ""G"", ""B"", ""H"", ""E"", ""F"", ""D"", ""A""]"
MLP_S_006,MLP,S,6,"On the schedule is a field run that begins at the office and must include every worksite; the choice is the order to visit them so that, when each arrival time is recorded and those times are summed, that summed number is as small as possible. Each location gets a single visit (typically you can choose whether to return to the office afterwards), and the full, concrete details are listed below.

There are 5 worksites to visit; the run begins at office 0.
Worksite 0 is located at (100, 8).
Worksite 1 is located at (0, 100).
Worksite 2 is located at (86, 0).
Worksite 3 is located at (73, 89).
Worksite 4 is located at (83, 43).
The run must visit each of the 5 worksites exactly once, starting at 0.

Also, when you send the route back, just use a little JSON snippet like this so it's easy to parse:

{
  ""solution"": [""office_id"", ""worksite_id"", ..., ""office_id""]
}

This just shows the shape I expect: ""solution"" is the ordered list you plan to follow — start at the office, list each worksite in the order you arrive, and (typically) come back to the office. It’s only a sketch of the format, not the actual route.

Please make sure to use the exact identifiers from the instance input — don’t rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,zero_based,"[[100, 8], [0, 100], [86, 0], [73, 89], [83, 43]]","[0, 2, 4, 3, 1, 0]",361.78456802858784,"{""problem_type"": ""MLP"", ""num_nodes"": 5, ""nodes"": [{""id"": 0, ""x"": 100, ""y"": 8}, {""id"": 1, ""x"": 0, ""y"": 100}, {""id"": 2, ""x"": 86, ""y"": 0}, {""id"": 3, ""x"": 73, ""y"": 89}, {""id"": 4, ""x"": 83, ""y"": 43}], ""depot"": 0}","[0, 2, 4, 3, 1, 0]"
MLP_S_007,MLP,S,7,"We’ve got a rehearsal space as home base and a stack of venues to play, and the practical question is how to order our stops so the whole tour feels efficient. That means picking the travel order (no venue left out, no backtracking to the same spot twice) and then checking how we did by summing the arrival time at each venue — the lower that sum, the sooner the crowd hears us on average. The specific venues and times are listed below.

Here are the 5 locations (the rehearsal space is A):
Stop A: located at (100, 0) — a spot we’ll visit on the tour.
Stop B: located at (71, 100) — a spot we’ll visit on the tour.
Stop C: located at (8, 93) — a spot we’ll visit on the tour.
Stop D: located at (12, 4) — a spot we’ll visit on the tour.
Stop E: located at (0, 30) — a spot we’ll visit on the tour.
Now we pick the order that visits each stop once and minimizes the sum of arrival times.

Also, when you send back the proposed route, just drop it in this simple JSON shape so it's easy to read and validate:

{
  ""solution"": [rehearsal_space_id, venue_id, ..., rehearsal_space_id]
}

This array is just the visit order — start at the rehearsal space, list each venue's ID in the order you’d play them, and come back to the rehearsal space at the end. The placeholders above show the shape I expect; they're a sketch, not the actual answer.

Please make sure to use the exact identifiers from the instance input — no renaming and no new labels. 
- for example: ""Valid identifiers look like plain numbers such as ""1"" or ""23"", single capital letters like ""A"" or ""B"", or a capital letter followed by digits like ""A1"" or ""X7"".""",nl,names,"[[100, 0], [71, 100], [8, 93], [12, 4], [0, 30]]","[0, 3, 4, 2, 1, 0]",628.6698815498034,"{""problem_type"": ""MLP"", ""num_nodes"": 5, ""nodes"": [{""id"": ""A"", ""x"": 100, ""y"": 0}, {""id"": ""B"", ""x"": 71, ""y"": 100}, {""id"": ""C"", ""x"": 8, ""y"": 93}, {""id"": ""D"", ""x"": 12, ""y"": 4}, {""id"": ""E"", ""x"": 0, ""y"": 30}], ""depot"": ""A""}","[""A"", ""D"", ""E"", ""C"", ""B"", ""A""]"
MLP_S_008,MLP,S,8,"One busy morning, the bakery van sets off with orders for every café and market in town, and the planner has to decide the best order to make the drops. The winning order is the one that gets most places their orders earlier — if you add together the arrival time at each stop you get a single number to compare, and lower is better. The run starts at the bakery and every place must be served exactly once; no skips, no repeats. The exact locations and their coordinates are shown below.

There are 5 locations in all, and the bakery is node 1.
Stop 1 is located at (94, 100).
Stop 2 is located at (100, 99).
Stop 3 is located at (0, 0).
Stop 4 is located at (83, 2).
Stop 5 is located at (45, 99).
The run begins at the bakery; visit each stop once and aim to minimize the sum of arrival times.

If you're going to give the route in a tidy, machine-friendly way, just stick to this simple JSON shape:

{
  ""solution"": [bakery_id, shop_id, ..., bakery_id]
}

Think of it like a little form: ""solution"" is the ordered list of stops the van will make, starting at the bakery (bakery_id), visiting each shop exactly once, and returning to the bakery. The names in the array are placeholders for the identifiers you'll see in the instance.

This is only a sketch of the expected shape — don't replace these placeholder names with real values here; when you give the actual answer, use the exact identifiers from the instance input, no renaming and no new labels.

- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",nl,one_based,"[[94, 100], [100, 99], [0, 0], [83, 2], [45, 99]]","[0, 1, 4, 3, 2, 0]",480.71060850101276,"{""problem_type"": ""MLP"", ""num_nodes"": 5, ""nodes"": [{""id"": 1, ""x"": 94, ""y"": 100}, {""id"": 2, ""x"": 100, ""y"": 99}, {""id"": 3, ""x"": 0, ""y"": 0}, {""id"": 4, ""x"": 83, ""y"": 2}, {""id"": 5, ""x"": 45, ""y"": 99}], ""depot"": 1}","[1, 2, 5, 4, 3, 1]"
MLP_S_009,MLP,S,9,"I can picture a technician pulling out of headquarters with a list of repair requests across town — the goal is to decide the order to visit every house so that, when you add up the clock times at which each visit begins, that total is as small as it can be. The rule is simple: every requesting household must be visited once and only once, no skips or repeats, and different orders give different totals because some homes are reached sooner than others. The concrete details for this run are shown below.

I can picture 10 total locations including the headquarters, with the technician pulling out from headquarters node A.

| location_node_id | x_coordinate_map | y_coordinate_map |
|---|---|---|
| A | 33 | 52 |
| B | 11 | 9 |
| C | 99 | 0 |
| D | 100 | 77 |
| E | 94 | 64 |
| F | 65 | 35 |
| G | 0 | 97 |
| H | 2 | 100 |
| I | 43 | 76 |
| J | 53 | 93 |

That's the complete list of 10 locations, starting from node A.

If you'd like the answer in a tidy, machine-friendly layout, just return a JSON object with the tour order. Something casual like this works fine:

{
  ""solution"": [hq_id, house_id, ..., hq_id]
}

Here ""solution"" is the visiting order: the first entry is where the van leaves from, the middle entries are each household visited once, and the final entry is the van coming back to base. Think of the placeholders (hq_id, house_id, etc.) as blanks you fill in with the actual IDs from the problem — this is just the shape I expect, not the real route.

All identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,names,"[[33, 52], [11, 9], [99, 0], [100, 77], [94, 64], [65, 35], [0, 97], [2, 100], [43, 76], [53, 93]]","[0, 8, 6, 7, 9, 3, 4, 5, 2, 1, 0]",1565.5410279861653,"{""problem_type"": ""MLP"", ""num_nodes"": 10, ""nodes"": [{""id"": ""A"", ""x"": 33, ""y"": 52}, {""id"": ""B"", ""x"": 11, ""y"": 9}, {""id"": ""C"", ""x"": 99, ""y"": 0}, {""id"": ""D"", ""x"": 100, ""y"": 77}, {""id"": ""E"", ""x"": 94, ""y"": 64}, {""id"": ""F"", ""x"": 65, ""y"": 35}, {""id"": ""G"", ""x"": 0, ""y"": 97}, {""id"": ""H"", ""x"": 2, ""y"": 100}, {""id"": ""I"", ""x"": 43, ""y"": 76}, {""id"": ""J"", ""x"": 53, ""y"": 93}], ""depot"": ""A""}","[""A"", ""I"", ""G"", ""H"", ""J"", ""D"", ""E"", ""F"", ""C"", ""B"", ""A""]"
MLP_S_010,MLP,S,10,"We kick things off at the town depot, load up, and then hit every assigned bin location around the neighborhood. The main decision is the sequence of visits: pick a route that gets to high-wait stops earlier so the overall waiting time is reduced. Practically, that means take the time you arrive at each pickup and sum them up — the smaller that sum, the better the day’s plan. Each pickup point must be covered, and no stop gets skipped or doubled. Concrete details appear below.

# total_pickup_points_including_depot=8
# depot_node_id=0
pickup_node_id,map_x_coordinate,map_y_coordinate
0,92,52
1,0,100
2,48,0
3,3,27
4,6,2
5,60,39
6,100,0
7,81,41

By the way, when you send the route back, keep it in this simple JSON shape so it's easy to read and parse:

{
  ""solution"": [depot_loc, bin_loc, ..., depot_loc]
}

Think of ""solution"" as the ordered list of stops — you start at the depot, list each pickup once in the order you visit them, and finish back at the depot. The depot_loc and bin_loc bits are just placeholders showing where the actual IDs go; they should be replaced with the exact identifiers from the instance when you reply.

Important: use the identifiers exactly as they appear in the instance input — do not rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,zero_based,"[[92, 52], [0, 100], [48, 0], [3, 27], [6, 2], [60, 39], [100, 0], [81, 41]]","[0, 7, 5, 2, 4, 3, 1, 6, 0]",970.7596706953743,"{""problem_type"": ""MLP"", ""num_nodes"": 8, ""nodes"": [{""id"": 0, ""x"": 92, ""y"": 52}, {""id"": 1, ""x"": 0, ""y"": 100}, {""id"": 2, ""x"": 48, ""y"": 0}, {""id"": 3, ""x"": 3, ""y"": 27}, {""id"": 4, ""x"": 6, ""y"": 2}, {""id"": 5, ""x"": 60, ""y"": 39}, {""id"": 6, ""x"": 100, ""y"": 0}, {""id"": 7, ""x"": 81, ""y"": 41}], ""depot"": 0}","[0, 7, 5, 2, 4, 3, 1, 6, 0]"
