id,task_id,difficulty_tier,example_index,prompt,surface_format,indexing_scheme,instance_canonical_json,reference_solution_canonical_json,reference_objective_value,instance_surface_json,reference_solution_surface_json
KP_S_001,KP,S,1,"I’m squeezing into a tiny apartment and have only one carload to get there, so it’s down to choosing which boxes to bring. Each box has a little “sentimental value” number and a weight, and the idea is to pick a set of boxes whose sentimental numbers add up to as much as possible while the combined weight stays under the car’s limit. Boxes can’t be split or duplicated — each box is either in the car or left behind — and the exact list of boxes, their weights and sentimental values are shown below.

# car_load_capacity=159
box_id,box_weight,sentimental_value
A,78,9
B,66,70
C,44,21
D,44,10
E,86,53

If you want to tell me which boxes to load, just give it in this simple JSON layout so I can parse it easily:

{
  ""solution"": [0, 1, 0, 1, ...]
}

That ""solution"" array is just a checklist in the same order as the boxes listed above: a 1 means pack that box, a 0 means leave it behind. Think of it as a quick form — this block is only a sketch of the shape I expect, not the actual packing list.

Please use the exact identifiers from the problem input when you refer to boxes — don’t rename anything or invent new labels. Valid identifiers look like:
- plain numbers such as ""1"" or ""23""
- single capital letters like ""A"" or ""B""
- a capital letter followed by digits like ""A1"" or ""X7""",csv,names,"{""problem_type"": ""KP"", ""weights"": [78, 66, 44, 44, 86], ""profits"": [9, 70, 21, 10, 53], ""capacity"": 159, ""solution"": [0, 1, 0, 0, 1], ""objective"": 123, ""solve_time"": 0.0065538883209228516, ""n_items"": 5, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 0, ""alpha_idx"": 0}","[0, 1, 0, 0, 1]",123,"{""problem_type"": ""KP"", ""capacity"": 159, ""n_items"": 5, ""items"": [{""item_id"": ""A"", ""weight"": 78, ""profit"": 9}, {""item_id"": ""B"", ""weight"": 66, ""profit"": 70}, {""item_id"": ""C"", ""weight"": 44, ""profit"": 21}, {""item_id"": ""D"", ""weight"": 44, ""profit"": 10}, {""item_id"": ""E"", ""weight"": 86, ""profit"": 53}]}","{""A"": 0, ""B"": 1, ""C"": 0, ""D"": 0, ""E"": 1}"
KP_S_002,KP,S,2,"Someone at the gallery is juggling a stack of prints and a scarce amount of wall, deciding which ones will make the best impression. The selection rule is straightforward in practice: choose a subset of works whose appeal values add up to the biggest number possible, provided their total width stays within the wall that’s available. Every piece can only appear once on the wall, and the concrete list of pieces with their sizes and appeal ratings is listed below.

They have 293 of wall to work with.
Print 0 occupies 74 of wall and scores 19 in visitor appeal.
Print 1 occupies 77 of wall and scores 93 in visitor appeal.
Print 2 occupies 72 of wall and scores 79 in visitor appeal.
Print 3 occupies 79 of wall and scores 65 in visitor appeal.
Print 4 occupies 52 of wall and scores 41 in visitor appeal.
Print 5 occupies 13 of wall and scores 83 in visitor appeal.
Print 6 occupies 84 of wall and scores 55 in visitor appeal.
Print 7 occupies 46 of wall and scores 45 in visitor appeal.
Print 8 occupies 51 of wall and scores 46 in visitor appeal.
Print 9 occupies 38 of wall and scores 23 in visitor appeal.
They will select the combination that fits within 293 and maximizes total visitor appeal.

If you want to give the final selection in a tidy, machine-friendly way, just drop it into a small JSON snippet like this:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Here ""solution"" is just a list that matches the order of the pieces above — a 1 means “hang this print” and a 0 means “leave it off the wall.” Think of the JSON as a simple form: the key tells me this is the selection and the array shows which works make the cut. It's just a sketch of the shape I expect, not the actual answer.

Please use the identifiers exactly as they appear in the instance input — no renaming and no new labels.

Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,zero_based,"{""problem_type"": ""KP"", ""weights"": [74, 77, 72, 79, 52, 13, 84, 46, 51, 38], ""profits"": [19, 93, 79, 65, 41, 83, 55, 45, 46, 23], ""capacity"": 293, ""solution"": [0, 1, 1, 1, 0, 1, 0, 0, 1, 0], ""objective"": 366, ""solve_time"": 0.000484466552734375, ""n_items"": 10, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 1, ""alpha_idx"": 0}","[0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",366,"{""problem_type"": ""KP"", ""capacity"": 293, ""n_items"": 10, ""items"": [{""item_id"": 0, ""weight"": 74, ""profit"": 19}, {""item_id"": 1, ""weight"": 77, ""profit"": 93}, {""item_id"": 2, ""weight"": 72, ""profit"": 79}, {""item_id"": 3, ""weight"": 79, ""profit"": 65}, {""item_id"": 4, ""weight"": 52, ""profit"": 41}, {""item_id"": 5, ""weight"": 13, ""profit"": 83}, {""item_id"": 6, ""weight"": 84, ""profit"": 55}, {""item_id"": 7, ""weight"": 46, ""profit"": 45}, {""item_id"": 8, ""weight"": 51, ""profit"": 46}, {""item_id"": 9, ""weight"": 38, ""profit"": 23}]}","{""0"": 0, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 1, ""9"": 0}"
KP_S_003,KP,S,3,"On this outing the shared rucksack is limited, so as the leader the decision is which gear to include to give everyone the most benefit without exceeding the carrying limit. The way to compare choices is to add the usefulness values of whatever items are selected to get a total usefulness score, and choose the selection with the highest total that doesn’t push the combined weight over the allowance; no item can be picked more than once. The concrete weights and usefulness ratings are shown below.

# rucksack_capacity=160
gear_id,gear_weight,usefulness_score
A,56,28
B,89,64
C,7,17
D,86,76
E,83,71

If you want, just send back the chosen items in a tiny JSON like this — quick and tidy so it’s easy to check and reuse.

{
  ""solution"": [0, 1, 0, 1, ...]
}

Here ""solution"" is an array where each entry corresponds to one item from the list above: a 1 means you pack that item, a 0 means you leave it behind. Think of it like ticking boxes on a checklist — that’s all this JSON is showing. It’s just a sketch of the shape I’m expecting, not the actual final choice.

Please use the exact identifiers from the instance input when you refer to items — don’t rename them or introduce new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",csv,names,"{""problem_type"": ""KP"", ""weights"": [56, 89, 7, 86, 83], ""profits"": [28, 64, 17, 76, 71], ""capacity"": 160, ""solution"": [1, 0, 1, 1, 0], ""objective"": 121, ""solve_time"": 0.0002620220184326172, ""n_items"": 5, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 2, ""alpha_idx"": 0}","[1, 0, 1, 1, 0]",121,"{""problem_type"": ""KP"", ""capacity"": 160, ""n_items"": 5, ""items"": [{""item_id"": ""A"", ""weight"": 56, ""profit"": 28}, {""item_id"": ""B"", ""weight"": 89, ""profit"": 64}, {""item_id"": ""C"", ""weight"": 7, ""profit"": 17}, {""item_id"": ""D"", ""weight"": 86, ""profit"": 76}, {""item_id"": ""E"", ""weight"": 83, ""profit"": 71}]}","{""A"": 1, ""B"": 0, ""C"": 1, ""D"": 1, ""E"": 0}"
KP_S_004,KP,S,4,"I run a little street food stall and today I have to pick which menu items to prep so the stall brings in the most cash. The plan is to choose a group of dishes, add up the expected earnings from each chosen dish to get the total money for the day, and make the combination that gives the highest total. The catch is the fridge is small, so the combined ingredient volume of everything prepared has to fit inside it, and each menu item can only be made once. The exact menu items, their ingredient volumes and their estimated earnings are listed below.

I have 231 total refrigerated ingredient volume for the day.
I'll prep A — it uses 7 units of ingredient volume and should earn 20.
I'll prep B — it uses 98 units of ingredient volume and should earn 37.
I'll prep C — it uses 45 units of ingredient volume and should earn 47.
I'll prep D — it uses 90 units of ingredient volume and should earn 50.
I'll prep E — it uses 68 units of ingredient volume and should earn 5.
I'll prep F — it uses 78 units of ingredient volume and should earn 55.
I'll prep G — it uses 76 units of ingredient volume and should earn 16.
I'll pick the combination that fits within 231 and brings in the most cash.

Oh, and when you reply, could you put the chosen dishes into a tiny JSON snip like this so it's easy to parse?

{
  ""solution"": [0, 1, 0, 1, ...]
}

""solution"" is just a list that lines up with the menu items above — a 1 means make that dish, a 0 means skip it. Think of it like ticking boxes on a prep list; this block is just the shape I want, not the actual final picks.

Please use the exact identifiers from the instance input — don't rename anything or add new labels. For example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,names,"{""problem_type"": ""KP"", ""weights"": [7, 98, 45, 90, 68, 78, 76], ""profits"": [20, 37, 47, 50, 5, 55, 16], ""capacity"": 231, ""solution"": [1, 0, 1, 1, 0, 1, 0], ""objective"": 172, ""solve_time"": 0.00030493736267089844, ""n_items"": 7, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 3, ""alpha_idx"": 0}","[1, 0, 1, 1, 0, 1, 0]",172,"{""problem_type"": ""KP"", ""capacity"": 231, ""n_items"": 7, ""items"": [{""item_id"": ""A"", ""weight"": 7, ""profit"": 20}, {""item_id"": ""B"", ""weight"": 98, ""profit"": 37}, {""item_id"": ""C"", ""weight"": 45, ""profit"": 47}, {""item_id"": ""D"", ""weight"": 90, ""profit"": 50}, {""item_id"": ""E"", ""weight"": 68, ""profit"": 5}, {""item_id"": ""F"", ""weight"": 78, ""profit"": 55}, {""item_id"": ""G"", ""weight"": 76, ""profit"": 16}]}","{""A"": 1, ""B"": 0, ""C"": 1, ""D"": 1, ""E"": 0, ""F"": 1, ""G"": 0}"
KP_S_005,KP,S,5,"Someone set up a raised bed and a pile of different vegetable starters; now they need to pick which ones to plant so the projected harvest is as valuable as possible. The plan is to choose a selection of distinct seedlings, compute the garden’s projected haul by adding each chosen seedling’s expected value, and keep the combined soil volume of those seedlings under the bed’s capacity — no duplicates and no half-plants. The concrete data about varieties, volumes, and expected yields follows below.

{
  ""raised_bed_soil_volume"": 288,
  ""items"": [
    {
      ""seedling_id"": ""A"",
      ""soil_volume_per_seedling"": 69,
      ""expected_harvest_value"": 8
    },
    {
      ""seedling_id"": ""B"",
      ""soil_volume_per_seedling"": 93,
      ""expected_harvest_value"": 47
    },
    {
      ""seedling_id"": ""C"",
      ""soil_volume_per_seedling"": 75,
      ""expected_harvest_value"": 80
    },
    {
      ""seedling_id"": ""D"",
      ""soil_volume_per_seedling"": 37,
      ""expected_harvest_value"": 19
    },
    {
      ""seedling_id"": ""E"",
      ""soil_volume_per_seedling"": 97,
      ""expected_harvest_value"": 47
    },
    {
      ""seedling_id"": ""F"",
      ""soil_volume_per_seedling"": 42,
      ""expected_harvest_value"": 13
    },
    {
      ""seedling_id"": ""G"",
      ""soil_volume_per_seedling"": 33,
      ""expected_harvest_value"": 69
    },
    {
      ""seedling_id"": ""H"",
      ""soil_volume_per_seedling"": 91,
      ""expected_harvest_value"": 48
    },
    {
      ""seedling_id"": ""I"",
      ""soil_volume_per_seedling"": 38,
      ""expected_harvest_value"": 34
    }
  ]
}

Oh, and when you reply with which seedlings to plant, please follow this little shape so it's easy to read by both people and machines:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Think of ""solution"" as a simple on/off checklist for the varieties listed in the instance: a 1 means ""yes, plant this one,"" a 0 means ""no, skip it."" The positions in the list line up with the order the varieties were given earlier. This JSON is just a sketch of the shape I want — not your final pick.

Please make sure to use the exact identifiers from the instance input when naming varieties — don't rename them or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”. """,json,names,"{""problem_type"": ""KP"", ""weights"": [69, 93, 75, 37, 97, 42, 33, 91, 38], ""profits"": [8, 47, 80, 19, 47, 13, 69, 48, 34], ""capacity"": 288, ""solution"": [0, 0, 1, 1, 0, 0, 1, 1, 1], ""objective"": 250, ""solve_time"": 0.0003795623779296875, ""n_items"": 9, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 4, ""alpha_idx"": 0}","[0, 0, 1, 1, 0, 0, 1, 1, 1]",250,"{""problem_type"": ""KP"", ""capacity"": 288, ""n_items"": 9, ""items"": [{""item_id"": ""A"", ""weight"": 69, ""profit"": 8}, {""item_id"": ""B"", ""weight"": 93, ""profit"": 47}, {""item_id"": ""C"", ""weight"": 75, ""profit"": 80}, {""item_id"": ""D"", ""weight"": 37, ""profit"": 19}, {""item_id"": ""E"", ""weight"": 97, ""profit"": 47}, {""item_id"": ""F"", ""weight"": 42, ""profit"": 13}, {""item_id"": ""G"", ""weight"": 33, ""profit"": 69}, {""item_id"": ""H"", ""weight"": 91, ""profit"": 48}, {""item_id"": ""I"", ""weight"": 38, ""profit"": 34}]}","{""A"": 0, ""B"": 0, ""C"": 1, ""D"": 1, ""E"": 0, ""F"": 0, ""G"": 1, ""H"": 1, ""I"": 1}"
KP_S_006,KP,S,6,"On my commute I sort through what fits in my pockets and what actually helps during the day. The winning mix is the set that gives the biggest total convenience when adding up each chosen item's usefulness, without the total size exceeding the pocket space I’ve got. Nothing can be split or doubled — each item can be picked at most once. The exact items and their size/usefulness numbers are below.

I’ve got 182 total pocket space to work with.
I can take 0: it uses 57 pocket space and provides 63 usefulness on my commute.
I can take 1: it uses 67 pocket space and provides 71 usefulness on my commute.
I can take 2: it uses 95 pocket space and provides 10 usefulness on my commute.
I can take 3: it uses 44 pocket space and provides 32 usefulness on my commute.
I can take 4: it uses 17 pocket space and provides 77 usefulness on my commute.
I can take 5: it uses 84 pocket space and provides 84 usefulness on my commute.
I’ll pick the set that fits within 182 and gives me the highest total convenience.

If you want to tell me which items you’d pick from the list, a tiny JSON sketch like this is perfect — simple and tidy:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Here ""solution"" is just a list where each position matches one of the items I described above: a 1 means you tuck that item into your pocket, a 0 means you leave it out. Think of it like a quick answersheet rather than a full explanation.

This is only the expected shape of the reply, not the final choice — just the format to use.

Also, please make sure you use the exact identifiers from the instance input — don’t rename or invent labels.
- for example: Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",nl,zero_based,"{""problem_type"": ""KP"", ""weights"": [57, 67, 95, 44, 17, 84], ""profits"": [63, 71, 10, 32, 77, 84], ""capacity"": 182, ""solution"": [0, 1, 0, 0, 1, 1], ""objective"": 232, ""solve_time"": 0.0003211498260498047, ""n_items"": 6, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 5, ""alpha_idx"": 0}","[0, 1, 0, 0, 1, 1]",232,"{""problem_type"": ""KP"", ""capacity"": 182, ""n_items"": 6, ""items"": [{""item_id"": 0, ""weight"": 57, ""profit"": 63}, {""item_id"": 1, ""weight"": 67, ""profit"": 71}, {""item_id"": 2, ""weight"": 95, ""profit"": 10}, {""item_id"": 3, ""weight"": 44, ""profit"": 32}, {""item_id"": 4, ""weight"": 17, ""profit"": 77}, {""item_id"": 5, ""weight"": 84, ""profit"": 84}]}","{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1}"
KP_S_007,KP,S,7,"At the school library’s front table there’s room for only a few face-out books, so the challenge is choosing which titles will bring in the most readers without overflowing the space. Each book has a space cost and a projected number of readers; judge any selection by adding up those projected readers to get its total appeal. The selection must fit within the table’s space limit and each book can only be used once — nothing partial and no duplicates. The concrete details are included below.

- **display_space_capacity**: 208

| book_id | space_cost | projected_readers |
|---|---|---|
| 0 | 81 | 64 |
| 1 | 85 | 14 |
| 2 | 39 | 84 |
| 3 | 90 | 20 |
| 4 | 29 | 81 |
| 5 | 24 | 1 |
| 6 | 69 | 80 |

If you want to reply with a chosen set of books, slip it into this simple JSON shape so it's easy to read and check:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Think of ""solution"" as a checklist that matches the list of books in the instance: a 1 means ""put this book on the front table,"" a 0 means ""leave it off."" That's all the structure I need here — just a sketch of the shape, not the final selection itself.

Please use the exact identifiers from the instance input — don't rename anything or invent new labels. 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""",markdown_table,zero_based,"{""problem_type"": ""KP"", ""weights"": [81, 85, 39, 90, 29, 24, 69], ""profits"": [64, 14, 84, 20, 81, 1, 80], ""capacity"": 208, ""solution"": [0, 0, 1, 0, 1, 1, 1], ""objective"": 246, ""solve_time"": 0.0003006458282470703, ""n_items"": 7, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 6, ""alpha_idx"": 0}","[0, 0, 1, 0, 1, 1, 1]",246,"{""problem_type"": ""KP"", ""capacity"": 208, ""n_items"": 7, ""items"": [{""item_id"": 0, ""weight"": 81, ""profit"": 64}, {""item_id"": 1, ""weight"": 85, ""profit"": 14}, {""item_id"": 2, ""weight"": 39, ""profit"": 84}, {""item_id"": 3, ""weight"": 90, ""profit"": 20}, {""item_id"": 4, ""weight"": 29, ""profit"": 81}, {""item_id"": 5, ""weight"": 24, ""profit"": 1}, {""item_id"": 6, ""weight"": 69, ""profit"": 80}]}","{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 1}"
KP_S_008,KP,S,8,"Recently a travel photographer faced the usual packing puzzle: which lenses and accessories will cover the most ground without blowing the bag’s weight allowance? Each piece has a usefulness rating and a weight, and the photographer will total the usefulness points for whatever gets packed — the higher that total, the better — provided the total weight of those chosen items stays within the bag’s capacity. No repeats or fractional items are allowed; each one is either packed or left behind. All of the item specifics and the bag’s capacity are shown below.

# bag_weight_capacity=262
gear_id,item_weight,usefulness_score
1,79,57
2,67,4
3,48,14
4,71,25
5,28,12
6,79,44
7,56,67
8,46,66
9,51,48

If you want the answer in a compact, machine-friendly form, just return a JSON object that looks like this:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Here ""solution"" is an array where each entry corresponds to one of the pieces in the list above: 1 means you pack that item, 0 means you leave it behind. Think of it as a simple checked/unchecked list — just a sketch of the shape I expect, not the final packing decision itself.

Please use the exact identifiers from the instance input — no renaming and no new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",csv,one_based,"{""problem_type"": ""KP"", ""weights"": [79, 67, 48, 71, 28, 79, 56, 46, 51], ""profits"": [57, 4, 14, 25, 12, 44, 67, 66, 48], ""capacity"": 262, ""solution"": [1, 0, 0, 0, 1, 0, 1, 1, 1], ""objective"": 250, ""solve_time"": 0.0003364086151123047, ""n_items"": 9, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 7, ""alpha_idx"": 0}","[1, 0, 0, 0, 1, 0, 1, 1, 1]",250,"{""problem_type"": ""KP"", ""capacity"": 262, ""n_items"": 9, ""items"": [{""item_id"": 1, ""weight"": 79, ""profit"": 57}, {""item_id"": 2, ""weight"": 67, ""profit"": 4}, {""item_id"": 3, ""weight"": 48, ""profit"": 14}, {""item_id"": 4, ""weight"": 71, ""profit"": 25}, {""item_id"": 5, ""weight"": 28, ""profit"": 12}, {""item_id"": 6, ""weight"": 79, ""profit"": 44}, {""item_id"": 7, ""weight"": 56, ""profit"": 67}, {""item_id"": 8, ""weight"": 46, ""profit"": 66}, {""item_id"": 9, ""weight"": 51, ""profit"": 48}]}","{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 1, ""9"": 1}"
KP_S_009,KP,S,9,"There’s a tiny team and a two-week sprint ahead, and the question on the table is which prototypes to actually build to bring in the most user interest. Success is measured by adding up each prototype’s projected engagement to get a single expected-impact number, but that has to be balanced against the sum of the development hours those prototypes require, which can’t exceed the sprint’s time budget. No duplicating prototypes and no partial builds — each idea is either included or left out. The concrete choices and numbers follow below.

{
  ""sprint_hours_budget"": 262,
  ""items"": [
    {
      ""prototype_id"": ""A"",
      ""dev_hours_required"": 57,
      ""projected_engagement_score"": 31
    },
    {
      ""prototype_id"": ""B"",
      ""dev_hours_required"": 8,
      ""projected_engagement_score"": 61
    },
    {
      ""prototype_id"": ""C"",
      ""dev_hours_required"": 77,
      ""projected_engagement_score"": 4
    },
    {
      ""prototype_id"": ""D"",
      ""dev_hours_required"": 58,
      ""projected_engagement_score"": 35
    },
    {
      ""prototype_id"": ""E"",
      ""dev_hours_required"": 64,
      ""projected_engagement_score"": 44
    },
    {
      ""prototype_id"": ""F"",
      ""dev_hours_required"": 57,
      ""projected_engagement_score"": 99
    },
    {
      ""prototype_id"": ""G"",
      ""dev_hours_required"": 56,
      ""projected_engagement_score"": 22
    },
    {
      ""prototype_id"": ""H"",
      ""dev_hours_required"": 10,
      ""projected_engagement_score"": 28
    },
    {
      ""prototype_id"": ""I"",
      ""dev_hours_required"": 56,
      ""projected_engagement_score"": 41
    },
    {
      ""prototype_id"": ""J"",
      ""dev_hours_required"": 80,
      ""projected_engagement_score"": 100
    }
  ]
}

Also, when you reply with which prototypes to build, please use this simple JSON layout so I can read it straight away:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Pretty casual: the ""solution"" array just lists a 0 or 1 for each prototype in the same order as the instance — 1 means go ahead and build that prototype this sprint, 0 means skip it. Think of it like ticking boxes on a checklist; replace the ... with the full sequence of choices for every idea.

This JSON is just a sketch of the shape I expect, not the final answer itself. Also, make sure all identifiers in your reply match exactly what's in the instance input — no renaming or inventing new labels. For example:
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7"".""",json,names,"{""problem_type"": ""KP"", ""weights"": [57, 8, 77, 58, 64, 57, 56, 10, 56, 80], ""profits"": [31, 61, 4, 35, 44, 99, 22, 28, 41, 100], ""capacity"": 262, ""solution"": [0, 1, 0, 1, 0, 1, 0, 0, 1, 1], ""objective"": 336, ""solve_time"": 0.0003056526184082031, ""n_items"": 10, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 8, ""alpha_idx"": 0}","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",336,"{""problem_type"": ""KP"", ""capacity"": 262, ""n_items"": 10, ""items"": [{""item_id"": ""A"", ""weight"": 57, ""profit"": 31}, {""item_id"": ""B"", ""weight"": 8, ""profit"": 61}, {""item_id"": ""C"", ""weight"": 77, ""profit"": 4}, {""item_id"": ""D"", ""weight"": 58, ""profit"": 35}, {""item_id"": ""E"", ""weight"": 64, ""profit"": 44}, {""item_id"": ""F"", ""weight"": 57, ""profit"": 99}, {""item_id"": ""G"", ""weight"": 56, ""profit"": 22}, {""item_id"": ""H"", ""weight"": 10, ""profit"": 28}, {""item_id"": ""I"", ""weight"": 56, ""profit"": 41}, {""item_id"": ""J"", ""weight"": 80, ""profit"": 100}]}","{""A"": 0, ""B"": 1, ""C"": 0, ""D"": 1, ""E"": 0, ""F"": 1, ""G"": 0, ""H"": 0, ""I"": 1, ""J"": 1}"
KP_S_010,KP,S,10,"Many people face the same little puzzle each morning: pick which notes, textbooks, and tools to carry so class prep is maximized. The measure of a good pick is simple — sum up the usefulness points of the chosen items to see how ready the bag makes someone — while making sure the combined weight doesn’t exceed the backpack limit. Items are indivisible and unique, meaning each one is either taken once or left. The detailed list of materials and their weights and usefulness scores follows below.

{
  ""backpack_capacity"": 232,
  ""items"": [
    {
      ""material_id"": 0,
      ""material_weight"": 4,
      ""usefulness_score"": 13
    },
    {
      ""material_id"": 1,
      ""material_weight"": 24,
      ""usefulness_score"": 56
    },
    {
      ""material_id"": 2,
      ""material_weight"": 83,
      ""usefulness_score"": 51
    },
    {
      ""material_id"": 3,
      ""material_weight"": 6,
      ""usefulness_score"": 79
    },
    {
      ""material_id"": 4,
      ""material_weight"": 86,
      ""usefulness_score"": 100
    },
    {
      ""material_id"": 5,
      ""material_weight"": 29,
      ""usefulness_score"": 67
    },
    {
      ""material_id"": 6,
      ""material_weight"": 92,
      ""usefulness_score"": 41
    },
    {
      ""material_id"": 7,
      ""material_weight"": 30,
      ""usefulness_score"": 41
    },
    {
      ""material_id"": 8,
      ""material_weight"": 44,
      ""usefulness_score"": 42
    },
    {
      ""material_id"": 9,
      ""material_weight"": 67,
      ""usefulness_score"": 82
    }
  ]
}

If you want to hand me your pick in a compact, machine-friendly way, just use a tiny JSON like this as a sketch of the shape I expect:

{
  ""solution"": [0, 1, 0, 1, ...]
}

Think of ""solution"" as a checklist that lines up with the item list above — each slot in the array corresponds to one item: 1 means you packed it, 0 means you left it. This JSON is just a simple template showing the format, not the actual selection you should submit.

Please make sure any identifiers in your real input are used exactly as given in the instance — no renaming and no new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.",json,zero_based,"{""problem_type"": ""KP"", ""weights"": [4, 24, 83, 6, 86, 29, 92, 30, 44, 67], ""profits"": [13, 56, 51, 79, 100, 67, 41, 41, 42, 82], ""capacity"": 232, ""solution"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""objective"": 398, ""solve_time"": 0.0003037452697753906, ""n_items"": 10, ""R"": 100, ""alpha"": 0.5, ""instance_idx"": 9, ""alpha_idx"": 0}","[1, 1, 0, 1, 1, 1, 0, 1, 1, 0]",398,"{""problem_type"": ""KP"", ""capacity"": 232, ""n_items"": 10, ""items"": [{""item_id"": 0, ""weight"": 4, ""profit"": 13}, {""item_id"": 1, ""weight"": 24, ""profit"": 56}, {""item_id"": 2, ""weight"": 83, ""profit"": 51}, {""item_id"": 3, ""weight"": 6, ""profit"": 79}, {""item_id"": 4, ""weight"": 86, ""profit"": 100}, {""item_id"": 5, ""weight"": 29, ""profit"": 67}, {""item_id"": 6, ""weight"": 92, ""profit"": 41}, {""item_id"": 7, ""weight"": 30, ""profit"": 41}, {""item_id"": 8, ""weight"": 44, ""profit"": 42}, {""item_id"": 9, ""weight"": 67, ""profit"": 82}]}","{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 1, ""9"": 0}"
