task_name,problem_type,instruction,instance,solution,obj,instance_variant,solution_variant,context_index,input_format,input_index_base
BPP,BPP,"There’s a stack of novels and chunky textbooks waiting to be boxed, and the task is to group them into identical moving boxes so every book is in exactly one box, no box is piled beyond its weight limit, and the whole arrangement uses as few boxes as possible. To judge which arrangement wins, simply count how many boxes are used — fewer is better. The exact details (weights and box capacity) appear below.

{
  ""box_capacity_kg"": 100.0,
  ""total_books"": 11,
  ""items"": [
    {
      ""book_label"": ""A"",
      ""book_weight_kg"": 29.1
    },
    {
      ""book_label"": ""B"",
      ""book_weight_kg"": 48.8
    },
    {
      ""book_label"": ""C"",
      ""book_weight_kg"": 33.1
    },
    {
      ""book_label"": ""D"",
      ""book_weight_kg"": 27.9
    },
    {
      ""book_label"": ""E"",
      ""book_weight_kg"": 27.1
    },
    {
      ""book_label"": ""F"",
      ""book_weight_kg"": 31.7
    },
    {
      ""book_label"": ""G"",
      ""book_weight_kg"": 46.9
    },
    {
      ""book_label"": ""H"",
      ""book_weight_kg"": 40.7
    },
    {
      ""book_label"": ""I"",
      ""book_weight_kg"": 30.9
    },
    {
      ""book_label"": ""J"",
      ""book_weight_kg"": 25.0
    },
    {
      ""book_label"": ""K"",
      ""book_weight_kg"": 30.0
    }
  ]
}

Oh, and one more thing — when you send the arrangement back, please use a simple JSON layout so it's easy to check. Something like this:

{
  ""solution"": [[""book_id"", ...], ...]
}

Here ""solution"" is the outer list of moving boxes, and each inner list is the set of book IDs you put in that box (so each book appears in exactly one inner list). Think of it like filling out a packing list: each sublist is a single box and the entries are the book placeholders that go inside. This JSON is just a sketch of the shape I need, not the actual packed answer.

Please don’t rename or invent any identifiers — use the exact IDs from the instance input as-is. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[29.1, 48.8, 33.1, 27.9, 27.1, 31.7, 46.9, 40.7, 30.9, 25.0, 30.0]","[[0, 4, 7], [3, 5, 10], [1, 6], [2, 8, 9]]",4,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 11, 'items': [{'item_id': 'A', 'weight': 29.1}, {'item_id': 'B', 'weight': 48.8}, {'item_id': 'C', 'weight': 33.1}, {'item_id': 'D', 'weight': 27.9}, {'item_id': 'E', 'weight': 27.1}, {'item_id': 'F', 'weight': 31.7}, {'item_id': 'G', 'weight': 46.9}, {'item_id': 'H', 'weight': 40.7}, {'item_id': 'I', 'weight': 30.9}, {'item_id': 'J', 'weight': 25.0}, {'item_id': 'K', 'weight': 30.0}]}","[['A', 'E', 'H'], ['D', 'F', 'K'], ['B', 'G'], ['C', 'I', 'J']]",1,json,names
BPP,BPP,"On a typical Saturday, there’s a pile of groceries and several uniform reusable bags on the table. The job is to assign every product to a single bag without cutting anything up, making sure the total weight in any bag never exceeds its maximum. The best way to do it is the arrangement that uses the smallest number of bags — you measure that by tallying the bags that end up holding items. The concrete list of goods and the bag limit are shown below.

There are 14 products and each bag can hold up to 100.0 weight units.
Product 0 weighs 26.9.
Product 1 weighs 25.2.
Product 2 weighs 31.5.
Product 3 weighs 46.4.
Product 4 weighs 25.1.
Product 5 weighs 41.4.
Product 6 weighs 26.4.
Product 7 weighs 35.0.
Product 8 weighs 49.0.
Product 9 weighs 25.0.
Product 10 weighs 28.1.
Product 11 weighs 25.7.
Product 12 weighs 30.2.
Product 13 weighs 29.8.
Choose an arrangement that minimizes the number of bags while keeping each bag at or below 100.0.

Oh, and when you send back the packing plan, please put it in this little JSON shape so it's easy to read:

{
  ""solution"": [[""product_id"", ...], ...]
}

Think of ""solution"" as the list of reusable bags, and each inner list is the set of product IDs that go into that bag. The ""product_id"" placeholders show where the actual item identifiers from the grocery list should go — this JSON is just a sketch of the expected shape, not the real answer.

Please use the exact item identifiers from the instance input (do not rename them or invent new labels). 
for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[26.9, 25.2, 31.5, 46.4, 25.1, 41.4, 26.4, 35.0, 49.0, 25.0, 28.1, 25.7, 30.2, 29.8]","[[0, 2, 5], [1, 9, 11], [3, 4, 6], [7, 12, 13], [8, 10]]",5,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 14, 'items': [{'item_id': 0, 'weight': 26.9}, {'item_id': 1, 'weight': 25.2}, {'item_id': 2, 'weight': 31.5}, {'item_id': 3, 'weight': 46.4}, {'item_id': 4, 'weight': 25.1}, {'item_id': 5, 'weight': 41.4}, {'item_id': 6, 'weight': 26.4}, {'item_id': 7, 'weight': 35.0}, {'item_id': 8, 'weight': 49.0}, {'item_id': 9, 'weight': 25.0}, {'item_id': 10, 'weight': 28.1}, {'item_id': 11, 'weight': 25.7}, {'item_id': 12, 'weight': 30.2}, {'item_id': 13, 'weight': 29.8}]}","[[0, 2, 5], [1, 9, 11], [3, 4, 6], [7, 12, 13], [8, 10]]",2,nl,0
BPP,BPP,"Someone left a big batch of favors to be packed into uniform wooden crates, and the task is to put every favor into one crate — nothing can be split between boxes or left out — while making sure no crate gets more than it’s rated for. The decisions are about assigning items to crates, and the simplest successful plan is the one that ends up with the least number of crates; just tally the crates to see which plan wins. The detailed list of favors and the crate size are shown below.

There are 14 favors and each crate holds up to 100.0.
Favor 0 weighs 39.5.
Favor 1 weighs 35.0.
Favor 2 weighs 25.1.
Favor 3 weighs 27.2.
Favor 4 weighs 43.9.
Favor 5 weighs 47.2.
Favor 6 weighs 36.1.
Favor 7 weighs 49.5.
Favor 8 weighs 25.2.
Favor 9 weighs 31.5.
Favor 10 weighs 45.0.
Favor 11 weighs 41.4.
Favor 12 weighs 30.7.
Favor 13 weighs 44.4.
Pack every favor into one crate without exceeding 100.0; tally the crates to identify the smallest valid plan.

When you send back the actual packing plan, just follow this simple JSON shape so it's easy to read by people and programs alike:

{
  ""solution"": [[favor_id, ...], ...]
}

Here ""solution"" is the outer list of crates, and each inner list is one crate listing the favor identifiers that go in it. The placeholder favor_id is just a stand-in for whatever item identifiers are used in the instance (so keep them as placeholders here, not filled in yet). This is only a sketch of the expected shape — not the real answer.

Please make sure you use the exact identifiers from the instance input with no renaming and no extra labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[39.5, 35.0, 25.1, 27.2, 43.9, 47.2, 36.1, 49.5, 25.2, 31.5, 45.0, 41.4, 30.7, 44.4]","[[0, 1, 2], [6, 9, 12], [3, 13], [10, 11], [4, 5], [7, 8]]",6,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 14, 'items': [{'item_id': 0, 'weight': 39.5}, {'item_id': 1, 'weight': 35.0}, {'item_id': 2, 'weight': 25.1}, {'item_id': 3, 'weight': 27.2}, {'item_id': 4, 'weight': 43.9}, {'item_id': 5, 'weight': 47.2}, {'item_id': 6, 'weight': 36.1}, {'item_id': 7, 'weight': 49.5}, {'item_id': 8, 'weight': 25.2}, {'item_id': 9, 'weight': 31.5}, {'item_id': 10, 'weight': 45.0}, {'item_id': 11, 'weight': 41.4}, {'item_id': 12, 'weight': 30.7}, {'item_id': 13, 'weight': 44.4}]}","[[0, 1, 2], [6, 9, 12], [3, 13], [10, 11], [4, 5], [7, 8]]",3,nl,0
BPP,BPP,"We were at the archive table, faced with stacks of donated magazines and a stack of identical archival boxes with a fixed interior volume. The decision is grouping magazines into those boxes so each issue travels whole in a single box (nothing split, nothing left behind or duplicated) and the total bulk inside any box stays within that box’s limit — you can check that by adding up the magazine volumes in each box. The plan that wins is the one that uses the smallest number of boxes; just count boxes to see which arrangement is better. The concrete sizes and the box limit follow below.

# box_interior_volume_limit=150.0
# n_magazines=11
magazine_identifier,magazine_volume
0,72.0
1,93.0
2,74.0
3,63.0
4,86.0
5,52.0
6,47.0
7,52.0
8,49.0
9,70.0
10,98.0

Oh, and when you send back the grouping, a tiny JSON snippet like this is perfect — just a list of boxes, each box is a list of magazine IDs:

{
  ""solution"": [[magazine_id, ...], ...]
}

Here ""solution"" is the whole packing plan, each inner list is one box and the entries inside are the magazine identifiers (which tell me which issues go in that box). Think of it like filling out a form: one row per box, IDs of the magazines in that row. This block is just a sketch of the shape I expect, not the final answer.

Please be sure to use the exact identifiers from the instance input — no renaming, no made-up labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[72.0, 93.0, 74.0, 63.0, 86.0, 52.0, 47.0, 52.0, 49.0, 70.0, 98.0]","[[7, 10], [0, 2], [1], [3, 4], [5, 6, 8], [9]]",6,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 11, 'items': [{'item_id': 0, 'weight': 72.0}, {'item_id': 1, 'weight': 93.0}, {'item_id': 2, 'weight': 74.0}, {'item_id': 3, 'weight': 63.0}, {'item_id': 4, 'weight': 86.0}, {'item_id': 5, 'weight': 52.0}, {'item_id': 6, 'weight': 47.0}, {'item_id': 7, 'weight': 52.0}, {'item_id': 8, 'weight': 49.0}, {'item_id': 9, 'weight': 70.0}, {'item_id': 10, 'weight': 98.0}]}","[[7, 10], [0, 2], [1], [3, 4], [5, 6, 8], [9]]",4,csv,0
BPP,BPP,"We’re trying to organize a bunch of hand tools into a set of same-sized tool chests. The choice to make is how to put the tools into chests so that no chest carries more than its allowed weight, every tool is placed once and only once (no chopping tools up or leaving any behind), and the whole point is to get everything into the smallest number of chests — judge any arrangement by how many chests it uses. The detailed tool weights and chest capacity appear below.

We have 11 tools and each chest holds up to 100.0 weight.
Tool A weighs 29.8.
Tool B weighs 27.9.
Tool C weighs 28.2.
Tool D weighs 40.5.
Tool E weighs 45.9.
Tool F weighs 38.4.
Tool G weighs 25.9.
Tool H weighs 38.2.
Tool I weighs 48.8.
Tool J weighs 28.6.
Tool K weighs 28.8.
We place every tool once and judge any arrangement by the number of chests used.

Also, when you send back the arrangement, please use this simple JSON layout so it's easy to read and check:

{
  ""solution"": [[tool_id, ...], ...]
}

Here ""solution"" is a list of chests, and each inner list is the set of tools you'd put into one chest — the placeholder tool_id marks where each tool's identifier goes. This is just a sketch of the shape I want, not the actual answer.

Please make sure to use the exact identifiers from the instance input — no renaming and no new labels.  
Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[29.8, 27.9, 28.2, 40.5, 45.9, 38.4, 25.9, 38.2, 48.8, 28.6, 28.8]","[[1, 7, 9], [0, 3, 10], [4, 8], [2, 5, 6]]",4,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 11, 'items': [{'item_id': 'A', 'weight': 29.8}, {'item_id': 'B', 'weight': 27.9}, {'item_id': 'C', 'weight': 28.2}, {'item_id': 'D', 'weight': 40.5}, {'item_id': 'E', 'weight': 45.9}, {'item_id': 'F', 'weight': 38.4}, {'item_id': 'G', 'weight': 25.9}, {'item_id': 'H', 'weight': 38.2}, {'item_id': 'I', 'weight': 48.8}, {'item_id': 'J', 'weight': 28.6}, {'item_id': 'K', 'weight': 28.8}]}","[['B', 'H', 'J'], ['A', 'D', 'K'], ['E', 'I'], ['C', 'F', 'G']]",5,nl,names
BPP,BPP,"We’re trying to get a day’s worth of clothing orders ready, stuffing garments into same-size cartons without tearing or cutting anything. The decision is which items to pair up in each carton so every garment is packed once and only once. The winning plan is the one that ends up with the smallest number of cartons — just tally the cartons used and prefer the lower count — as long as the summed sizes in any carton stay at or under the carton’s capacity. The concrete sizes and limits are listed below.

- **carton_capacity**: 100.0
- **total_garments**: 13

| garment_id | garment_size |
|---|---|
| 0 | 35.5 |
| 1 | 38.1 |
| 2 | 37.2 |
| 3 | 27.7 |
| 4 | 28.4 |
| 5 | 25.0 |
| 6 | 26.3 |
| 7 | 46.3 |
| 8 | 34.4 |
| 9 | 48.0 |
| 10 | 25.1 |
| 11 | 27.1 |
| 12 | 25.1 |

Also, when you send your packing plan back, just use this simple JSON shape so it's easy to read and check:

{
  ""solution"": [[garment_id, ...], ...]
}

Think of ""solution"" as a list of cartons, and each inner list is the garments that go together in that carton (use the garment identifiers from the instance). The garment_id placeholder just stands in for whatever item identifiers you were given — this block is a sketch of the expected shape, not the actual answer.

Please make sure all identifiers are used exactly as they appear in the instance input — no renaming and no new labels. For example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[35.5, 38.1, 37.2, 27.7, 28.4, 25.0, 26.3, 46.3, 34.4, 48.0, 25.1, 27.1, 25.1]","[[2, 3, 11], [0, 6, 10], [8, 12], [4, 5, 7], [1, 9]]",5,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 13, 'items': [{'item_id': 0, 'weight': 35.5}, {'item_id': 1, 'weight': 38.1}, {'item_id': 2, 'weight': 37.2}, {'item_id': 3, 'weight': 27.7}, {'item_id': 4, 'weight': 28.4}, {'item_id': 5, 'weight': 25.0}, {'item_id': 6, 'weight': 26.3}, {'item_id': 7, 'weight': 46.3}, {'item_id': 8, 'weight': 34.4}, {'item_id': 9, 'weight': 48.0}, {'item_id': 10, 'weight': 25.1}, {'item_id': 11, 'weight': 27.1}, {'item_id': 12, 'weight': 25.1}]}","[[2, 3, 11], [0, 6, 10], [8, 12], [4, 5, 7], [1, 9]]",6,markdown_table,0
BPP,BPP,"There’s a pile of client folders that must be packed into identical archive cartons, each carton having the same fixed space and not able to take more than it’s made for. The decision is which folders to put together in each carton, with the rule that each folder goes in exactly one carton and stays whole. A good packing is judged by how few cartons are used — count the cartons you end up with, and fewer cartons means a better outcome. The concrete list of folders and the box capacity appear below.

Below are the 13 folders and the carton capacity 100.0.
Folder 0 has size 26.3.
Folder 1 has size 45.4.
Folder 2 has size 43.4.
Folder 3 has size 28.5.
Folder 4 has size 27.7.
Folder 5 has size 27.7.
Folder 6 has size 34.7.
Folder 7 has size 34.3.
Folder 8 has size 39.5.
Folder 9 has size 25.1.
Folder 10 has size 45.3.
Folder 11 has size 29.8.
Folder 12 has size 47.1.
Arrangements that use fewer cartons are better.

Oh — and when you send back the actual packing, keep it simple and use a little JSON sketch like this:

{
  ""solution"": [[folder_id, ...], ...]
}

Think of ""solution"" as the whole shipment: each inner list is one carton and the placeholders like folder_id stand in for the real folder identifiers you’ll use from the instance. This block is just the shape I want you to follow — not the real answer itself.

Please be careful to use the exact identifiers from the instance input (don’t rename them or invent new ones). 
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[26.3, 45.4, 43.4, 28.5, 27.7, 27.7, 34.7, 34.3, 39.5, 25.1, 45.3, 29.8, 47.1]","[[0, 4, 10], [3, 5, 11], [7, 8, 9], [2, 6], [1, 12]]",5,"{'problem_type': 'BPP', 'bin_capacity': 100.0, 'n_items': 13, 'items': [{'item_id': 0, 'weight': 26.3}, {'item_id': 1, 'weight': 45.4}, {'item_id': 2, 'weight': 43.4}, {'item_id': 3, 'weight': 28.5}, {'item_id': 4, 'weight': 27.7}, {'item_id': 5, 'weight': 27.7}, {'item_id': 6, 'weight': 34.7}, {'item_id': 7, 'weight': 34.3}, {'item_id': 8, 'weight': 39.5}, {'item_id': 9, 'weight': 25.1}, {'item_id': 10, 'weight': 45.3}, {'item_id': 11, 'weight': 29.8}, {'item_id': 12, 'weight': 47.1}]}","[[0, 4, 10], [3, 5, 11], [7, 8, 9], [2, 6], [1, 12]]",7,nl,0
BPP,BPP,"I was helping out at a small bottling line where the job was to shove full bottles into identical crates so none of the crates got overloaded. The choice to be made was which bottle goes into which crate — every bottle has to go into one and only one crate, and bottles can’t be split up. A better packing is the one that leaves the fewest crates in use, so the score is simply how many crates end up needed. The exact bottle weights and the crate weight limit will be shown below.

{
  ""crate_capacity_kg"": 150.0,
  ""total_bottles"": 12,
  ""items"": [
    {
      ""bottle_id"": 0,
      ""bottle_weight_kg"": 50.0
    },
    {
      ""bottle_id"": 1,
      ""bottle_weight_kg"": 83.0
    },
    {
      ""bottle_id"": 2,
      ""bottle_weight_kg"": 36.0
    },
    {
      ""bottle_id"": 3,
      ""bottle_weight_kg"": 22.0
    },
    {
      ""bottle_id"": 4,
      ""bottle_weight_kg"": 33.0
    },
    {
      ""bottle_id"": 5,
      ""bottle_weight_kg"": 31.0
    },
    {
      ""bottle_id"": 6,
      ""bottle_weight_kg"": 97.0
    },
    {
      ""bottle_id"": 7,
      ""bottle_weight_kg"": 59.0
    },
    {
      ""bottle_id"": 8,
      ""bottle_weight_kg"": 34.0
    },
    {
      ""bottle_id"": 9,
      ""bottle_weight_kg"": 48.0
    },
    {
      ""bottle_id"": 10,
      ""bottle_weight_kg"": 100.0
    },
    {
      ""bottle_id"": 11,
      ""bottle_weight_kg"": 99.0
    }
  ]
}

If you want to hand me a proposed packing from the bottling line, just send it in this little JSON layout so I can read which bottles go in which crate.

{
  ""solution"": [[bottle_id, ...], ...]
}

It's simple: ""solution"" is a list of crates, each inner list is the bottles that go into that crate, and each bottle is referenced by its identifier (keep them as placeholders here). This is just a sketch of the shape I expect, not the actual packing — you'll replace the placeholders with the real bottle IDs.

Please make sure you use the exact identifiers from the instance input — do not rename them or invent new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[50.0, 83.0, 36.0, 22.0, 33.0, 31.0, 97.0, 59.0, 34.0, 48.0, 100.0, 99.0]","[[1, 4, 8], [2, 7, 9], [0, 11], [3, 5, 6], [10]]",5,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 12, 'items': [{'item_id': 0, 'weight': 50.0}, {'item_id': 1, 'weight': 83.0}, {'item_id': 2, 'weight': 36.0}, {'item_id': 3, 'weight': 22.0}, {'item_id': 4, 'weight': 33.0}, {'item_id': 5, 'weight': 31.0}, {'item_id': 6, 'weight': 97.0}, {'item_id': 7, 'weight': 59.0}, {'item_id': 8, 'weight': 34.0}, {'item_id': 9, 'weight': 48.0}, {'item_id': 10, 'weight': 100.0}, {'item_id': 11, 'weight': 99.0}]}","[[1, 4, 8], [2, 7, 9], [0, 11], [3, 5, 6], [10]]",8,json,0
BPP,BPP,"My neighbor dropped off a batch of seedlings and a pile of identical planters, all with the same soil capacity, and asked for help deciding how to arrange them. The choice is which seedlings to group into each planter: every seedling must go entirely into one planter (no splitting), and the total soil required by the seedlings in any one planter must not exceed that planter’s capacity. The better arrangement uses fewer planters — you measure that by counting the planters you end up using — and you must also check that none of the planters is overfilled. The specific seedling sizes and planter capacity will be shown below.

Below are the 13 seedling sizes and the planter capacity 150.0.
Seedling 0 requires 40.0 soil volume.
Seedling 1 requires 66.0 soil volume.
Seedling 2 requires 58.0 soil volume.
Seedling 3 requires 100.0 soil volume.
Seedling 4 requires 48.0 soil volume.
Seedling 5 requires 52.0 soil volume.
Seedling 6 requires 42.0 soil volume.
Seedling 7 requires 49.0 soil volume.
Seedling 8 requires 75.0 soil volume.
Seedling 9 requires 21.0 soil volume.
Seedling 10 requires 55.0 soil volume.
Seedling 11 requires 71.0 soil volume.
Seedling 12 requires 51.0 soil volume.
Assign each seedling to one planter without exceeding 150.0, and try to minimize the number of planters used.

If you want me to give the grouping as a simple data snippet you can use, just follow this little JSON shape when you send it back — it’s just a lightweight way to show which seedlings go in which planter:

{
  ""solution"": [[seedling_id, ...], ...]
}

Think of that as: ""solution"" is a list of planters, and each inner list is the set of seedling identifiers that go together in the same planter. The seedling_id entries are placeholders — in your actual reply you’d replace each placeholder with the real seedling identifiers from the instance.

This is just a sketch of the shape I expect, not the final arrangement itself. Please use the exact identifiers given in the instance input — don’t rename them and don’t invent new labels. Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.","[40.0, 66.0, 58.0, 100.0, 48.0, 52.0, 42.0, 49.0, 75.0, 21.0, 55.0, 71.0, 51.0]","[[0, 4, 12], [5, 6, 10], [2, 9, 11], [3, 7], [1, 8]]",5,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 13, 'items': [{'item_id': 0, 'weight': 40.0}, {'item_id': 1, 'weight': 66.0}, {'item_id': 2, 'weight': 58.0}, {'item_id': 3, 'weight': 100.0}, {'item_id': 4, 'weight': 48.0}, {'item_id': 5, 'weight': 52.0}, {'item_id': 6, 'weight': 42.0}, {'item_id': 7, 'weight': 49.0}, {'item_id': 8, 'weight': 75.0}, {'item_id': 9, 'weight': 21.0}, {'item_id': 10, 'weight': 55.0}, {'item_id': 11, 'weight': 71.0}, {'item_id': 12, 'weight': 51.0}]}","[[0, 4, 12], [5, 6, 10], [2, 9, 11], [3, 7], [1, 8]]",9,nl,0
BPP,BPP,"There’s a closet overflowing with sneakers and a stack of identical storage crates; the job is to assign every shoe to one crate (keep pairs together) without exceeding what a crate can hold. One arrangement is better than another if it uses fewer crates in total, so the simple way to judge is to count how many crates each plan requires. The concrete details — which shoes weigh what and the crate capacity — are shown below.

Below are the 15 sneaker pairs and a crate capacity of 150.0.
Sneaker pair A weighs 63.0.
Sneaker pair B weighs 50.0.
Sneaker pair C weighs 61.0.
Sneaker pair D weighs 85.0.
Sneaker pair E weighs 76.0.
Sneaker pair F weighs 75.0.
Sneaker pair G weighs 89.0.
Sneaker pair H weighs 45.0.
Sneaker pair I weighs 51.0.
Sneaker pair J weighs 43.0.
Sneaker pair K weighs 22.0.
Sneaker pair L weighs 83.0.
Sneaker pair M weighs 68.0.
Sneaker pair N weighs 56.0.
Sneaker pair O weighs 46.0.
Keep pairs together and minimize the total number of crates used.

If you want to hand me a packing plan, just use this little JSON shape so I know which shoes go in which crate:

{
  ""solution"": [[shoe_id, ...], ...]
}

Think of that as a simple form: ""solution"" is the list of crates, each inner list is one crate and contains the shoe identifiers that go together in that crate (shoe_id is a placeholder for whatever ID each shoe has in the instance). This is just the shape I expect, not the actual answer — fill in the real shoe IDs for a real plan.

Also: all identifiers must be used exactly as they appear in the instance input — no renaming and no new labels.
- for example: ""Valid identifiers look like plain numbers such as “1” or “23”, single capital letters like “A” or “B”, or a capital letter followed by digits like “A1” or “X7”.""","[63.0, 50.0, 61.0, 85.0, 76.0, 75.0, 89.0, 45.0, 51.0, 43.0, 22.0, 83.0, 68.0, 56.0, 46.0]","[[4, 12], [3], [0, 10, 14], [5, 7], [2, 6], [1, 8, 9], [11, 13]]",7,"{'problem_type': 'BPP', 'bin_capacity': 150.0, 'n_items': 15, 'items': [{'item_id': 'A', 'weight': 63.0}, {'item_id': 'B', 'weight': 50.0}, {'item_id': 'C', 'weight': 61.0}, {'item_id': 'D', 'weight': 85.0}, {'item_id': 'E', 'weight': 76.0}, {'item_id': 'F', 'weight': 75.0}, {'item_id': 'G', 'weight': 89.0}, {'item_id': 'H', 'weight': 45.0}, {'item_id': 'I', 'weight': 51.0}, {'item_id': 'J', 'weight': 43.0}, {'item_id': 'K', 'weight': 22.0}, {'item_id': 'L', 'weight': 83.0}, {'item_id': 'M', 'weight': 68.0}, {'item_id': 'N', 'weight': 56.0}, {'item_id': 'O', 'weight': 46.0}]}","[['E', 'M'], ['D'], ['A', 'K', 'O'], ['F', 'H'], ['C', 'G'], ['B', 'I', 'J'], ['L', 'N']]",10,nl,names
